arm,problem,reset,updates,deduplicatedRows,fractionDirectionsChanged,realMinusFakeScore,realMinusWrongDirectionScore,correctDirectionPreference,realMinusFlippedSideScore,correctSidePreference,realMinusNearbyDirectionScore,realMinusModerateDirectionScore,nearbyDirectionChangeDegrees,moderateDirectionChangeDegrees,farDirectionChangeDegrees
original,LIRCMOP7_BC,0,0,178,1,0.476226688770766,-1.22522817702776,0.449438202247191,-0.0102632956558399,0.50561797752809,-0.00557190112853318,-0.00315167662802707,0.985980100358902,5.28860727514822,48.4444093728365
original,LIRCMOP7_BC,0,10000,178,1,0.541663084137306,-0.915915339180593,0.5,-0.0171809571512629,0.49438202247191,0.0104417586594485,-0.0266202969497509,0.985980100358902,5.28860727514822,48.4444093728365
original,LIRCMOP7_BC,1,10000,178,1,0.538012102748571,-1.11626439148121,0.47752808988764,-0.156221212965719,0.471910112359551,-0.00406245970993899,-0.0318721921256419,0.985980100358902,5.28860727514822,48.4444093728365
original,LIRCMOP7_BC,2,10000,178,1,0.481125423077787,-0.823594334085336,0.51685393258427,0.0150364356094532,0.48876404494382,0.00235930855354566,-0.0267944603823544,0.985980100358902,5.28860727514822,48.4444093728365
original,LIRCMOP7_BC,3,10000,178,1,0.645317741575536,-1.14026426892267,0.5,-0.0360252952642655,0.48876404494382,0.00560092256310281,-0.0517686474021901,0.985980100358902,5.28860727514822,48.4444093728365
original,LIRCMOP8_BC,0,0,184,1,0.19991672233395,-2.69763225543758,0.103260869565217,-0.0063910406568776,0.505434782608696,-0.00798832527969194,-0.101496329126151,0.997665895211538,4.92192252721087,49.5025752055998
original,LIRCMOP8_BC,0,10000,184,1,0.277204733179963,-1.65333127327587,0.385869565217391,-0.0193764236958131,0.483695652173913,-0.0023045073384824,-0.106790552968564,0.997665895211538,4.92192252721087,49.5025752055998
original,LIRCMOP8_BC,1,10000,184,1,0.340293450200039,-2.3838415581571,0.0543478260869565,0.0129657539984454,0.516304347826087,-0.000621476251146068,-0.147078190160834,0.997665895211538,4.92192252721087,49.5025752055998
original,LIRCMOP8_BC,2,10000,184,1,0.386005619297857,-2.155699139056,0.179347826086957,-0.0191944707994876,0.5,-0.00180161906325299,-0.0909796013780262,0.997665895211538,4.92192252721087,49.5025752055998
original,LIRCMOP8_BC,3,10000,184,1,0.248843216377756,-2.53910927506893,0.244565217391304,-0.0238220225209775,0.494565217391304,-0.00274950654610344,-0.104109372781671,0.997665895211538,4.92192252721087,49.5025752055998
stable_side,LIRCMOP7_BC,0,0,188,1,0.455203387331455,-1.7989672904319,0.414893617021277,-0.0819308745100143,0.473404255319149,-0.000758722741553124,-0.0636943096810199,0.842631920107131,4.65202766712062,48.3469173115026
stable_side,LIRCMOP7_BC,0,10000,188,1,0.347086881069427,-0.838628596447884,0.5,-0.19684233056738,0.473404255319149,0.00087778111721607,-0.00404185944415153,0.842631920107131,4.65202766712062,48.3469173115026
stable_side,LIRCMOP7_BC,1,10000,188,1,0.515328499230933,-1.79774143673638,0.345744680851064,0.187970411904315,0.526595744680851,-0.00315024117206005,-0.0461772895873861,0.842631920107131,4.65202766712062,48.3469173115026
stable_side,LIRCMOP7_BC,2,10000,188,1,0.454377168512091,-1.91236486571266,0.367021276595745,0.0318050267214471,0.49468085106383,-0.00257098563808076,-0.0418320615240868,0.842631920107131,4.65202766712062,48.3469173115026
stable_side,LIRCMOP7_BC,3,10000,188,1,0.431259653035631,-1.75200962196005,0.50531914893617,-0.0681331100616049,0.473404255319149,-0.00263909139531724,-0.0530927688517469,0.842631920107131,4.65202766712062,48.3469173115026
stable_side,LIRCMOP8_BC,0,0,161,1,0.421395688323501,-2.25230648465779,0.192546583850932,0.0106730616610983,0.484472049689441,-0.00188314248316036,-0.116637175127586,1.14484515883074,5.75447449738211,45.6817987528101
stable_side,LIRCMOP8_BC,0,10000,161,1,0.31503342915766,-2.13980007060566,0.316770186335404,0.0137295834025981,0.496894409937888,-0.00965264865330287,-0.193677014445666,1.14484515883074,5.75447449738211,45.6817987528101
stable_side,LIRCMOP8_BC,1,10000,161,1,0.329662035525956,-1.56339158645328,0.496894409937888,-0.0216893322349335,0.490683229813665,-0.0011411446221867,-0.170817702916098,1.14484515883074,5.75447449738211,45.6817987528101
stable_side,LIRCMOP8_BC,2,10000,161,1,0.377606269920835,-2.62737759947777,0.316770186335404,0.00094852143007776,0.503105590062112,-0.00286445576952111,-0.160172505130679,1.14484515883074,5.75447449738211,45.6817987528101
stable_side,LIRCMOP8_BC,3,10000,161,1,0.282291184300962,-2.10586300918034,0.298136645962733,0.00294818345063962,0.490683229813665,-0.0020818080961334,-0.118266378130232,1.14484515883074,5.75447449738211,45.6817987528101
