arm,problem,addedUpdates,freshInitializations,baselineObjectiveGap,warmObjectiveGap,freshObjectiveGapMean,freshObjectiveGapMin,freshObjectiveGapMax,freshBetterThanBaseline,freshBetterThanWarm,baselineEndpointRMSE,warmEndpointRMSE,freshEndpointRMSEMean,baselineSeenGap,warmSeenGap,freshSeenGapMean,baselineCoverageGap,warmCoverageGap,freshCoverageGapMean,seenConditions,queryConditions
original,LIRCMOP7_BC,1000,3,0.104481663113246,0.111721076030605,0.16186892715067933,0.103734242162747,0.277615471004467,2,2,0.124650519867215,0.118901542094657,0.13235324314997565,0.106013544433091,0.11039605611206,0.15532945635848666,0.123215005846252,0.118005730301841,0.17950231755528434,152,200
original,LIRCMOP7_BC,2000,3,0.104481663113246,0.126199411894215,0.131299176317756,0.125424254389214,0.139030187304406,0,1,0.124650519867215,0.123381550170326,0.12051415790359267,0.106013544433091,0.138007526348154,0.12878386696754968,0.123215005846252,0.0945885078488831,0.141339881146154,152,200
original,LIRCMOP7_BC,5000,3,0.104481663113246,0.146193741505776,0.110723462549415,0.102739350542268,0.119927782150153,1,3,0.124650519867215,0.121926423833776,0.12052475467195567,0.106013544433091,0.148114277359017,0.1090518815051609,0.123215005846252,0.131201939278866,0.0980232795889761,152,200
original,LIRCMOP7_BC,10000,3,0.104481663113246,0.102488845824012,0.109660439768476,0.104964667062528,0.112901400304107,0,0,0.124650519867215,0.118951666619093,0.12012864928038267,0.106013544433091,0.106026151621019,0.107496575903286,0.123215005846252,0.108063321269085,0.10695969611407417,152,200
original,LIRCMOP8_BC,1000,3,0.0755603560494359,0.0633414258624441,0.07610917123349743,0.0686419425404307,0.0808718390085032,1,0,0.0726992318819544,0.0755671277404712,0.07545690129103994,0.0752357733341456,0.0637479785992254,0.07772679810602637,0.111241821359158,0.11245334973698,0.1191569014385629,155,200
original,LIRCMOP8_BC,2000,3,0.0755603560494359,0.0670478481744929,0.06470761313388994,0.0593952400295136,0.0688847259840578,3,2,0.0726992318819544,0.0724878851011663,0.0733670029045005,0.0752357733341456,0.070235626064059,0.06490018090505643,0.111241821359158,0.0586871811875496,0.10259216833716721,155,200
original,LIRCMOP8_BC,5000,3,0.0755603560494359,0.093397089647981,0.12468009551991226,0.0838502315798448,0.169722783050596,0,1,0.0726992318819544,0.0729681416186073,0.07403990205703553,0.0752357733341456,0.0958312563402561,0.1189098347456224,0.111241821359158,0.0882532190838316,0.09049468451191924,155,200
original,LIRCMOP8_BC,10000,3,0.0755603560494359,0.0654504000710116,0.0680167639371083,0.0643309394436868,0.069866797170809,3,1,0.0726992318819544,0.0748781893474342,0.0704054594379744,0.0752357733341456,0.0672565011059678,0.0695665997112217,0.111241821359158,0.0626637688268882,0.11253690534887648,155,200
stable_side,LIRCMOP7_BC,1000,3,0.0931876915423884,0.104830512599738,0.14634237861188754,0.0844930966989709,0.257885450649505,1,2,0.0991779231878869,0.0971663742422681,0.10451566585920401,0.0819459829648888,0.0892257950711626,0.14405354760431377,0.14178374111484,0.143938442213281,0.193169881310443,144,200
stable_side,LIRCMOP7_BC,2000,3,0.0931876915423884,0.0733477933986402,0.07183934707862394,0.05965956894984,0.0793321458651948,3,1,0.0991779231878869,0.10370094546556,0.0957363456058786,0.0819459829648888,0.0654842867886688,0.07068224369046927,0.14178374111484,0.109100544889964,0.185122566308739,144,200
stable_side,LIRCMOP7_BC,5000,3,0.0931876915423884,0.0643984069155727,0.09405082491473503,0.0818899856309933,0.10489951850084,1,0,0.0991779231878869,0.106615577017153,0.10335981353894307,0.0819459829648888,0.0637386592811634,0.0927310766992985,0.14178374111484,0.124566246263642,0.181287380196316,144,200
stable_side,LIRCMOP7_BC,10000,3,0.0931876915423884,0.172823979735073,0.07631495227245993,0.0623490724678905,0.0998330031641294,2,3,0.0991779231878869,0.103331066497264,0.09895406691649046,0.0819459829648888,0.147037986611035,0.0728181610950288,0.14178374111484,0.0869491864956914,0.13292453127291531,144,200
stable_side,LIRCMOP8_BC,1000,3,0.0604410847301057,0.0612447051759944,0.07477934057258596,0.0675308965159273,0.0874627574973484,0,0,0.086643586050675,0.0895587808675361,0.08425764063743363,0.058997825026552,0.0609686187046394,0.07458638441201319,0.121420550666529,0.10147150749893,0.1484310105585394,130,200
stable_side,LIRCMOP8_BC,2000,3,0.0604410847301057,0.0804922358587382,0.070362023916859,0.0602084469969346,0.0808359185137777,1,2,0.086643586050675,0.0844029707266261,0.08468837689913143,0.058997825026552,0.0744373478251094,0.07147049256258947,0.121420550666529,0.0877655991615415,0.14185194450858601,130,200
stable_side,LIRCMOP8_BC,5000,3,0.0604410847301057,0.0767126905689572,0.0838292247995049,0.0745252760940703,0.0972163627398476,0,1,0.086643586050675,0.0847762612316952,0.08182224010823,0.058997825026552,0.0732402620174254,0.07876078237087276,0.121420550666529,0.148083825227518,0.14605849542524868,130,200
stable_side,LIRCMOP8_BC,10000,3,0.0604410847301057,0.0924823246455192,0.10668544820130296,0.0709419605446609,0.140275551030484,0,1,0.086643586050675,0.0887495319792623,0.08709454133066817,0.058997825026552,0.0932719673204353,0.09971745703419814,0.121420550666529,0.104818250191915,0.11313778108696353,130,200
stable_no_side,LIRCMOP7_BC,1000,3,0.0828383110222655,0.144209153933048,0.08128818350719114,0.0667445794935237,0.108735126709873,2,3,0.0859683738330597,0.0885711111154935,0.0920446070367608,0.0832045357859172,0.142442794058205,0.08120820492990384,0.226212183957224,0.285688055907312,0.305215442825683,90,100
stable_no_side,LIRCMOP7_BC,2000,3,0.0828383110222655,0.0955230856410869,0.11799741250922834,0.109763927331681,0.130312713538029,0,0,0.0859683738330597,0.0933741107990416,0.09560081494982638,0.0832045357859172,0.0975598125250539,0.12170072498495633,0.226212183957224,0.205685136494615,0.313244887970998,90,100
stable_no_side,LIRCMOP7_BC,5000,3,0.0828383110222655,0.083164128810808,0.09932829754466667,0.066600902510156,0.119100049358834,1,1,0.0859683738330597,0.0920091873376749,0.09054502189803937,0.0832045357859172,0.0843008195827417,0.10215024882082831,0.226212183957224,0.165343649161706,0.268594774025571,90,100
stable_no_side,LIRCMOP7_BC,10000,3,0.0828383110222655,0.0693687922808643,0.09022736104804217,0.070619155466398,0.112552154227215,1,0,0.0859683738330597,0.0874516090299717,0.0880815133533931,0.0832045357859172,0.0709993004832314,0.09249258767961707,0.226212183957224,0.189337006341142,0.259588068211636,90,100
stable_no_side,LIRCMOP8_BC,1000,3,0.0789844401078134,0.0815479666065107,0.0849822060769131,0.0812309250297189,0.089254392718419,0,1,0.0768729012843084,0.0764151463726805,0.0752003444066688,0.0791160056584526,0.078974430925324,0.08658984382056976,0.116326136289427,0.128073474387905,0.20710031646333033,93,100
stable_no_side,LIRCMOP8_BC,2000,3,0.0789844401078134,0.0717690843598263,0.0919261850914816,0.0756238689247572,0.108462738096661,1,0,0.0768729012843084,0.0754319903921157,0.07283153903609457,0.0791160056584526,0.0706943032463287,0.09305777901727456,0.116326136289427,0.121066628340086,0.155433988255821,93,100
