arm,problem,reset,updates,conditions,meanDeltaF1,meanDeltaF2,meanDeltaBaseF1,meanDeltaBaseF2,meanDeltaEnergyF1,meanDeltaEnergyF2,rmsBaseDifference,rmsEnergyDifference,trueMeanDirectionError,generatedSeenMeanDirectionError
stable_side,LIRCMOP7_BC,0,0,144,-0.200762407805208,0.0149088514510384,-0.0219578033859903,0.0127967374387347,-0.178804604419218,0.00211211401230375,0.0991606243460683,0.233846626966423,0.201355945234194,7.47610415619456
stable_side,LIRCMOP7_BC,0,10000,144,-0.202375814222645,-0.0077485918704112,-0.00544941786148732,0.000478163125795777,-0.196926396361158,-0.00822675499620698,0.104480804913275,0.332033132618572,0.201355945234194,6.07771289358132
stable_side,LIRCMOP7_BC,1,10000,144,-0.195258386349621,-0.188925404547212,0.00265149575455227,0.00321646489494526,-0.197909882104173,-0.192141869442157,0.0979806020011888,0.260234969718367,0.201355945234194,5.24468690415355
stable_side,LIRCMOP7_BC,2,10000,144,-0.197848743775798,-0.0889749234715422,-0.0140510488266187,0.00660432924237513,-0.18379769494918,-0.0955792527139173,0.103872892213816,0.233872310358465,0.201355945234194,6.57201290595114
stable_side,LIRCMOP7_BC,3,10000,144,-0.145807990208775,-0.0692435012169186,-0.0187171471716121,0.00787606082937953,-0.127090843037163,-0.0771195620462981,0.093999806977252,0.224262289594702,0.201355945234194,4.42274888980384
stable_side,LIRCMOP8_BC,0,0,130,-0.12726863687233,-0.0530316815056694,0.0065142161780439,0.00793479531908836,-0.133782853050374,-0.0609664768247578,0.104424302072577,0.213053165172055,0.236150121062134,7.0057883136947
stable_side,LIRCMOP8_BC,0,10000,130,-0.10640030817441,-0.0304754216851067,0.0331628392292732,-0.0333459931874142,-0.139563147403683,0.00287057150230751,0.106876874684598,0.235329160473218,0.236150121062134,7.01892832114786
stable_side,LIRCMOP8_BC,1,10000,130,-0.131377168012822,-0.0119775246558438,0.00683777922028397,-0.00948676084271371,-0.138214947233106,-0.00249076381313012,0.105909007604934,0.329487566451633,0.236150121062134,9.28900873374429
stable_side,LIRCMOP8_BC,2,10000,130,-0.12278986211393,-0.0192243914787081,0.0156226791131426,-0.00946947932237924,-0.138412541227072,-0.0097549121563289,0.102966854941887,0.242134060262201,0.236150121062134,6.70491429438802
stable_side,LIRCMOP8_BC,3,10000,130,-0.171560554931914,-0.010465754814026,-0.0126994623933517,0.014286070597021,-0.158861092538562,-0.024751825411047,0.121232795757435,0.221595679756331,0.236150121062134,7.60535353751573
stable_no_side,LIRCMOP7_BC,0,0,90,-0.313110489366183,-0.16775914672595,-0.0194948556174274,-0.00189634020770095,-0.293615633748756,-0.165862806518249,0.0793841074597038,1.08390459908152,0.232149401455182,3.49445020846243
stable_no_side,LIRCMOP7_BC,0,10000,90,-0.314161673880832,-0.130745630470761,-0.0171744212198752,-0.0106334271166054,-0.296987252660957,-0.120112203354156,0.0829569745977667,1.08821180757953,0.232149401455182,3.8599498368331
stable_no_side,LIRCMOP7_BC,1,10000,90,-0.320987124777532,-0.147891950813371,-0.000941996125137875,-0.0121527232213039,-0.320045128652395,-0.135739227592067,0.0833094847887379,1.10776905369141,0.232149401455182,6.11067281617839
stable_no_side,LIRCMOP7_BC,2,10000,90,-0.320701594101275,-0.236178411588877,-0.0217561847052701,-0.00883960316715919,-0.298945409396005,-0.227338808421717,0.084101117323023,1.10834596979861,0.232149401455182,6.03690239196261
stable_no_side,LIRCMOP7_BC,3,10000,90,-0.330189700471367,-0.153915026532352,-0.0113345146322476,-0.00723262230313508,-0.318855185839119,-0.146682404229217,0.0834933171959846,1.07677705360031,0.232149401455182,5.36753987297074
stable_no_side,LIRCMOP8_BC,0,0,93,-0.150994348545033,0.00533753232178263,-0.0181775446984272,0.027416303677145,-0.132816803846606,-0.0220787713553624,0.0816173169423682,0.21541093215308,0.228947166064254,4.11651154879069
stable_no_side,LIRCMOP8_BC,0,10000,93,-0.155265740317886,0.0896469963925328,-0.0569804417428146,0.0646502772795895,-0.0982852985750719,0.0249967191129433,0.114710180519474,0.215700345715636,0.228947166064254,7.19155960183202
stable_no_side,LIRCMOP8_BC,1,10000,93,-0.0935479825245745,-0.0443112174679674,-0.0171304633643714,0.0215932193978696,-0.0764175191602031,-0.0659044368658371,0.0917505946305164,0.184672466884086,0.228947166064254,3.87950957472156
stable_no_side,LIRCMOP8_BC,2,10000,93,-0.156021966775718,-0.0235016896032594,-0.0410369413817798,0.0522316703052711,-0.114985025393938,-0.0757333599085306,0.0945492935254029,0.20670572548337,0.228947166064254,4.81997968361652
stable_no_side,LIRCMOP8_BC,3,10000,93,-0.131217557177313,-0.00761085867399379,-0.0593359072956142,0.0762805630569496,-0.0718816498816992,-0.0838914217309434,0.107618838084559,0.211668614421081,0.228947166064254,3.93818875858776
