arm,problem,reset,updates,conditions,meanDeltaF1,meanDeltaF2,meanDeltaBaseF1,meanDeltaBaseF2,meanDeltaEnergyF1,meanDeltaEnergyF2,rmsBaseDifference,rmsEnergyDifference,trueMeanDirectionError,generatedSeenMeanDirectionError
original,LIRCMOP7_BC,0,0,152,-0.192665081323721,-0.16812881942739,0.012768006408184,-0.023917684682297,-0.205433087731905,-0.144211134745093,0.154376483490114,0.317450744598906,0.181867148837333,8.44504767259509
original,LIRCMOP7_BC,0,10000,152,-0.181816606036596,-0.128926207442292,-0.00635397932307335,-0.00657393310114924,-0.175462626713522,-0.122352274341143,0.152131509433956,0.268310600622167,0.181867148837333,7.82889020819946
original,LIRCMOP7_BC,1,10000,152,-0.234213154781389,-0.101683482701425,-0.0226461349610337,-0.00120368030405154,-0.211567019820355,-0.100479802397373,0.150199645832715,0.271426774388301,0.181867148837333,5.8884656920918
original,LIRCMOP7_BC,2,10000,152,-0.166498841881356,-0.140197532986827,0.0286488607152942,-0.0390730650886211,-0.19514770259665,-0.101124467898206,0.150924913878278,0.322963443788331,0.181867148837333,8.34984015622352
original,LIRCMOP7_BC,3,10000,152,-0.18500194351368,-0.1866826185505,0.000734364682678071,-0.0185590791907583,-0.185736308196358,-0.168123539359742,0.150145918458581,0.285760333929731,0.181867148837333,9.1105159179672
original,LIRCMOP8_BC,0,0,155,-0.145779297787058,0.00697113810665422,-0.0215229762419813,0.0327139764154815,-0.124256321545077,-0.0257428383088273,0.104755235634044,0.175181622327245,0.197461140916059,4.74712884831735
original,LIRCMOP8_BC,0,10000,155,-0.0944433162791215,-0.00224719890944286,-0.00389452661078737,0.00655142478674484,-0.0905487896683341,-0.0087986236961877,0.101152824125923,0.154953310580837,0.197461140916059,4.67880306981707
original,LIRCMOP8_BC,1,10000,155,-0.16710337878078,-0.110070210926957,-0.00348426063356334,0.00652234603846448,-0.163619118147217,-0.116592556965421,0.092464092150887,0.186636900408434,0.197461140916059,5.38965474957086
original,LIRCMOP8_BC,2,10000,155,-0.134464001991199,-0.081236487319223,0.0160928252841921,-0.0160043169805021,-0.150556827275391,-0.065232170338721,0.102258736846031,0.195101990800606,0.197461140916059,5.42735930320648
original,LIRCMOP8_BC,3,10000,155,-0.153911526689469,0.00984028229373856,-0.0259339580134274,0.0345294033715904,-0.127977568676042,-0.0246891210778519,0.100872194841866,0.167721567563065,0.197461140916059,3.59943393090733
