problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate
DASCMOP1_BC,1,10000,10191,48,11,1,0.11,11,0,0.00428782990898639,0.0102911717207856,11,10,3,0.000575825786525677,100,0.776284656147667,1.29339804151759,0,0,10,10,0,0.909090909090909,0.0282212129814953,0.0331978604971198,0,0.0338554150166309,16.7285572112765,0.7,0.0690057527571573,0,0.0285542130489939,0.0339508973956137,0
DASCMOP1_BC,1,30000,30082,141,26,1,0.26,26,0,0.00460242095246984,0.0191263796141641,26,20,3,0.0013610427681516,100,0.550775096185808,0.798952121228062,0,20,0,20,0,0.769230769230769,0.0660306843249553,0.0736867349671794,0,0.0960940176724176,27.6050456659815,0.65,0.0725868337649747,0,0.0904603406706934,0.117228382959511,0
DASCMOP1_BC,1,50000,50102,232,28,1,0.28,28,0,0.00115767912595332,0.00715586730458158,28,20,3,0.00146573836570172,100,0.504780762204323,0.865870963277183,0,20,0,20,5,0.714285714285714,0.0566583327514882,0.108563308251333,0,0.108563308251333,33.2703170778777,0.35,-0.24281544840385,0.0714285714285714,0.05854326476323,0.115436040097587,0.25
DASCMOP1_BC,1,70000,70122,323,28,1,0.28,28,0,0.000781547939671814,0.00670178730394979,28,20,3,0.00146573836570172,100,0.475359481812403,0.771080989343412,0,20,0,20,0,0.714285714285714,0.00733255684340211,0.0106549300986855,0,0.0111513145606249,3.19336508061891,0.95,0.234351214839541,0,0.00935529768005086,0.0140445963673347,0
DASCMOP1_BC,1,100000,100042,459,32,1,0.32,32,0,0.000680049367304965,0.0050390502506111,32,20,3,0.00167512956080197,100,0.435133908913397,0.74430419932451,0,19,1,20,0,0.625,0.0142918495067819,0.0249191397817305,0,0.0261003401515273,8.93110658933636,0.7,0.171250724305387,0,0.0155418063397208,0.0277672600036466,0
DASCMOP1_BC,2,10000,10094,47,10,1,0.1,10,0,0.00518426299995937,0.0153890833830892,10,12,3,0.000523477987750615,100,0.957258266645705,1.30508511158002,0,3,9,12,0,1.2,0.00958452940550281,0.0121799168927535,0,0.0159908555353806,6.48959260065192,0.916666666666667,0.170268665227271,0,0.0111061804310406,0.0165739850725569,0
DASCMOP1_BC,2,30000,30108,140,23,1,0.23,23,0,0.0026702399708852,0.00752398631422629,23,20,3,0.00120399937182641,100,0.476935043146152,0.651846763133924,0,20,0,20,7,0.869565217391304,0.0582449326311271,0.0845041452207567,0,0.0845041452207567,24.6872319455041,0.7,0.0608482646116433,0.0869565217391304,0.0693587459024406,0.100392078122071,0.35
DASCMOP1_BC,2,50000,50128,231,28,1,0.28,28,0,0.000929653730229373,0.00764008542598158,28,20,3,0.00146573836570172,100,0.466593540593067,0.613719431108185,0,20,0,20,1,0.714285714285714,0.0321979303036846,0.106172152875849,0,0.106172152875849,35.2729543134757,0.85,0.324156878315532,0.0714285714285714,0.0405517419377537,0.107440040420669,0.05
DASCMOP1_BC,2,70000,70148,322,30,1,0.3,30,0,0.000908312002043673,0.00728307974447849,30,20,3,0.00157043396325185,100,0.461808090259446,0.640763969482012,0,20,0,20,3,0.666666666666667,0.0905855601141252,0.145121238236105,0,0.145121238236105,48.2690491115049,0.1,-0.299054574182456,0.0666666666666667,0.0906050078053394,0.145579680781388,0.15
DASCMOP1_BC,2,100000,100068,458,29,1,0.29,29,0,0.00074583276143031,0.00476671363736021,29,20,3,0.00151808616447678,100,0.466616687108848,0.610519379032807,0,20,0,20,8,0.689655172413793,0.100159319042061,0.116452061411761,0,0.116452061411761,38.3630212278325,0.95,0.0337158283641962,0.0689655172413793,0.10020854799802,0.11653348939296,0.4
DASCMOP1_BC,3,10000,10110,47,10,1,0.1,10,0,0.00304346223321077,0.00621433643763804,10,11,3,0.000523477987750615,100,0.793993099680458,1.52965181664218,0,2,9,11,0,1.1,0.0743535398230269,0.0770786989644914,0,0.0817565788902734,33.5237013811667,0.272727272727273,-0.038189500387134,0,0.0770974510081378,0.0823970401091846,0
DASCMOP1_BC,3,30000,30030,138,30,1,0.3,30,0,0.00282355702207556,0.0122791060097036,30,20,3,0.00157043396325185,100,0.456516734092489,0.653198901731693,0,20,0,20,5,0.666666666666667,0.0277691110565841,0.109725669007002,0,0.110431157398741,33.7889883570212,0.1,-0.0168748527576088,0.0666666666666667,0.0282602176193086,0.111655728087734,0.25
DASCMOP1_BC,3,50000,50050,229,29,1,0.29,29,0,0.00150805357875615,0.00672161890663002,29,20,3,0.00151808616447678,100,0.566961085428493,0.706886854872216,0,20,0,20,1,0.689655172413793,0.0133753499251543,0.0339321811402203,0,0.0342769618995176,10.9006148385922,0.3,-0.119910866964488,0.0689655172413793,0.016845697587855,0.034956421469283,0.05
DASCMOP1_BC,3,70000,70070,320,31,1,0.31,31,0,0.00135227506538995,0.00636114672742046,31,20,3,0.00162278176202691,100,0.566961085428493,0.763446414417245,0,19,1,20,9,0.645161290322581,0.048835745260344,0.065017999248307,0,0.065017999248307,19.2707406376976,0.9,0.0989101298239453,0.0645161290322581,0.0513915163704437,0.0685514201646768,0.45
DASCMOP1_BC,3,100000,100210,457,30,1,0.3,30,0,0.000705023569953122,0.00599838703411566,30,20,3,0.00157043396325185,100,0.458767057939053,0.735050789754825,0,20,0,20,6,0.666666666666667,0.0324998544366787,0.145791620299542,0,0.145791620299542,47.1529948545975,1,0.0305231394971524,0.0666666666666667,0.0388887652469521,0.14804438375279,0.3
