problem,target_FE,AF_count,AI_count,GAN_count,AF_outside_standard,AI_outside_standard,GAN_outside_standard,GAN_to_AF_ObjNN_mean,GAN_to_AF_ObjNN_median,GAN_to_AF_ObjNN_p90,GAN_feasible_rate
DASCMOP1_BC,10000,111,111,100,0,0,17,0.216133914824365,0.16062595414429,0.47819263520383,0.29
DASCMOP1_BC,20000,161,161,100,0,1,0,0.242709072813599,0.200007132558839,0.567868431505155,0.46
DASCMOP1_BC,30000,118,118,100,0,1,0,0.126975941639818,0.0880950195981725,0.188589660241124,0.18
DASCMOP1_BC,40000,175,175,100,0,2,1,0.0847642347477376,0.0569370141973316,0.151628366383827,0.28
DASCMOP1_BC,50000,183,183,100,0,1,1,0.0861883281890127,0.0787245290968812,0.149170175042803,0.31
DASCMOP1_BC,60000,218,218,100,0,2,8,0.0899276870670294,0.0778265098955149,0.186388249886204,0.2
DASCMOP1_BC,70000,217,217,100,0,2,3,0.0920119934205579,0.0738234382266073,0.188334053191741,0.2
DASCMOP1_BC,80000,226,226,100,0,0,0,0.0801667965346638,0.0701810171579352,0.18610094842078,0.29
DASCMOP1_BC,90000,227,227,100,0,1,0,0.0929549532130154,0.071607913802036,0.19316740900033,0.31
DASCMOP1_BC,100000,230,230,100,0,1,3,0.0651113546138425,0.0505914371783526,0.138656895130505,0.34
DASCMOP2_BC,10000,114,114,100,0,0,0,0.237899232251944,0.190450095305475,0.488513279375421,0.38
DASCMOP2_BC,20000,221,221,100,0,35,3,0.171461903449848,0.0866426835534584,0.515946360187463,0.36
DASCMOP2_BC,30000,308,308,100,0,39,21,0.178604079884589,0.169880136940813,0.331552622257287,0.19
DASCMOP2_BC,40000,329,329,100,0,41,14,0.177053102884686,0.146751757347805,0.39055014313197,0.46
DASCMOP2_BC,50000,363,363,100,0,41,18,0.123416895509781,0.0943130230016183,0.227110480735114,0.32
DASCMOP2_BC,60000,363,363,100,0,41,11,0.118706185852812,0.0964894501801682,0.235055347727819,0.48
DASCMOP2_BC,70000,385,385,100,0,35,15,0.122556199931122,0.0954197675498852,0.268766218645109,0.43
DASCMOP2_BC,80000,371,371,100,0,23,7,0.115153731400171,0.092009192407507,0.24764667685474,0.45
DASCMOP2_BC,90000,372,372,100,0,25,17,0.141100051629212,0.106161304143462,0.294446945770795,0.24
DASCMOP2_BC,100000,383,383,100,0,19,4,0.0959131561307409,0.0772706041702197,0.202174592199942,0.33
DASCMOP4_BC,10000,0,0,0,0,0,0,NaN,NaN,NaN,NaN
DASCMOP4_BC,20000,0,0,0,0,0,0,NaN,NaN,NaN,NaN
DASCMOP4_BC,30000,4,4,100,0,0,100,1.03852877629685,1.04094744261512,1.21686709534665,0
DASCMOP4_BC,40000,78,78,100,0,0,100,0.705363218678575,0.704000790313293,1.03268400041733,0
DASCMOP4_BC,50000,66,66,100,0,0,100,0.574991711840304,0.550962554587483,0.617268936921717,0
DASCMOP4_BC,60000,96,96,100,0,0,100,0.649549211587923,0.487922835169242,1.19031893194794,0
DASCMOP4_BC,70000,107,107,100,0,0,100,0.584027310485839,0.467202975257463,1.0217347481884,0
DASCMOP4_BC,80000,106,106,100,0,0,98,0.410502718828527,0.275714010946754,0.844494054098159,0
DASCMOP4_BC,90000,99,99,100,0,0,54,0.457984256064028,0.363741869961738,0.931307142622222,0
DASCMOP4_BC,100000,110,110,100,0,0,55,0.304064228513722,0.223550007605619,0.696605683663011,0.21
DASCMOP5_BC,10000,0,0,0,0,0,0,NaN,NaN,NaN,NaN
DASCMOP5_BC,20000,45,45,100,0,0,100,0.868729007626374,0.871918698209176,1.12882834834444,0
DASCMOP5_BC,30000,93,93,100,0,0,100,0.707035534548542,0.639944357636614,1.06490457830023,0
DASCMOP5_BC,40000,91,91,100,0,0,100,0.676011610625448,0.633972076788399,1.04093495475733,0
DASCMOP5_BC,50000,77,77,100,0,0,100,0.522710468669879,0.369235398626949,1.02918551832817,0
DASCMOP5_BC,60000,65,65,100,0,0,100,0.642241955896453,0.521270618276205,0.955000747774418,0
DASCMOP5_BC,70000,89,89,100,0,0,100,0.706475667388262,0.61411216109897,1.0021502770935,0
DASCMOP5_BC,80000,84,84,100,0,0,100,0.556326378242194,0.536054451640805,0.764693124569815,0
DASCMOP5_BC,90000,158,158,100,0,0,67,0.316832183376973,0.204274607218324,0.692380991774115,0
DASCMOP5_BC,100000,193,193,100,0,0,59,0.386562528773787,0.285635175497427,0.934873156976495,0.04
LIRCMOP5_BC,10000,124,124,100,7,0,5,0.0990000078993633,0.0753556263888267,0.228200659237553,0.84
LIRCMOP5_BC,20000,143,143,100,28,0,19,0.0441219146659805,0.0335775625666553,0.0893283460798146,0.34
LIRCMOP5_BC,30000,165,165,100,24,0,24,0.0693317806815701,0.0151270597211543,0.220944410679408,0.44
LIRCMOP5_BC,40000,190,190,100,11,0,5,0.064487354168507,0.0396489322735777,0.112713118140889,0.17
LIRCMOP5_BC,50000,235,235,100,0,0,1,0.113048930103878,0.107835481113972,0.186824681991571,0.06
LIRCMOP5_BC,60000,71,71,100,0,0,0,0.146054699127108,0.147681649237405,0.266434496409642,0.43
LIRCMOP5_BC,70000,88,88,100,0,0,0,0.0259114671905091,0.00669708839409743,0.104542660788262,0.84
LIRCMOP5_BC,80000,196,196,100,0,0,0,0.0478290755938097,0.0150940142080274,0.177266212007802,0.61
LIRCMOP5_BC,90000,253,253,100,0,0,0,0.0979863419999528,0.0447645487826935,0.239600922294241,0.53
LIRCMOP5_BC,100000,286,286,100,0,0,0,0.0306787830340097,0.0259195923809975,0.060977915401393,0.53
LIRCMOP6_BC,10000,68,68,0,16,0,0,NaN,NaN,NaN,NaN
LIRCMOP6_BC,20000,179,179,100,15,0,14,0.0418071175706652,0.0358818681326542,0.0673228347570168,0.33
LIRCMOP6_BC,30000,279,279,100,8,0,7,0.0509165840350005,0.0465756199027634,0.0829970664940365,0.22
LIRCMOP6_BC,40000,288,288,100,9,0,2,0.048619992917495,0.0425134935928768,0.0831056221612424,0.13
LIRCMOP6_BC,50000,308,308,100,0,0,0,0.107573468404735,0.108308671657971,0.204910991834515,0.21
LIRCMOP6_BC,60000,49,49,100,0,0,0,0.0616301612533055,0.0411675819497807,0.155837723556465,0.47
LIRCMOP6_BC,70000,145,145,100,0,0,0,0.0713983751577255,0.0496970730689178,0.100712133069453,0.41
LIRCMOP6_BC,80000,245,245,100,0,0,0,0.0359509090301972,0.0327664143475364,0.0666722992683876,0.54
LIRCMOP6_BC,90000,297,297,100,0,0,0,0.0177186802264199,0.0119111995402152,0.0358948380113605,0.89
LIRCMOP6_BC,100000,334,334,100,0,0,0,0.0118773060338671,0.00891368043104044,0.0244677790470625,0.95
LIRCMOP7_BC,10000,111,111,100,17,6,86,0.130384698646725,0.102582411058505,0.223885743217411,0.75
LIRCMOP7_BC,20000,287,287,100,25,8,20,0.0668004150937461,0.0657232008705487,0.0970598489029715,0.22
LIRCMOP7_BC,30000,139,139,100,38,15,33,0.048137459576874,0.0298158198642172,0.145808702555069,0.38
LIRCMOP7_BC,40000,161,161,100,24,2,24,0.0771438268786094,0.0364707989094579,0.203198319219645,0.28
LIRCMOP7_BC,50000,218,218,100,2,0,3,0.0348453595654201,0.0222332571958824,0.0954101514861044,0.25
LIRCMOP7_BC,60000,264,264,100,1,0,1,0.0507666110995288,0.0448680252516788,0.101759720661356,0.13
LIRCMOP7_BC,70000,293,293,100,0,0,0,0.0706607737653688,0.0699667725637011,0.1186361433486,0.07
LIRCMOP7_BC,80000,311,311,100,0,0,1,0.0861091648889278,0.0774360879251373,0.190106217651014,0.2
LIRCMOP7_BC,90000,329,329,100,0,0,0,0.114011610677179,0.0973922676970024,0.201437977472995,0.07
LIRCMOP7_BC,100000,328,328,100,0,0,0,0.112607332991044,0.108204402750388,0.211333695659189,0.07
LIRCMOP8_BC,10000,161,161,100,69,7,88,0.254790278037067,0.224207367429222,0.499241105366622,1
LIRCMOP8_BC,20000,216,216,100,15,4,6,0.0472304762795438,0.042424285360537,0.0818769766726292,0.16
LIRCMOP8_BC,30000,134,134,100,7,4,12,0.0428941415251279,0.0153212799037839,0.11978509794314,0.49
LIRCMOP8_BC,40000,242,242,100,10,8,3,0.0269099986367405,0.0148786058786435,0.0701623212025347,0.3
LIRCMOP8_BC,50000,247,247,100,6,0,1,0.0471061317804781,0.0281036243906734,0.119111960692243,0.13
LIRCMOP8_BC,60000,260,260,100,0,0,0,0.0458568780837592,0.0456139999332319,0.0687437923822924,0.17
LIRCMOP8_BC,70000,315,315,100,0,0,0,0.0691720768083758,0.0586044582633198,0.11910079270687,0.22
LIRCMOP8_BC,80000,340,340,100,0,0,0,0.0823251566212975,0.0796141824632907,0.13412208430397,0.09
LIRCMOP8_BC,90000,298,298,100,0,0,0,0.0564652136432666,0.0487811580634508,0.117306804355971,0.18
LIRCMOP8_BC,100000,349,349,100,0,0,0,0.0708852701378943,0.0684901069432572,0.12332037041584,0.2
LIRCMOP9_BC,10000,51,51,100,0,0,3,0.0238996735187554,0.0004581094157961,0.00113612176498799,0.58
LIRCMOP9_BC,20000,44,44,100,0,0,0,0.0911153221086317,0.016626828182455,0.271037889175891,0.66
LIRCMOP9_BC,30000,56,56,100,0,0,0,0.0146801419372309,0.00292159911803996,0.0541719211741861,0.85
LIRCMOP9_BC,40000,63,63,100,0,0,0,0.0505558247154459,0.00201911010208321,0.207261417526152,0.8
LIRCMOP9_BC,50000,47,47,100,0,0,0,0.00813440035964645,0.00428178547422023,0.0150829450160796,0.9
LIRCMOP9_BC,60000,65,65,100,0,0,0,0.0162239617139298,0.00372188518725648,0.0580055367201478,0.83
LIRCMOP9_BC,70000,76,76,100,0,0,0,0.111779695939782,0.0880620715236398,0.225927567863621,0.46
LIRCMOP9_BC,80000,87,87,100,0,0,0,0.00877644833891177,0.00264232953873677,0.0226057264433455,0.88
LIRCMOP9_BC,90000,93,93,100,0,0,0,0.0129107341766578,0.00961167699497358,0.0228837895212441,0.79
LIRCMOP9_BC,100000,95,95,100,0,0,0,0.024526412689868,0.0262684305469322,0.0470264833629076,0.44
LIRCMOP10_BC,10000,65,65,100,0,0,0,0.214274814020472,0.220666075792277,0.266981724841891,0
LIRCMOP10_BC,20000,66,66,100,0,0,0,0.112745620756364,0.0219436921282992,0.458931812178933,0.42
LIRCMOP10_BC,30000,94,94,100,0,0,0,0.0177961839033717,0.00288835507158146,0.0185679972444315,0.89
LIRCMOP10_BC,40000,134,134,100,0,0,0,0.00911128108304251,0.00739804413003937,0.0176993004991855,0.84
