variant,maxCandidatePairsPerRef,problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate
pair1,1,DASCMOP1_BC,1,10000,10164,48,9,1,0.09,9,0,0.003198294183717,0.00661020532106622,9,8,3,0.000471130188975554,100,0.864850997187306,1.24542024781451,0,0,8,8,0,0.888888888888889,0.0390714728750695,0.0402646362762798,0,0.0403870677958933,18.3809816565692,0.75,0.0446340405505922,0,0.0397330130989356,0.0404136143408403,0
pair1,1,DASCMOP1_BC,1,30000,30136,142,21,1,0.21,21,0,0.00606661457964522,0.0165571246519958,21,20,3,0.00109930377427629,100,0.443567394687451,0.776259908158626,0,20,0,20,0,0.952380952380952,0.0689453550127246,0.0704258581528531,0,0.0765905084253845,19.6982480176793,0.35,-0.134441655738123,0,0.103886375288791,0.127951733990971,0
pair1,1,DASCMOP1_BC,1,50000,50156,233,27,1,0.27,27,0,0.00130831823671019,0.00405443854313789,27,20,3,0.00141339056692666,100,0.392729419269395,0.635075589740404,0,20,0,20,3,0.740740740740741,0.0237498672614785,0.0359969072536519,0,0.0359969072536519,11.3076045839077,0.45,-0.0105813277474017,0.148148148148148,0.0265862991126804,0.0363083398924614,0.15
pair1,1,DASCMOP1_BC,1,70000,70176,324,28,1,0.28,28,0,0.001296036080182,0.00474083006673644,28,20,3,0.00146573836570172,100,0.397145661163221,0.583942558793046,0,20,0,20,4,0.714285714285714,0.0673601060154812,0.139532488545021,0,0.139532488545021,46.7939433069013,0.65,0.0573946140287249,0.142857142857143,0.0681904213177594,0.140770075075418,0.2
pair1,1,DASCMOP1_BC,1,100000,100096,460,26,1,0.26,26,0,0.000739722524861852,0.00330218543950064,26,20,3,0.0013610427681516,100,0.487303996301129,0.678348247021739,0,20,0,20,1,0.769230769230769,0.0923680345434887,0.230670644487931,0,0.231423758329568,70.8937098765938,0.9,0.341939473530613,0.0769230769230769,0.0926194296333221,0.233272599157231,0.05
pair1,1,DASCMOP1_BC,2,10000,10110,47,13,1,0.13,13,0,0.00568968837205407,0.0119179706097195,13,14,3,0.0006805213840758,100,0.924046043969804,1.26636908704232,0,2,12,14,0,1.07692307692308,0.00598278808851394,0.0073961293908715,0,0.0147054244244328,6.27930019904343,0.642857142857143,0.159214925092158,0,0.00958643411949069,0.0153147897764924,0
pair1,1,DASCMOP1_BC,2,30000,30119,140,10,1,0.1,10,0,0.00164203377592982,0.00789708108571765,10,10,3,0.000523477987750615,100,0.958220856774137,1.18227599771802,0,1,9,10,0,1,0.0881648153914649,0.0957664663019218,0,0.0966731048758455,22.0453832365511,0.7,0.232901984817286,0,0.0886764871013161,0.0968922684015602,0
pair1,1,DASCMOP1_BC,2,50000,50128,231,26,1,0.26,26,0,0.00230278241712497,0.00547839667876478,26,20,3,0.0013610427681516,100,0.559873712299821,0.749494239356937,0,20,0,20,6,0.769230769230769,0.0989367753619953,0.15375910506766,0,0.15375910506766,53.192846778655,0.55,0.00973074335171115,0.153846153846154,0.100459506809339,0.156314788915092,0.3
pair1,1,DASCMOP1_BC,2,70000,70148,322,24,1,0.24,24,0,0.00131213042209554,0.00293205805992243,24,20,3,0.00125634717060148,100,0.535933045075633,0.658841901451237,0,20,0,20,6,0.833333333333333,0.073236925681362,0.112863976681298,0,0.112863976681298,30.5441196431039,0.3,-0.0140901734452172,0.166666666666667,0.0762087491150059,0.11550818763625,0.3
pair1,1,DASCMOP1_BC,2,100000,100068,458,26,1,0.26,26,0,0.00128134556353743,0.00454812148227841,26,20,3,0.0013610427681516,100,0.428219527938673,0.701751875574332,0,20,0,20,3,0.769230769230769,0.110411962497311,0.161520125682047,0,0.161520125682047,47.6933701787152,0.15,-0.0703929330231063,0.0769230769230769,0.11321211575602,0.162367830782249,0.15
pair1,1,DASCMOP1_BC,3,10000,10120,47,12,1,0.12,12,0,0.00469682165279046,0.0136853555320654,12,13,3,0.000628173585300738,100,1.01302410737537,1.41999901466852,0,2,11,13,0,1.08333333333333,0.781229416857237,0.806843720087957,0,0.807259050537349,318.613624197107,0.615384615384615,0.021473501541688,0,0.781627834597919,0.807337503810483,0
