stageName,factorName,armName,armValue,blockCount,gAUCMedian,IGD100KMedian,numericalScore,gAUCRatioToBestMedian,gAUCRatioCILow,gAUCRatioCIHigh,IGD100KRatioToBestMedian,IGD100KRatioCILow,IGD100KRatioCIHigh,overallWithinFivePercent,allProblemsWithinTenPercent,signrankP,holmP,eligible,selected
ratio,nCritic,nCritic=1,1,30,0.143856931158185,0.0206896358504152,1.07618695918976,1.04152723038931,0.994089225528314,1.10862638689097,1.03595906851866,1.00311645423886,1.13570859877952,1,0,0.0822064659509928,0.164412931901986,0,0
ratio,nCritic,nCritic=2,2,30,0.145854203642494,0.019403188545264,1.0563902650631,1.03656216261389,0.991813791454204,1.13729928340266,1.01353550962874,0.992508007817346,1.07566767085461,1,0,0.221021574813304,0.221021574813304,0,0
ratio,nCritic,nCritic=4,4,30,0.145147457180673,0.0200437177756059,1.02159631464968,1,1,1,1,1,1,1,1,NaN,NaN,1,1
