problem,run,seed,finalDE20IGD,finalCGANIGD,deltaDE20MinusCGAN,wallClockSeconds
LIRCMOP5_BC,1,1,0.0165918927498441,0.0258573395522491,-0.00926544680240501,34.3282955416667
LIRCMOP5_BC,2,2,0.0260885892699646,0.0343101235351332,-0.00822153426516858,48.641954875
LIRCMOP5_BC,3,3,0.0371763679300579,0.0223829023907481,0.0147934655393098,29.3273050416667
LIRCMOP5_BC,4,4,0.0157935633157911,0.0159769299389156,-0.000183366623124473,36.2058961666667
LIRCMOP5_BC,5,5,0.0145500725781607,0.0168371846398171,-0.00228711206165639,40.1905794583333
LIRCMOP7_BC,1,1,0.00820628860161537,0.00834678047507891,-0.000140491873463539,16.4940020416667
LIRCMOP7_BC,2,2,0.00833078289079887,0.00876253605880632,-0.000431753168007446,16.4689891666667
LIRCMOP7_BC,3,3,0.00880696626279591,0.00835296632342775,0.00045399993936816,19.37949725
LIRCMOP7_BC,4,4,0.0080826931006614,0.00828632486596807,-0.000203631765306678,17.012401375
LIRCMOP7_BC,5,5,0.10096542749181,0.00859070625256455,0.0923747212392453,17.4483102083333
LIRCMOP8_BC,1,1,0.00879390943703883,0.00855425399241462,0.000239655444624214,13.9951674583333
LIRCMOP8_BC,2,2,0.00820585922233539,0.00824450274655029,-3.86435242149038e-05,13.4584771666667
LIRCMOP8_BC,3,3,0.00887606985608706,0.0077969508638642,0.00107911899222286,13.7162084166667
LIRCMOP8_BC,4,4,0.0082665147603181,0.00804606620506524,0.000220448555252861,13.183070625
LIRCMOP8_BC,5,5,0.00989748583863096,0.00762126312012162,0.00227622271850934,12.6104814166667
LIRCMOP10_BC,1,1,0.0305709518979484,0.0200257039862796,0.0105452479116688,49.8117785416667
LIRCMOP10_BC,2,2,0.0272224421012367,0.018879551473791,0.00834289062744566,49.3109714166667
LIRCMOP10_BC,3,3,0.0243441364784894,0.0200617315649322,0.00428240491355726,42.3786307083333
LIRCMOP10_BC,4,4,0.0259102332644164,0.0280491813973027,-0.00213894813288635,54.5128132916667
LIRCMOP10_BC,5,5,0.0224129250828435,0.0250535986189863,-0.0026406735361428,44.9179925833333
LIRCMOP12_BC,1,1,0.0341675994614109,0.0342936402058182,-0.000126040744407321,10.40279975
LIRCMOP12_BC,2,2,0.0445808722334607,0.0792323002899237,-0.034651428056463,9.69241070833333
LIRCMOP12_BC,3,3,0.030771781557129,0.0982236081499739,-0.0674518265928448,10.3232847083333
LIRCMOP12_BC,4,4,0.0354581869479282,0.00612870505281747,0.0293294818951108,8.617568375
LIRCMOP12_BC,5,5,0.0222060640378928,0.0807539629863606,-0.0585478989484679,10.7108451666667
LIRCMOP14_BC,1,1,0.101289814471911,0.0990668271741471,0.00222298729776414,83.7141007916667
LIRCMOP14_BC,2,2,0.097915429632223,0.0974927666254162,0.000422663006806739,79.4111004166667
LIRCMOP14_BC,3,3,0.0991498177386022,0.0985922973429781,0.000557520395624081,80.6792590416667
LIRCMOP14_BC,4,4,0.0990138225403196,0.0978146239491768,0.00119919859114281,79.6496882083333
LIRCMOP14_BC,5,5,0.0997847252259798,0.0990615996327466,0.000723125593233273,68.0432760833333
