problem,run,seed,FE,DE20IGD,CGANIGD,deltaDE20MinusCGAN
LIRCMOP5_BC,1,1,10000,1.23867007381102,1.24322078107834,-0.00455070726732076
LIRCMOP5_BC,1,1,20000,1.22513662579934,1.2325138937678,-0.0073772679684645
LIRCMOP5_BC,1,1,30000,1.22501612319319,1.22542018789552,-0.000404064702324458
LIRCMOP5_BC,1,1,40000,1.19842026213504,0.302685103152114,0.895735158982926
LIRCMOP5_BC,1,1,50000,1.18715821409546,0.0737822003398454,1.11337601375562
LIRCMOP5_BC,1,1,60000,0.334082497762098,0.0630767639567494,0.271005733805348
LIRCMOP5_BC,1,1,70000,0.0446932777104745,0.0551400114938855,-0.010446733783411
LIRCMOP5_BC,1,1,80000,0.0242313612314988,0.0439298555533906,-0.0196984943218918
LIRCMOP5_BC,1,1,90000,0.0211768965286646,0.03239894071709,-0.0112220441884254
LIRCMOP5_BC,1,1,100000,0.0165918927498441,0.0258573395522491,-0.00926544680240501
LIRCMOP5_BC,2,2,10000,1.43181230828037,1.27402819243323,0.157784115847143
LIRCMOP5_BC,2,2,20000,1.23386365113395,1.22900130770866,0.00486234342529057
LIRCMOP5_BC,2,2,30000,0.237135419045959,0.28165835537333,-0.0445229363273702
LIRCMOP5_BC,2,2,40000,0.128053469060278,0.117096355853603,0.0109571132066747
LIRCMOP5_BC,2,2,50000,0.10956972673981,0.0909777006180846,0.018592026121725
LIRCMOP5_BC,2,2,60000,0.0987192328754229,0.0837878222106498,0.0149314106647732
LIRCMOP5_BC,2,2,70000,0.0803900927175171,0.0608734734362986,0.0195166192812185
LIRCMOP5_BC,2,2,80000,0.066326483169119,0.0441311472251018,0.0221953359440171
LIRCMOP5_BC,2,2,90000,0.0358905307240858,0.0411103758937139,-0.00521984516962814
LIRCMOP5_BC,2,2,100000,0.0260885892699646,0.0343101235351332,-0.00822153426516858
LIRCMOP5_BC,3,3,10000,1.23168243456622,1.23807156089794,-0.00638912633172151
LIRCMOP5_BC,3,3,20000,1.22198604232614,1.22098239936686,0.00100364295928745
LIRCMOP5_BC,3,3,30000,1.2161787108871,1.21884592323349,-0.00266721234638867
LIRCMOP5_BC,3,3,40000,1.21325383344574,1.21635835348412,-0.00310452003838146
LIRCMOP5_BC,3,3,50000,1.20928894963074,1.19296441916776,0.0163245304629829
LIRCMOP5_BC,3,3,60000,1.17693703001184,1.16525205135871,0.0116849786531306
LIRCMOP5_BC,3,3,70000,1.16319930672168,0.545129456801354,0.618069849920327
LIRCMOP5_BC,3,3,80000,0.333110240744881,0.05182367990591,0.281286560838971
LIRCMOP5_BC,3,3,90000,0.0560674331229402,0.0315269275319553,0.0245405055909849
LIRCMOP5_BC,3,3,100000,0.0371763679300579,0.0223829023907481,0.0147934655393098
LIRCMOP5_BC,4,4,10000,1.2579154355275,1.23670012931287,0.021215306214629
LIRCMOP5_BC,4,4,20000,1.20033654967264,1.20559964750912,-0.00526309783648626
LIRCMOP5_BC,4,4,30000,1.19424966314984,1.198659249483,-0.00440958633316635
LIRCMOP5_BC,4,4,40000,1.18875685895978,1.19761999030959,-0.00886313134981487
LIRCMOP5_BC,4,4,50000,0.77270259898036,1.18586695826864,-0.413164359288285
LIRCMOP5_BC,4,4,60000,0.18545021700654,1.15689398518051,-0.971443768173968
LIRCMOP5_BC,4,4,70000,0.0862396704853381,0.0518704311622826,0.0343692393230555
LIRCMOP5_BC,4,4,80000,0.0236423183200865,0.0268251558950961,-0.00318283757500968
LIRCMOP5_BC,4,4,90000,0.0177717580647504,0.0194327813161209,-0.00166102325137046
LIRCMOP5_BC,4,4,100000,0.0157935633157911,0.0159769299389156,-0.000183366623124473
LIRCMOP5_BC,5,5,10000,1.22285352872668,1.22351879223955,-0.000665263512866332
LIRCMOP5_BC,5,5,20000,1.20936755844138,1.21488304226654,-0.00551548382516454
LIRCMOP5_BC,5,5,30000,1.19685897320783,1.20108691210415,-0.00422793889631934
LIRCMOP5_BC,5,5,40000,1.1866205133695,0.372208724337572,0.814411789031931
LIRCMOP5_BC,5,5,50000,0.324927189105159,0.308993014452468,0.0159341746526905
LIRCMOP5_BC,5,5,60000,0.181347182462946,0.261259100349456,-0.0799119178865099
LIRCMOP5_BC,5,5,70000,0.0268646910825499,0.157039360486952,-0.130174669404402
LIRCMOP5_BC,5,5,80000,0.0192186685216025,0.0371739649503588,-0.0179552964287564
LIRCMOP5_BC,5,5,90000,0.0164574248945195,0.0217263878452827,-0.00526896295076324
LIRCMOP5_BC,5,5,100000,0.0145500725781607,0.0168371846398171,-0.00228711206165639
LIRCMOP7_BC,1,1,10000,0.184266106690817,0.172493269884168,0.0117728368066491
LIRCMOP7_BC,1,1,20000,0.101023605114398,0.118261866706493,-0.0172382615920953
LIRCMOP7_BC,1,1,30000,0.0770935854357467,0.098817968143887,-0.0217243827081403
LIRCMOP7_BC,1,1,40000,0.0304052658726859,0.0869842879294855,-0.0565790220567997
LIRCMOP7_BC,1,1,50000,0.0115658241024925,0.0302070698593236,-0.0186412457568311
LIRCMOP7_BC,1,1,60000,0.00990425223324518,0.0102927412908567,-0.000388489057611512
LIRCMOP7_BC,1,1,70000,0.00919020162483307,0.00890436765809866,0.000285833966734414
LIRCMOP7_BC,1,1,80000,0.00871773921324046,0.00862457811709827,9.31610961421945e-05
LIRCMOP7_BC,1,1,90000,0.00825535518463187,0.00851852565195001,-0.000263170467318137
LIRCMOP7_BC,1,1,100000,0.00820628860161537,0.00834678047507891,-0.000140491873463539
LIRCMOP7_BC,2,2,10000,1.73396893030946,1.69383531184333,0.0401336184661312
LIRCMOP7_BC,2,2,20000,0.0955146827438835,0.124378510123379,-0.028863827379496
LIRCMOP7_BC,2,2,30000,0.0397009185069268,0.0377278279886595,0.00197309051826731
LIRCMOP7_BC,2,2,40000,0.0349569568405899,0.0263217819804851,0.00863517486010483
LIRCMOP7_BC,2,2,50000,0.0253197729250343,0.0149430148459936,0.0103767580790407
LIRCMOP7_BC,2,2,60000,0.0184906219044447,0.00994916513005669,0.00854145677438799
LIRCMOP7_BC,2,2,70000,0.0114107251661987,0.00910553726485699,0.00230518790134174
LIRCMOP7_BC,2,2,80000,0.00968645004438644,0.00874490858369243,0.00094154146069401
LIRCMOP7_BC,2,2,90000,0.00863873775143845,0.00887032358373019,-0.00023158583229174
LIRCMOP7_BC,2,2,100000,0.00833078289079887,0.00876253605880632,-0.000431753168007446
LIRCMOP7_BC,3,3,10000,0.325211654705205,0.276869270248455,0.0483423844567503
LIRCMOP7_BC,3,3,20000,0.124794845727284,0.170554253359977,-0.0457594076326932
LIRCMOP7_BC,3,3,30000,0.131193873179407,0.167553339655653,-0.0363594664762459
LIRCMOP7_BC,3,3,40000,0.113731763602874,0.126819891449857,-0.0130881278469827
LIRCMOP7_BC,3,3,50000,0.108083497068674,0.122067578047978,-0.0139840809793043
LIRCMOP7_BC,3,3,60000,0.0905064332949358,0.0835501536074603,0.00695627968747549
LIRCMOP7_BC,3,3,70000,0.0164532491149657,0.057531760404792,-0.0410785112898263
LIRCMOP7_BC,3,3,80000,0.00971810109721785,0.0193973448048955,-0.00967924370767761
LIRCMOP7_BC,3,3,90000,0.00978138763913424,0.0086736728202324,0.00110771481890185
LIRCMOP7_BC,3,3,100000,0.00880696626279591,0.00835296632342775,0.00045399993936816
LIRCMOP7_BC,4,4,10000,1.68526205262102,0.282984766446313,1.40227728617471
LIRCMOP7_BC,4,4,20000,0.182651758161414,0.138073155074154,0.04457860308726
LIRCMOP7_BC,4,4,30000,0.152824781022703,0.112183721232648,0.0406410597900542
LIRCMOP7_BC,4,4,40000,0.136197918722645,0.0427633052289079,0.0934346134937371
LIRCMOP7_BC,4,4,50000,0.0929261618864856,0.0114368957383671,0.0814892661481185
LIRCMOP7_BC,4,4,60000,0.011090381281964,0.00947720613227806,0.0016131751496859
LIRCMOP7_BC,4,4,70000,0.00886564781035681,0.00903444162755775,-0.000168793817200946
LIRCMOP7_BC,4,4,80000,0.00833278655541982,0.00858299377008352,-0.000250207214663699
LIRCMOP7_BC,4,4,90000,0.0081737996247674,0.00826649160124467,-9.2691976477273e-05
LIRCMOP7_BC,4,4,100000,0.0080826931006614,0.00828632486596807,-0.000203631765306678
LIRCMOP7_BC,5,5,10000,0.188645507823076,0.203357177980261,-0.0147116701571841
LIRCMOP7_BC,5,5,20000,0.143283395929681,0.138052374110774,0.00523102181890781
LIRCMOP7_BC,5,5,30000,0.139504729729321,0.121100907786959,0.0184038219423621
LIRCMOP7_BC,5,5,40000,0.13687481784207,0.100209367178461,0.0366654506636097
LIRCMOP7_BC,5,5,50000,0.131265141111294,0.0787484967506152,0.0525166443606787
LIRCMOP7_BC,5,5,60000,0.130256506418843,0.0230526956660887,0.107203810752754
LIRCMOP7_BC,5,5,70000,0.113995807652859,0.0104359805139193,0.10355982713894
LIRCMOP7_BC,5,5,80000,0.11379240015836,0.00905230050679879,0.104740099651561
LIRCMOP7_BC,5,5,90000,0.100890558672499,0.00856835518695703,0.0923222034855419
LIRCMOP7_BC,5,5,100000,0.10096542749181,0.00859070625256455,0.0923747212392453
LIRCMOP8_BC,1,1,10000,1.68512719235078,0.287764857948918,1.39736233440186
LIRCMOP8_BC,1,1,20000,0.212375752075444,0.208098334554074,0.00427741752136995
LIRCMOP8_BC,1,1,30000,0.173743170181338,0.195041278009724,-0.0212981078283861
LIRCMOP8_BC,1,1,40000,0.14122028776799,0.173641241356539,-0.0324209535885492
LIRCMOP8_BC,1,1,50000,0.130331779912917,0.0473597432985899,0.0829720366143272
LIRCMOP8_BC,1,1,60000,0.0152005427484348,0.0130571729347819,0.00214336981365293
LIRCMOP8_BC,1,1,70000,0.0101737478045992,0.0101960906979358,-2.23428933365712e-05
LIRCMOP8_BC,1,1,80000,0.00913136915907911,0.00975292096329592,-0.000621551804216807
LIRCMOP8_BC,1,1,90000,0.00909769529224845,0.00906035572254032,3.73395697081287e-05
LIRCMOP8_BC,1,1,100000,0.00879390943703883,0.00855425399241462,0.000239655444624214
LIRCMOP8_BC,2,2,10000,1.68639799104816,1.68604308350911,0.000354907539055871
LIRCMOP8_BC,2,2,20000,0.229830124114217,0.25920856547201,-0.0293784413577926
LIRCMOP8_BC,2,2,30000,0.214125234884828,0.225929717575987,-0.0118044826911584
LIRCMOP8_BC,2,2,40000,0.020591210896594,0.0153168361246752,0.00527437477191878
LIRCMOP8_BC,2,2,50000,0.0112904411060243,0.0110524754271232,0.000237965678901027
