ref,count,condition_unique_count,condition_nn_dist50,condition_nn_dist90,tau_iqr,tau_range,y_span_f1_raw,y_span_f2_raw,y_nn_dist50_norm,y_nn_dist90_norm
65,3,1,0,0,0,0,0,0,0,0
66,3,1,0,0,0,0,0,0,0,0
68,3,1,0,0,0,0,0,0,0,0
87,3,1,0,0,0,0,0,0,0,0
88,3,1,0,0,0,0,0,0,0,0
89,3,2,0,0.000218856277951637,0,0,0.00854266387093583,0.00901766634245216,0,0.000218856278078458
90,3,1,0,0,0,0,0,0,0,0
91,3,2,0,0.000851340134661534,-0,0,0.0375605743719751,0.0250182650506521,0,0.000851340134645233
92,3,1,0,0,0,0,0,0,0,0
94,3,1,0,0,0,0,0,0,0,0
95,3,1,0,0,0,0,0,0,0,0
97,3,1,0,0,0,0,0,0,0,0
98,3,1,0,0,0,0,0,0,0,0
100,3,1,0,0,0,0,0,0,0,0
