problem,family,run,seed,candidateCount,eligibleCandidateCount,shortlistedCandidateCount,selectedCandidateCount,selectedSeedCount,feasibleSeedCount,infeasibleSeedCount,selectedUpdateCount,M1,M1_eligible,M1_selected,M2,M3,M4,M3_downstream,M4_tight,M4_recover,gateOpenRate,refineUseCount,refineGainPerSeed,UBY,ABS,AGS,FFC,FGY,tightBracketAbsCount,recoverAbsCount,M5_boundaryEce,M5_boundaryGap,M5_valid,M5_auditReady,M5_boundaryCount,updateCount,validUpdateCount,auditReadyUpdateCount,meanUpdateEceBd,meanUpdateGapBd,finalTrustGate,finalTrustAuditPass,finalTrustWeight,finalCalibrator,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
DASCMOP2_BC,DASCMOP_BC,6,1006,32339,29423,20116,7223,7223,331,6892,917,0.017027987760216,0.017904083035921,0.00580710544096121,0.957081545064378,0.0241691842900302,1,0.0634441087613293,0.336186883343006,0.0619558908879861,0.00755939524838013,21,2.77416197207322e-06,0.00290737920531635,21,0,8,0.0634441087613293,2317,427,0.243463665169208,0.243463665169208,1,1,100,911,907,907,0.247363961349933,0.246803750299099,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP3_BC,DASCMOP_BC,1,1001,4539,2071,2068,1968,1968,57,1911,874,0.0185856764336012,0.0124479183867173,0.0117055343623585,0.971544715447154,0.0175438596491228,1,0.0175438596491228,0.325484039769754,0.0319204604918891,0,0,0,0.000508130081300813,1,0,1,0.0175438596491228,622,61,0.398082984853165,0.398082984853165,1,1,100,968,963,963,0.404994944170508,0.404985215165075,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP3_BC,DASCMOP_BC,2,1002,4095,1940,1939,1889,1889,53,1836,887,0.0152515759477112,0.0111152273283347,0.0114114912029023,0.973001588141874,0,1,0.0377358490566038,0.299019607843137,0.0364923747276688,0,0,0,0.00105876124933827,2,0,0,0.0377358490566038,549,67,0.381549494110155,0.381549494110155,1,1,100,969,963,963,0.425357397777211,0.425357397777211,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP3_BC,DASCMOP_BC,3,1003,4528,2152,2151,1965,1965,65,1900,883,0.0229030315486895,0.0137106515314108,0.0127855908023222,0.96793893129771,0,1,0.0307692307692308,0.307368421052632,0.0352631578947368,0,0,0,0.00101781170483461,2,0,0,0.0307692307692308,584,67,0.387548257634785,0.387548257634785,1,1,100,969,964,964,0.41341925700927,0.413405231658931,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP3_BC,DASCMOP_BC,4,1004,5825,3003,3003,2877,2877,32,2845,920,0.0271443781502288,0.0157598722644213,0.0164398034504753,0.989224887035106,0,1,0.03125,0.258699472759227,0.0323374340949033,0,0,0,0.000347584289190129,1,0,0,0.03125,736,92,0.439214091861305,0.439214091861305,1,1,99,960,926,926,0.447639915219223,0.447464346295838,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP3_BC,DASCMOP_BC,5,1005,4688,2270,2269,2146,2146,57,2089,889,0.017159759505974,0.0105172691834662,0.0111211138387922,0.974836905871389,0,1,0.0526315789473684,0.278602202010531,0.0373384394447104,0,0,0,0.00139794967381174,3,0,0,0.0526315789473684,582,78,0.403962898958106,0.403962898958106,1,1,100,968,964,964,0.436131038293565,0.435930297732382,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP3_BC,DASCMOP_BC,6,1006,6344,3801,3795,3666,3666,93,3573,934,0.0160518129754355,0.0140801872341341,0.0132547788111691,0.975450081833061,0.010752688172043,1,0.032258064516129,0.247970892807165,0.022949902043101,0,0,0,0.000818330605564648,3,0,1,0.032258064516129,886,82,0.234312633372077,0.234312633372077,1,1,100,951,946,946,0.329751894470054,0.329314638259023,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP4_BC,DASCMOP_BC,1,1001,7670,4471,4466,3599,3599,1,3598,530,0.0149661876241602,0.0141832363007449,0.0116807614903235,0.999722145040289,0,1,0,0.398554752640356,0.00277932184546971,0,0,0,0,0,0,0,0,1434,10,0.474513030477784,0.474513030477784,1,1,100,601,502,502,0.487697802278929,0.487697802278929,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP4_BC,DASCMOP_BC,2,1002,5853,3434,3430,3126,3126,12,3114,530,0.0201024970273977,0.0213347373040001,0.0184696069219982,0.997120921305182,0,1,0.25,0.584778420038536,0.0061014771997431,0.0113753877973113,27,0,0.000959692898272553,3,0,0,0.25,1821,19,0.46644158757194,0.461803422767472,1,1,98,598,507,507,0.445641286129565,0.442842655564923,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
DASCMOP4_BC,DASCMOP_BC,3,1003,5725,2579,2571,2457,2457,10,2447,554,0.0171337794314753,0.015177747863503,0.0143403401380279,0.995929995929996,0,1,0,0.436452799346138,0.00326930935839804,0.00513347022587269,8,0,0,0,0,0,0,1068,8,0.47144947369749,0.47144947369749,1,1,100,628,518,518,0.459858122149878,0.459858122149878,0,0,0,raw,boundarycore_raw,BoundaryCore mainline with raw calibrator,raw,224.112529666667
