variant,condition_mode,advWeight,reconstructionWeight,problem,run,target_FE,actual_FE,gen,sample_z_mode,train_x_rec90,train_y_rec90,boundary_dist90,segment_width90,feasible_rate,side_rate,ref_cover
A_ref_only_adv,ref_only,1,0,LIRCMOP5_BC,1,10000,10013,47,zero,0.560849789941427,3.83681820787426,0.0503433723427826,0.055699544477925,1,0.266666666666667,0.675
A_ref_only_adv,ref_only,1,0,LIRCMOP5_BC,1,30000,30023,134,zero,0.384703877881741,0.6373149737253,0.00626457589847573,0.00778948728063007,0.0333333333333333,0.833333333333333,0.0769230769230769
A_ref_only_adv,ref_only,1,0,LIRCMOP5_BC,1,50000,50033,221,zero,0.614529399453691,1.2212040609937,0.0356320091557513,0.0384354111628693,0.3,0.7,0.11864406779661
A_ref_only_adv,ref_only,1,0,LIRCMOP5_BC,1,70000,70043,308,zero,0.769377527761134,1.12064784267289,0.0163899140621267,0.0186228802127739,0.0333333333333333,0.133333333333333,0.0487804878048781
A_ref_only_adv,ref_only,1,0,LIRCMOP5_BC,1,100000,100173,439,zero,0.196965027115626,0.299764681448742,0.00382936948628064,0.00560444345933001,0.166666666666667,1,0.137931034482759
A_ref_only_adv,ref_only,1,0,LIRCMOP6_BC,1,10000,10220,49,zero,0.625206507607581,2.2005823057059,0.0300498385575661,0.0450089625213743,1,0.5,1
A_ref_only_adv,ref_only,1,0,LIRCMOP6_BC,1,30000,30000,135,zero,0.401369561723888,0.554574800138573,0.00993209699289054,0.0101137944700844,0.233333333333333,0.6,0.152173913043478
A_ref_only_adv,ref_only,1,0,LIRCMOP6_BC,1,50000,50010,222,zero,0.572962073884366,0.837597077272543,0.0100722230899594,0.0158888357179492,0.2,0.633333333333333,0.130434782608696
A_ref_only_adv,ref_only,1,0,LIRCMOP6_BC,1,70000,70020,309,zero,0.727257529382167,2.53756886613618,0.0355642920222274,0.0361575167724097,0.2,0.633333333333333,0.111111111111111
A_ref_only_adv,ref_only,1,0,LIRCMOP6_BC,1,100000,100150,440,zero,1.04863088726245,1.69096876999431,0.0133182361371957,0.0133182361371957,0,0.666666666666667,0
A_ref_only_adv,ref_only,1,0,LIRCMOP7_BC,1,10000,10126,46,zero,0.431337444000885,2.09393549415707,0.00902748769765191,0.00902748769765191,0.366666666666667,0.733333333333333,0.458333333333333
A_ref_only_adv,ref_only,1,0,LIRCMOP7_BC,1,30000,30136,133,zero,0.479717774373019,1.78750453115222,0.0197933345383656,0.0216180358130644,0.133333333333333,0.8,0.0909090909090909
A_ref_only_adv,ref_only,1,0,LIRCMOP7_BC,1,50000,50146,220,zero,0.481664476317915,1.39726124891043,0.0130386193659019,0.0130386193659019,0,0.3,0
A_ref_only_adv,ref_only,1,0,LIRCMOP7_BC,1,70000,70156,307,zero,0.689732714004086,1.6303596424099,0.0213991430749515,0.0252298594230513,0.133333333333333,0.533333333333333,0.0657894736842105
A_ref_only_adv,ref_only,1,0,LIRCMOP7_BC,1,100000,100056,437,zero,0.939840452666352,0.473551524039812,0.00684787547349078,0.0103060296755791,0.133333333333333,0.6,0.0617283950617284
A_ref_only_adv,ref_only,1,0,LIRCMOP8_BC,1,10000,10116,47,zero,0.546058815362325,3.28577639342294,0.0072128266900519,0.0219878140582576,0,0.366666666666667,0
A_ref_only_adv,ref_only,1,0,LIRCMOP8_BC,1,30000,30126,134,zero,0.508771997408086,0.87029505868319,0.0106965159126415,0.0118220088592122,0,0.566666666666667,0
A_ref_only_adv,ref_only,1,0,LIRCMOP8_BC,1,50000,50136,221,zero,0.354265794272175,0.636197496725438,0.0155794592751056,0.0155794592751056,0.0666666666666667,0.233333333333333,0.0727272727272727
A_ref_only_adv,ref_only,1,0,LIRCMOP8_BC,1,70000,70146,308,zero,0.566134434369533,1.7873782218043,0.0326094003118907,0.0348791034722765,0.466666666666667,0.8,0.111111111111111
