problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP1_BC,3,ref_y,10000,10014,45,33,1,0.11,33,0,0.00325877659997473,0.0111786406323849,33,20,4,0.0017159794082471,96.969696969697,0.465769621130311,1.31937686478741,0,1,19,20,20,0.606060606060606,0.0335120585950321,0.0389285273874436,0,0.0422971340290948,NaN,0.9,0.301714732082653,1,0.0359934066637483,0.0430897875035083,0.0450087112894154,0.0411014319281854,1,400,36,472,472,165,307,67,12,100,12,5605,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,3,ref_y,30000,30016,136,81,1,0.27,81,0,0.00249452025936488,0.00780319603373919,81,20,4,0.00421194945660652,39.5061728395062,0.507930583154025,0.782535350329919,0,20,0,20,2,0.246913580246914,0.0729035139298808,0.279755584645273,0,0.288025119302055,NaN,0.9,0.447452014875003,0.0740740740740741,0.0834680146932933,0.289829615879885,0.289829615879885,NaN,0.1,400,81,562,562,222,340,146,27,100,27,7650,0,81,81,81,81,81,81,81,81,81,0,20
DASCMOP1_BC,3,ref_y,50000,50036,227,87,1,0.29,87,0,0.00145979012206451,0.00511750286793733,87,20,4,0.00452394571265145,36.7816091954023,0.522639873227205,0.930764727341368,0,20,0,20,0,0.229885057471264,0.0141159503222329,0.0163940941189975,0,0.0214094658272694,NaN,0.55,0.0107387329086198,0,0.0220913106270496,0.0255298393559936,0.0255298393559936,NaN,0,400,93,586,586,225,361,195,29,100,29,11019,0,87,87,87,87,87,87,87,87,87,0,20
DASCMOP1_BC,3,ref_y,70000,70056,318,90,1,0.3,90,0,0.000984599649484815,0.0034515172499882,90,20,4,0.00467994384067391,35.5555555555556,0.565836836971502,0.928893632596835,0,20,0,20,5,0.222222222222222,0.0737386588329408,0.136137962516654,0,0.136137962516654,NaN,0.95,0.515441728460537,0.1,0.0741097665394277,0.136884470664782,0.136884470664782,NaN,0.25,400,90,580,580,228,352,192,31,100,31,10106,0,93,93,93,93,90,90,90,90,90,0,20
DASCMOP1_BC,3,ref_y,100000,100196,455,81,1,0.27,81,0,0.000459388829736551,0.00256021884734123,81,20,4,0.00421194945660652,39.5061728395062,0.342689834856769,0.78067897500963,0,20,0,20,5,0.246913580246914,0.0738230550045944,0.237595226563817,0,0.239362735366017,NaN,0.9,0.557445574367789,0.0740740740740741,0.0746771933043365,0.240598767588578,0.240598767588578,NaN,0.25,400,75,550,550,210,340,175,32,100,32,8034,3,96,96,96,96,81,81,81,81,81,0,20
DASCMOP2_BC,1,ref_y,10000,10211,46,42,1,0.14,42,0,0.00127459675905599,0.00288952702746977,42,20,4,0.00218397379231449,76.1904761904762,0.689875779837625,0.893996424003149,0,0,20,20,0,0.476190476190476,0.127226064431281,0.152628067009537,0,0.153159145565112,NaN,0.95,0.111646240988051,0,0.130733144974566,0.153315488004312,NaN,0.153315488004312,0,400,42,484,484,184,300,64,15,100,15,5728,0,45,45,45,45,42,42,42,42,42,0,20
DASCMOP2_BC,1,ref_y,30000,30011,136,108,1,0.36,108,0,0.00728566344118536,0.0244131316380372,108,20,4,0.00561593260880869,29.6296296296296,0.768590204654934,0.958463859135638,0,10,10,20,1,0.185185185185185,0.0733292884456989,0.0825099754660059,0,0.0880922998174472,NaN,0.55,0.0234285735780966,0.0555555555555556,0.0775434813248094,0.0896834687188351,0.0888250244544432,0.0901167883953661,0.05,400,105,610,610,253,357,207,36,100,36,11571,0,108,108,108,108,108,108,108,108,108,0,20
DASCMOP2_BC,1,ref_y,50000,50031,227,141,1,0.47,141,0,0.00268774680051525,0.0103475773200869,141,20,4,0.0073319120170558,22.6950354609929,0.774061542306101,1.0829300076676,0,2,18,20,2,0.141843971631206,0.0283603367227895,0.0325141804524848,0,0.0414474883611008,NaN,0.8,0.0968085659922295,0.0851063829787234,0.0313918716773857,0.0441443668886505,0.0469278060481397,0.0401839785670549,0.1,400,129,658,658,268,390,226,47,100,47,10924,0,141,141,141,141,141,141,141,141,141,0,20
DASCMOP2_BC,1,ref_y,70000,70051,318,138,1,0.46,138,0,0.00134433568157107,0.0049613395899492,138,20,4,0.00717591388903333,23.1884057971014,0.739567002284417,1.0829300076676,0,5,15,20,6,0.144927536231884,0.0211807029731673,0.0272872921905798,0,0.0282253204486417,NaN,0.75,0.0775109692805186,0.152173913043478,0.023288719350805,0.0290165274955289,0.0289635862936304,0.0290694686974273,0.3,400,138,676,676,279,397,238,48,100,48,11836,0,144,144,144,144,138,138,138,138,138,0,20
DASCMOP2_BC,1,ref_y,100000,100191,455,117,1,0.39,117,0,0.000778360722093635,0.00386783106827283,117,20,4,0.00608392699287609,27.3504273504273,0.739567002284417,1.07525251423917,0,11,9,20,2,0.170940170940171,0.0177961198500702,0.039211327730166,0,0.0425816333609702,NaN,0.75,0.0692925031163024,0.0512820512820513,0.018179487698177,0.0450243926825795,0.0448996703988732,0.0450708720826944,0.1,400,117,634,634,256,378,217,48,100,48,9886,0,144,144,144,144,117,117,117,117,117,0,20
