problem,epoch,run,poolFE,useFE,guidedCount,constrainedPopulationCount,unconstrainedPopulationCount,rawVisibleCount,rawOutsideView,viewLower1,viewUpper1,viewLower2,viewUpper2,viewLower3,viewUpper3,file
LIRCMOP5_BC,400,1,3400,3500,20,100,100,500,0,1.45120944458582,11.1813271846849,0.753596293160486,14.4610218227156,NaN,NaN,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_first_use_epoch_v4_20260901/figures/LIRCMOP5_BC/epoch_0400/LIRCMOP5_BC_epoch0400_run01.png
LIRCMOP5_BC,400,2,4400,4500,20,100,100,496,4,0.127141506978337,12.8554283534549,0,105.451468859776,NaN,NaN,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_first_use_epoch_v4_20260901/figures/LIRCMOP5_BC/epoch_0400/LIRCMOP5_BC_epoch0400_run02.png
LIRCMOP5_BC,600,1,3400,3500,20,100,100,500,0,1.45120944458582,11.1813271846849,0.753596293160486,14.4610218227156,NaN,NaN,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_first_use_epoch_v4_20260901/figures/LIRCMOP5_BC/epoch_0600/LIRCMOP5_BC_epoch0600_run01.png
LIRCMOP5_BC,600,2,4400,4500,20,100,100,496,4,0.290696846150655,9.42076623083623,0,105.451468859776,NaN,NaN,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_first_use_epoch_v4_20260901/figures/LIRCMOP5_BC/epoch_0600/LIRCMOP5_BC_epoch0600_run02.png
LIRCMOP5_BC,800,1,3400,3500,20,100,100,500,0,1.45120944458582,11.1813271846849,0.753596293160486,14.4610218227156,NaN,NaN,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_first_use_epoch_v4_20260901/figures/LIRCMOP5_BC/epoch_0800/LIRCMOP5_BC_epoch0800_run01.png
LIRCMOP5_BC,800,2,4400,4500,20,100,100,495,5,0.252344995637834,10.2261550916055,0,105.451468859776,NaN,NaN,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_first_use_epoch_v4_20260901/figures/LIRCMOP5_BC/epoch_0800/LIRCMOP5_BC_epoch0800_run02.png
LIRCMOP5_BC,1000,1,3400,3500,20,100,100,498,2,1.45120944458582,11.1813271846849,0.753596293160486,14.4610218227156,NaN,NaN,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_first_use_epoch_v4_20260901/figures/LIRCMOP5_BC/epoch_1000/LIRCMOP5_BC_epoch1000_run01.png
LIRCMOP5_BC,1000,2,4400,4500,20,100,100,495,5,0.1633169656214,12.0957437219506,0,105.451468859776,NaN,NaN,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_first_use_epoch_v4_20260901/figures/LIRCMOP5_BC/epoch_1000/LIRCMOP5_BC_epoch1000_run02.png
LIRCMOP5_BC,1200,1,3400,3500,20,100,100,500,0,1.45120944458582,11.1813271846849,0.753596293160486,14.4610218227156,NaN,NaN,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_first_use_epoch_v4_20260901/figures/LIRCMOP5_BC/epoch_1200/LIRCMOP5_BC_epoch1200_run01.png
LIRCMOP5_BC,1200,2,4400,4500,20,100,100,497,3,0.0481092787775742,14.5151051456709,0,105.451468859776,NaN,NaN,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_first_use_epoch_v4_20260901/figures/LIRCMOP5_BC/epoch_1200/LIRCMOP5_BC_epoch1200_run02.png
LIRCMOP7_BC,400,1,2800,2900,20,100,100,500,0,1.35524061400809,14.3758511295116,0.415371823012718,18.229890918072,NaN,NaN,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_first_use_epoch_v4_20260901/figures/LIRCMOP7_BC/epoch_0400/LIRCMOP7_BC_epoch0400_run01.png
