problem,family,run,seed,candidateCount,eligibleCandidateCount,shortlistedCandidateCount,selectedCandidateCount,selectedSeedCount,feasibleSeedCount,infeasibleSeedCount,selectedUpdateCount,M1,M1_eligible,M1_selected,M2,M3,M4,M3_downstream,M4_tight,M4_recover,gateOpenRate,refineUseCount,refineGainPerSeed,UBY,ABS,AGS,FFC,FGY,tightBracketAbsCount,recoverAbsCount,M5_boundaryEce,M5_boundaryGap,M5_valid,M5_auditReady,M5_boundaryCount,updateCount,validUpdateCount,auditReadyUpdateCount,meanUpdateEceBd,meanUpdateGapBd,finalTrustGate,finalTrustAuditPass,finalTrustWeight,finalCalibrator,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
DASCMOP2_BC,DASCMOP_BC,5,1005,31254,24430,19130,6988,6988,45,6943,918,0.0327414939668036,0.0343672847122345,0.0222408547990645,0.994848311390956,0,1,0.2,0.43252196456863,0.00388880887224543,0,0,0,0.00128792215226102,9,0,0,0.2,3003,27,0.328990868064053,0.328990868064053,1,1,96,915,911,911,0.404319521852001,0.402466318769233,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP2_BC,DASCMOP_BC,6,1006,32367,25931,19989,7161,7161,45,7116,916,0.0423064011116345,0.0438826226511865,0.0317257740963369,0.995252059768189,0.2,1,0.244444444444444,0.517284991568297,0.00618324901630129,0,0,0,0.00153609831029186,11,0,9,0.244444444444444,3681,44,0.435877313019693,0.435877313019693,1,1,100,914,910,910,0.407750620212664,0.406355379992169,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP3_BC,DASCMOP_BC,1,1001,4443,2021,2019,1915,1915,54,1861,875,0.035151895871509,0.0312691061087469,0.0295506901940572,0.972323759791123,0.0185185185185185,1,0.0185185185185185,0.300376141859215,0.030091348737238,0,0,0,0.000522193211488251,1,0,1,0.0185185185185185,559,56,0.427698351942054,0.427698351942054,1,1,100,969,964,964,0.435025372915506,0.435025372915506,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP3_BC,DASCMOP_BC,2,1002,4589,1944,1943,1803,1803,29,1774,833,0.012262654964041,0.00872695238782898,0.00939933171004473,0.98447032723239,0,1,0.0344827586206897,0.23337091319053,0.0343855693348365,0,0,0,0.000554631170271769,1,0,0,0.0344827586206897,414,61,0.445385682803709,0.44538568280371,1,1,100,970,963,963,0.459285401628816,0.459285401628816,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP3_BC,DASCMOP_BC,3,1003,4367,1780,1778,1717,1717,57,1660,825,0.0359041606437172,0.0344020635197178,0.033538001695585,0.969714618520676,0.105263157894737,1,0.087719298245614,0.313253012048193,0.0144578313253012,0,0,0,0.0029120559114735,5,0,6,0.087719298245614,520,24,0.410123524926399,0.410123524926399,1,1,100,969,964,964,0.398583072804377,0.39827432876177,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP3_BC,DASCMOP_BC,4,1004,6177,3500,3498,3393,3393,148,3245,938,0.0766302365387114,0.0769257246139188,0.0770579010938685,0.956970232832302,0,1,0.0135135135135135,0.428967642526965,0.0221879815100154,0,0,0,0.000589448865310934,2,0,0,0.0135135135135135,1392,72,0.16668702738714,0.16668702738714,1,1,100,916,911,911,0.236202820713259,0.226465878902683,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP3_BC,DASCMOP_BC,5,1005,4211,1815,1813,1716,1716,84,1632,803,0.072509601999783,0.065699966311151,0.065926197014743,0.952797202797203,0,1,0.0357142857142857,0.535539215686274,0.0386029411764706,0,0,0,0.00174825174825175,3,0,0,0.0357142857142857,874,63,0.252672043493425,0.252672043493425,1,1,98,972,963,963,0.328346041896573,0.328265088951984,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP3_BC,DASCMOP_BC,6,1006,4302,1858,1855,1773,1773,30,1743,840,0.0179450575770534,0.0187625102700176,0.0150814749678136,0.985335589396503,0.0666666666666667,1,0.133333333333333,0.275387263339071,0.0263912794033276,0,0,0,0.00225606316976875,4,0,2,0.133333333333333,480,46,0.441178900326982,0.441178900326982,1,1,100,969,962,962,0.446637152177842,0.446562488819981,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP4_BC,DASCMOP_BC,1,1001,7249,3404,3394,3009,3009,6,3003,534,0.0236859673807004,0.0228706993482241,0.019620952053356,0.998005982053839,0,1,0,0.456210456210456,0.004995004995005,0,0,0,0,0,0,0,0,1370,15,0.486697801997523,0.486697801997523,1,1,100,599,504,504,0.477848445425769,0.477848445425769,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP4_BC,DASCMOP_BC,2,1002,7147,3367,3359,3028,3028,8,3020,530,0.0228866121083929,0.0233634068284577,0.0213821796730667,0.998018494055482,0,1,0.25,0.548013245033113,0.0076158940397351,0,0,0,0.000660501981505945,2,0,0,0.25,1655,23,0.470201525341739,0.470201525341739,1,1,100,598,480,480,0.475507126136418,0.475131405169919,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
DASCMOP4_BC,DASCMOP_BC,3,1003,7241,3486,3483,3018,3018,2,3016,551,0.0295682341508246,0.0308097515884741,0.0258258665153038,0.999668654738237,0,1,0.5,0.542440318302387,0.00464190981432361,0.0247933884297521,53,0,0.000331345261762757,1,0,0,0.5,1636,14,0.355747822649042,0.355747822649042,1,1,90,623,501,501,0.469071290252122,0.468974743722354,0,0,0,beta,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
