scope,name,family,problemCount,runCount,candidateCount_mean,candidateCount_median,selectedSeedCount_mean,selectedSeedCount_median,M1_mean,M1_median,M1_eligible_mean,M1_selected_mean,M2_mean,M2_median,M3_mean,M3_median,M3_downstream_mean,M4_mean,M4_median,M4_tight_mean,M4_recover_mean,gateOpenRate_mean,refineUseCount_mean,refineGainPerSeed_mean,UBY_mean,ABS_mean,AGS_mean,FFC_mean,FGY_mean,tightBracketAbsCount_mean,recoverAbsCount_mean,M5_boundaryEce_mean,M5_boundaryEce_median,M5_boundaryGap_mean,M5_boundaryGap_median,M5_validRunCount,auditReadyRunCount,validUpdateCount_mean,auditReadyUpdateCount_mean,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
problem,DASCMOP1_BC,DASCMOP_BC,1,6,25709.3333333333,25831.5,6973.33333333333,6983,0.0666835654691919,0.0676755616168512,0.0729296202004034,0.0465066520104228,0.996540136888447,0.996831102168455,0,0,0.214681504322159,1,1,0.456387850248614,0.0217776671065345,0,0,0,0.000786910987227974,5.5,0,0,0.214681504322159,3170,151.166666666667,0.354269277806028,0.364725374615239,0.354269277806028,0.364725374615239,6,6,876,876,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
problem,DASCMOP2_BC,DASCMOP_BC,1,6,32478,32361,7135.16666666667,7143,0.0497077201734217,0.0464306852337153,0.052403275870567,0.0346812671631423,0.995047236878568,0.995050185579572,0.092866498701739,0.0566188197767145,0.220020186610576,1,1,0.518051975662737,0.00517816708542414,0.00107855532923285,1.5,7.38424134864011e-07,0.00137596300700424,9.83333333333333,0,4.16666666666667,0.220020186610576,3674.66666666667,36.6666666666667,0.394597344209641,0.417461371236719,0.394597344209641,0.417461371236719,6,6,910,910,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
problem,DASCMOP3_BC,DASCMOP_BC,1,6,4681.5,4405,2052.83333333333,1788,0.0417339345991358,0.0355280282576131,0.0392977205352302,0.0384255994460187,0.970268621761699,0.971019189155899,0.0317413905133203,0.00925925925925926,0.0538802846576591,1,1,0.347815698108375,0.0276861585811982,0,0,0,0.00143044067942749,2.66666666666667,0,1.5,0.0538802846576591,706.5,53.6666666666667,0.357290921813285,0.418910938434227,0.357290921813285,0.418910938434227,6,6,954.5,954.5,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
problem,DASCMOP4_BC,DASCMOP_BC,1,6,7580.83333333333,7245,3184,3023,0.028085771556439,0.0232862897445467,0.0295864121877782,0.0254301759001231,0.997543351457523,0.998205388506841,0,0,0.213888888888889,1,1,0.53780660328214,0.0060487815360292,0.00481880881656184,12.5,0,0.0003337453114159,1,0,0,0.213888888888889,1730.16666666667,19.8333333333333,0.409643049951743,0.421060850639857,0.409643049951743,0.421060850639857,6,6,513.833333333333,513.833333333333,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
problem,DASCMOP5_BC,DASCMOP_BC,1,6,9639.33333333333,9658,3508.16666666667,3326,0.0317274598922046,0.0253328015297708,0.0329287755202058,0.0260472504584868,0.999088072807091,0.999074013731939,0.037037037037037,0,0.375661375661376,1,1,0.528786282385932,0.00419844603300671,0,0,0,0.000591732106820059,2.16666666666667,0,0.333333333333333,0.375661375661376,1876.16666666667,14.3333333333333,0.450204433307115,0.465379319176773,0.450204433307115,0.465379319176773,6,6,533.666666666667,533.666666666667,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
problem,DASCMOP6_BC,DASCMOP_BC,1,6,3041.5,3315,1191.33333333333,1302,0.0162412571703105,0.0139731056401569,0.0149963998552388,0.01495423159224,0.999017380363771,0.999083553609237,0,0,0.25,1,1,0.497665000560922,0.00392175129927509,0.000169204737732657,0.333333333333333,1.83247700709344e-07,0.00055044540338658,0.666666666666667,0,0,0.25,597.833333333333,4.5,0.469015773665352,0.47474816415296,0.469015773665352,0.47474816415296,6,6,538.166666666667,538.166666666667,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
problem,DASCMOP7_BC,DASCMOP_BC,1,6,13063.8333333333,12691.5,4194.66666666667,4096,0.0440402836762086,0.0418630376537091,0.0479110656333681,0.0305791315402148,0.998850075931324,0.999663995208039,0.110199741778689,0.116883116883117,0.753463203463204,1,1,0.613341155421684,0.00510420998216168,0.00139178844815588,3.16666666666667,3.1786673195131e-06,0.00200037631191148,8.33333333333333,0,1.33333333333333,0.753463203463204,2587.16666666667,21.3333333333333,0.432726762969332,0.423184227004263,0.432726762969332,0.423184227004263,6,6,574.166666666667,574.166666666667,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
problem,DASCMOP8_BC,DASCMOP_BC,1,6,14758.5,14632.5,4282.5,4308,0.0576732739577713,0.0660897101304501,0.062537245647363,0.0378815947872567,0.999734100019503,0.999767774608547,0.0351851851851852,0,0.752910052910053,1,1,0.616661354928104,0.00832649938161699,0.00330969209034802,8,3.06428308132766e-07,0.00151588643854048,6.5,0,0.333333333333333,0.752910052910053,2648.83333333333,36.5,0.390690025257618,0.373959990173928,0.390690025257618,0.373959990173928,5,5,550.5,550.5,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
problem,DASCMOP9_BC,DASCMOP_BC,1,6,17751.6666666667,17685,6954,6951.5,0.0376521892539769,0.0391368614960909,0.0399230345788817,0.0233395433759707,0.99937789836812,0.999358689155933,0.0636363636363636,0,0.559255015137368,1,1,0.396302044967801,0.00302402972892104,0,0,0,0.000815681244854992,5.66666666666667,0,0.666666666666667,0.559255015137368,2753.16666666667,21,0.379698425290628,0.350408612937355,0.379698425290628,0.350408612937355,6,6,912.833333333333,912.833333333333,bridge_topk_1,Bridge ablation with BridgeTopK = 1,beta,222.617956208333
