problem,run,targetFE,actualFE,D,gen,train_count,query_count,bmem_count,chain_count,status,error_message
DASCMOP4_BC,1,100000,100167,30,462,23,20,23,6,ok,
DASCMOP4_BC,2,100000,100000,30,480,26,20,26,7,ok,
DASCMOP4_BC,3,100000,100148,30,459,22,20,22,5,ok,
DASCMOP5_BC,1,100000,100175,30,484,33,20,33,12,ok,
DASCMOP5_BC,2,100000,100000,30,499,0,0,0,0,empty_train,
DASCMOP5_BC,3,100000,100000,30,499,0,0,0,0,empty_train,
LIRCMOP9_BC,1,100000,100178,30,465,19,19,19,4,ok,
LIRCMOP9_BC,2,100000,100115,30,466,16,16,16,4,ok,
LIRCMOP9_BC,3,100000,100112,30,461,28,20,28,7,ok,
LIRCMOP10_BC,1,100000,100124,30,460,36,20,36,8,ok,
LIRCMOP10_BC,2,100000,100022,30,463,50,20,50,5,ok,
LIRCMOP10_BC,3,100000,100186,30,463,48,20,48,8,ok,
