problem,run,seed,targetFE,actualFE,IGD,HV,p1Feasible,p1NondominatedFeasible,activePairs,activeReferences,gapMedian,gapP90,trainingEvents,guidedSelected,guidedFeasible,guidedSurvived
LIRCMOP10_BC,1,1,10000,10000,0.754280158464856,0.137191901850019,100,100,10,10,0.236761241107843,0.357528712390953,0,0,0,0
LIRCMOP10_BC,1,1,20000,20000,0.459495930653971,0.42242410541413,100,100,8,8,0.0804165996264341,0.183603825164338,0,0,0,0
LIRCMOP10_BC,1,1,30000,30000,0.415662082831014,0.481970116400289,100,100,9,9,0.0400579265418222,0.0511404480178034,0,0,0,0
LIRCMOP10_BC,1,1,40000,40000,0.273436054451903,0.557004669969347,100,100,15,15,0.0350651305320955,0.106238287812407,0,0,0,0
LIRCMOP10_BC,1,1,50000,50000,0.219004887344318,0.596699851580445,100,100,15,15,0.0445110105966256,0.0660579926618203,0,0,0,0
LIRCMOP10_BC,1,1,60000,60000,0.217613790333786,0.602747830390722,100,100,14,14,0.0450839633289866,0.071637226149709,0,0,0,0
LIRCMOP10_BC,1,1,70000,70000,0.216860541084209,0.603730941619738,100,100,15,15,0.0392907734953865,0.0711767932573911,0,0,0,0
LIRCMOP10_BC,1,1,80000,80000,0.12385698467476,0.654703637011777,100,100,21,21,0.0392907734953865,0.0838317647911618,0,0,0,0
LIRCMOP10_BC,1,1,90000,90000,0.107999176175356,0.666277684874411,100,100,21,21,0.0454534198305031,0.105419670878374,0,0,0,0
LIRCMOP10_BC,1,1,100000,100000,0.0305709518979484,0.691268992818182,100,100,22,22,0.0578917019426246,0.138392109938375,0,0,0,0
LIRCMOP10_BC,2,2,10000,10000,0.674556084439937,0.207104611549043,100,100,5,5,0.149976723198172,0.417925633516727,0,0,0,0
LIRCMOP10_BC,2,2,20000,20000,0.424344939081469,0.471106423686001,100,100,7,7,0.0410078932185068,0.104576934693057,0,0,0,0
LIRCMOP10_BC,2,2,30000,30000,0.41595312445006,0.483900704888757,100,100,10,10,0.0362586528183862,0.0582612854264509,0,0,0,0
LIRCMOP10_BC,2,2,40000,40000,0.291626538513369,0.546302803662955,100,100,13,13,0.0329494623149551,0.0908849627367673,0,0,0,0
LIRCMOP10_BC,2,2,50000,50000,0.233399705856759,0.583316429759717,100,100,15,15,0.047633420921368,0.093193540800542,0,0,0,0
LIRCMOP10_BC,2,2,60000,60000,0.218096866139501,0.597736796769435,100,100,15,15,0.0514780217276118,0.105415384698662,0,0,0,0
