problem,run,seed,fe,kind,nCritic,epochs,trainingPairs,changedPairs,newRegions,updates,pairVisits,batchesPerEpoch,trainingSeconds,preAllEndpointRMSE,postAllEndpointRMSE,preChangedEndpointRMSE,postChangedEndpointRMSE,prePairDifferenceRMSE,postPairDifferenceRMSE,preSameConditionThickness,postSameConditionThickness
LIRCMOP5_BC,1,1,4600,initial,5,500,33,33,33,1000,16500,2,125.177298041667,NaN,0.111366508469272,NaN,0.111366508469272,NaN,0.0845075293656775,NaN,0.0758041458005149
LIRCMOP5_BC,1,1,4800,retrain,5,20,41,73,30,40,820,2,8.66782020833333,0.112050913024664,0.108904325688701,0.112050913024664,0.108904325688701,0.0794017595348383,0.0786713449006624,0.0756968277783333,0.0733284282756709
LIRCMOP5_BC,1,1,5000,retrain,5,20,36,75,15,40,720,2,7.90796504166667,0.108664044181857,0.105764654977799,0.109020097534801,0.106117308960738,0.0783599439668495,0.0777409327226413,0.0727903037456297,0.0710589964703902
LIRCMOP5_BC,1,1,5200,retrain,5,20,40,30,6,40,800,2,6.11595920833333,0.102674462201658,0.100505788610122,0.102184264504155,0.0995940515009399,0.0781915463002408,0.0772939842521031,0.0716177799035171,0.0700564679614899
LIRCMOP5_BC,1,1,5400,retrain,5,20,40,78,23,40,800,2,5.20320475,0.103777881137292,0.10174359517837,0.104044849042974,0.102025840121308,0.0772217933217237,0.0769797078276172,0.0700227064159292,0.0680425115018776
LIRCMOP5_BC,1,1,5600,retrain,5,20,41,78,22,40,820,2,5.84747895833333,0.101840229521633,0.100021277723036,0.102169763284042,0.100379809329457,0.0773454094420739,0.076595377999506,0.0681618640511676,0.0662502875947308
LIRCMOP5_BC,1,1,7400,retrain,5,20,32,73,16,20,640,1,2.58875358333333,0.0952004431076266,0.0921820098571133,0.0952004431076266,0.0921820098571133,0.0657776846041134,0.06558229152981,0.0665526845849261,0.0659979714625324
LIRCMOP5_BC,1,1,7600,retrain,5,20,32,58,12,20,640,1,2.41351325,0.0913602727114252,0.0886088349084471,0.0895703193193287,0.086803664024528,0.0659611471648009,0.0656466836078631,0.0662372227706805,0.0652109980982117
LIRCMOP5_BC,1,1,8000,retrain,5,20,37,69,19,40,740,2,5.68595116666667,0.0883333492923293,0.0845877518038599,0.0883333492923293,0.0845877518038599,0.0666959049180302,0.066602803955663,0.0644056043912347,0.0624927385918765
LIRCMOP5_BC,1,1,8200,retrain,5,20,40,40,3,40,800,2,5.04489420833333,0.0844463345254419,0.0838763422983927,0.082336291294179,0.081556998723661,0.0638236650534522,0.0638653658708173,0.0627645055236198,0.060676232847412
LIRCMOP5_BC,1,1,8400,retrain,5,20,36,58,13,40,720,2,4.78603804166667,0.0846015175305195,0.0852264956311905,0.0836324636993583,0.084196250713154,0.0628146364216567,0.0625582521722692,0.060188619442576,0.0586666370993014
LIRCMOP5_BC,1,1,8600,retrain,5,20,37,71,16,40,740,2,4.83686054166667,0.0860214333245906,0.0848824091591597,0.0857701888173154,0.0846676287131302,0.063389373405381,0.0626920522383573,0.0589841465351576,0.0579064570692962
LIRCMOP5_BC,1,1,8800,retrain,5,20,37,73,20,40,740,2,4.68155225,0.0865590907054374,0.0840493064324833,0.0865590907054374,0.0840493064324833,0.0623388889304314,0.0617225122981709,0.0578363715562639,0.0567968911619857
LIRCMOP5_BC,1,1,9000,retrain,5,20,38,32,2,40,760,2,6.23946075,0.0827806635262068,0.0811553900892118,0.0866554948328952,0.0849599057699474,0.0606895564079624,0.0602277836487952,0.0569216779831336,0.0558103728423446
LIRCMOP5_BC,1,1,9200,retrain,5,20,34,42,8,40,680,2,6.24004733333333,0.0780371382027059,0.0775179126418257,0.0785613549582889,0.0785840367274722,0.0594489620064536,0.059123020520566,0.0556661820358833,0.0548994741006363
LIRCMOP5_BC,1,1,9400,retrain,5,20,35,18,1,40,700,2,6.86955654166667,0.0769771469792045,0.0759945849998468,0.0747549335416809,0.0734530831312168,0.0569696281223609,0.056750282467342,0.0547442557636926,0.0539168640506275
LIRCMOP5_BC,1,1,9600,retrain,5,20,41,26,6,40,820,2,5.50678983333333,0.077234383075065,0.0761936692311272,0.0808832355986995,0.0781969912404382,0.0585159720979167,0.0584606148352168,0.0542953088836533,0.0536067159826813
LIRCMOP5_BC,1,1,9800,retrain,5,20,42,31,3,40,840,2,6.28074795833333,0.077722996081201,0.0769681787003793,0.0790112629930876,0.0779116401631569,0.0583457480003214,0.0584544529964649,0.0537973946558202,0.0524516059611994
