setting,variant,condition_mode,advWeight,reconstructionWeight,nGen,zDim,ganIter,ganMiniBatch,trainMode,trainZMode,sampleZMode,maxCandidatePairsPerRef,networkPreset,generatorHidden,discriminatorHidden,problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
B_ref_only_adv_huber,B_ref_only_adv_huber,ref_only,1,1,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP6_BC,1,100000,100150,440,54,1,0.18,54,0,0.0136239117036351,0.045866163901361,54,30,2,0.00284584980237154,59.2592592592593,0.136879212952417,0.201659247090079,0.271778782924104,0.953712496252561,0.611111111111111,1.0836285748543,1.17454713429257,zero,30,0,30,3,0.555555555555556,0.0134721680148258,0.0196948107981371,0,0.0226600751704885,NaN,0.866666666666667,0.0612162867873826,0.111111111111111,0.0170035769137738,0.0227304807956686,0.0227304807956686,NaN,0.1,400,51,502,502,292,210,219,63,100,63,6208,1327,64,64,64,54,54,54,54,54,54,0,30
B_ref_only_adv_huber,B_ref_only_adv_huber,ref_only,1,1,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP7_BC,1,10000,10129,46,74,1,0.27,74,0,0.00625913845366818,0.0145635788706406,74,30,2,0.00389986824769433,43.2432432432432,0.261638961991072,0.368905725308862,0,0.614177606044593,0.108108108108108,0.321243370290284,0.761814697649493,zero,30,0,30,0,0.405405405405405,0.0115895125945652,0.0137649470758933,0,0.0137649470758933,NaN,0.5,-0.000463375363615348,0,0.0122425462758047,0.0170945379890588,0.0170945379890588,NaN,0,400,63,526,526,357,169,150,43,89,37,2767,46,109,109,109,93,74,74,74,74,74,0,30
B_ref_only_adv_huber,B_ref_only_adv_huber,ref_only,1,1,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP7_BC,1,30000,30139,133,174,1,0.58,174,0,0.00157382201665463,0.00421783822164992,174,30,2,0.0091699604743083,18.3908045977011,0.226118048148869,0.326249831776577,0,0.853712752097362,0.155172413793103,0.280441545160164,0.39082705903395,zero,30,0,30,3,0.172413793103448,0.00128590810045095,0.00282174608653711,0,0.00702828541568015,NaN,1,0.0861863843745729,0.0689655172413793,0.00328583236700538,0.00814520251099007,0.00814520251099007,NaN,0.1,400,162,724,724,361,363,302,65,100,65,11699,10,195,195,195,189,174,174,174,174,174,0,30
B_ref_only_adv_huber,B_ref_only_adv_huber,ref_only,1,1,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP7_BC,1,50000,50149,220,36,1,0.12,36,0,0.00164808388411598,0.00738325348869293,36,30,2,0.00189723320158103,88.8888888888889,0.281742287734771,0.495873486944092,0,0,0,0.452022464762129,1.12274215318044,zero,13,17,30,4,0.833333333333333,0.0020210897602898,0.00554136121987165,0,0.0152437976952362,NaN,0.533333333333333,0.00345568198210089,0.333333333333333,0.0132482209301425,0.016017611145994,0.013291586762747,0.0227565120345378,0.133333333333333,400,36,472,472,374,98,155,42,27,12,3917,2,36,36,36,36,36,36,36,36,36,0,30
B_ref_only_adv_huber,B_ref_only_adv_huber,ref_only,1,1,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP7_BC,1,70000,70159,307,186,1,0.62,186,0,0.00278439573275793,0.00848412868895585,186,30,2,0.00980237154150198,17.2043010752688,0.396706187269861,0.935844568462015,0,1,0.112903225806452,0.862260828784834,0.899851556102626,zero,30,0,30,1,0.161290322580645,0.0113167129291249,0.0188331251965867,0,0.0212195815060044,NaN,0.666666666666667,0.0445439685376061,0.032258064516129,0.013383027312921,0.0225776474765502,0.0225776474765502,NaN,0.0333333333333333,400,219,838,838,425,413,352,69,100,69,15743,4,207,207,207,204,186,186,186,186,186,0,30
B_ref_only_adv_huber,B_ref_only_adv_huber,ref_only,1,1,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP7_BC,1,100000,100059,437,228,1,0.76,228,0,0.00227842801721232,0.00577891079937871,228,30,2,0.0120158102766798,14.0350877192982,0.488312378351212,1.49028554958331,-0,1,0.0657894736842105,1.20849340316986,0.826805025647497,zero,24,6,30,2,0.131578947368421,0.00567471722581989,0.0410346980783191,0,0.0442313142033678,NaN,0.466666666666667,-0.00847875045606813,0.0526315789473684,0.00995516492929689,0.0443620596030862,0.0423141546907635,0.0440430908858622,0.0666666666666667,400,255,910,910,396,514,356,80,100,80,18541,0,240,240,240,240,228,228,228,228,228,0,30
B_ref_only_adv_huber,B_ref_only_adv_huber,ref_only,1,1,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP8_BC,1,10000,10116,47,102,1,0.34,102,0,0.00339672748370379,0.00745631179688425,102,30,2,0.00537549407114624,31.3725490196078,0.403841194657435,0.555996326553203,0,0.944297320600512,0.205882352941176,0.52524955632065,2.19805380773245,zero,22,8,30,2,0.294117647058824,0.00666690630757447,0.013234914204489,0,0.0385750087531101,NaN,0.766666666666667,0.0112051201868393,0.0588235294117647,0.0302313971421906,0.0390686261329344,0.0390578179461259,0.0390477651103441,0.0666666666666667,400,96,592,592,449,143,273,58,64,40,4982,0,120,120,120,117,102,102,102,102,102,0,30
B_ref_only_adv_huber,B_ref_only_adv_huber,ref_only,1,1,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP8_BC,1,30000,30126,134,151,1,0.51,151,0,0.00250198180602007,0.00905049040031343,151,30,2,0.00795783926218709,21.1920529801325,0.487319368657371,0.670823094298356,0,1,0.158940397350993,0.589602451394855,3.08779163158842,zero,24,6,30,7,0.198675496688742,0.0115286513590848,0.0374753890945014,0,0.0432376988292493,NaN,0.833333333333333,0.0196880781462143,0.137254901960784,0.0150690207119692,0.0452705084091502,0.0444274824338049,0.0469827738901704,0.233333333333333,400,147,694,694,458,236,299,77,80,61,6888,38,174,174,174,173,151,151,151,151,151,0,30
B_ref_only_adv_huber,B_ref_only_adv_huber,ref_only,1,1,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP8_BC,1,50000,50136,221,138,1,0.46,138,0,0.00245337997114684,0.00782283858956287,138,30,2,0.00727272727272727,23.1884057971014,0.223510709234991,0.355058708855382,0,1,0.188405797101449,0.464074209447534,0.485368930046295,zero,30,0,30,4,0.217391304347826,0.00192774082330406,0.00331074380699768,0,0.00519479492096901,NaN,0.833333333333333,0.00621818049675876,0.130434782608696,0.00337447350903359,0.00625822570882523,0.00625822570882523,NaN,0.133333333333333,400,135,670,670,389,281,280,53,100,53,8587,16,152,152,152,152,138,138,138,138,138,0,30
B_ref_only_adv_huber,B_ref_only_adv_huber,ref_only,1,1,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP8_BC,1,70000,70146,308,181,1,0.61,181,0,0.00145601543835475,0.00530536491323947,181,30,2,0.00953886693017128,17.6795580110497,0.296917524725082,0.551391586375306,0,1,0.0828729281767956,0.400844183022578,0.519123113684412,zero,30,0,30,7,0.165745856353591,0.00234817074295307,0.0038091381919549,0,0.00520416985177856,NaN,0.8,0.032843019383389,0.0819672131147541,0.00468247650050342,0.00534251270777647,0.00534251270777647,NaN,0.233333333333333,400,208,816,816,397,419,340,68,100,68,16485,1,204,204,204,204,181,181,181,181,181,0,30
B_ref_only_adv_huber,B_ref_only_adv_huber,ref_only,1,1,30,2,50,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP8_BC,1,100000,100046,438,216,1,0.72,216,0,0.00146827689562072,0.00595343337918747,216,30,2,0.0113833992094862,14.8148148148148,0.314636787588281,0.727028713628124,0,1,0.152777777777778,0.641645717738631,2.32182264865194,zero,14,16,30,7,0.138888888888889,0.00810443056505507,0.043057553085638,0,0.0623139445970609,NaN,0.866666666666667,0.0476305829752444,0.111111111111111,0.0104882326001527,0.0636542573697721,0.0664703611441431,0.0556407111538098,0.233333333333333,400,213,826,826,368,458,325,81,98,79,15412,0,237,237,237,237,216,216,216,216,216,0,30
