FE,pairedObservations,quota30Wins,quota20WinsVs30,meanRelativeDelta30Percent,medianRelativeDelta30Percent,quota40Wins,quota20WinsVs40,meanRelativeDelta40Percent,medianRelativeDelta40Percent,quota50Wins,quota20WinsVs50,meanRelativeDelta50Percent,medianRelativeDelta50Percent
10000,60,31,29,34.5112756064838,-0.647453659254126,29,31,11.643886103638,0.101198773417646,27,33,14.55506587884,0.15566795880939
20000,60,29,31,11.2522482220084,0.462280527838246,37,23,-3.74704237682757,-2.1451285870555,24,36,15.6754449376203,2.19459316347059
30000,60,29,31,25.1193392650254,0.454227655231748,31,29,14.144848985122,-0.151577106236852,25,35,27.1647201951048,2.07107702229989
40000,60,37,23,33.5905598498954,-0.982387554768893,33,27,31.8549651159048,-0.49485418685827,34,26,43.105618204375,-0.21994471756665
50000,60,35,25,56.3904072818218,-1.55277272129273,35,25,37.7923397633258,-1.39820108874091,32,28,51.6027914495225,-0.368504150093816
60000,60,33,27,41.7215290955187,-0.689972714282934,33,27,36.0812679665069,-0.869544046807234,29,31,69.473273284106,0.055923770844597
70000,60,30,30,25.8945525482296,-0.414210023160082,31,29,19.0373096064791,-0.435803324250803,27,33,59.8052619916534,1.65945874376054
80000,60,26,34,28.114418843654,0.736745467531114,31,29,24.7447176379075,-0.621505395123016,27,33,62.9521641714692,1.53326594243055
90000,60,30,30,21.9266447504412,0.187251062463028,26,34,30.070337934413,0.882367897723128,27,33,58.6472046765127,2.1834077382654
100000,60,31,29,25.2160686596716,-0.635421308945848,29,31,24.9376259435904,0.775541591019114,26,34,37.0166244273307,1.49519975840131
