problem,calibratorVariant,baseVariant,compareVariant,metric,pairCount,baseMedian,compareMedian,medianDiff,signrankP
DASCMOP1_BC,auto,Full,HighProbBoundary,QPTau,5,1,1,0,1
DASCMOP1_BC,auto,Full,ParetoOnly,QPTau,5,1,1,0,1
DASCMOP1_BC,auto,Full,RandBoundary,QPTau,5,1,1,0,1
DASCMOP1_BC,auto,Full,UncertainOnly,QPTau,5,1,1,0,1
DASCMOP1_BC,auto,Full,HighProbBoundary,meanDB,5,0.000863302150223209,0.000739760355686268,0.000123541794536941,0.0625
DASCMOP1_BC,auto,Full,ParetoOnly,meanDB,5,0.000863302150223209,0.000863302150223209,0,1
DASCMOP1_BC,auto,Full,RandBoundary,meanDB,5,0.000863302150223209,0.000769722304211916,0.000104514075371436,0.0625
DASCMOP1_BC,auto,Full,UncertainOnly,meanDB,5,0.000863302150223209,0.000726944117213424,0.000136358033009785,0.0625
DASCMOP1_BC,auto,Full,HighProbBoundary,medianDB,5,0.0010223265883552,0.000865622918180503,0.000165308036262787,0.0625
DASCMOP1_BC,auto,Full,ParetoOnly,medianDB,5,0.0010223265883552,0.0010223265883552,0,1
DASCMOP1_BC,auto,Full,RandBoundary,medianDB,5,0.0010223265883552,0.000892231035858652,0.000137638776979929,0.0625
DASCMOP1_BC,auto,Full,UncertainOnly,medianDB,5,0.0010223265883552,0.000849152639736892,0.000173173948618309,0.0625
DASCMOP1_BC,auto,Full,HighProbBoundary,rhoUtilityNegDB,5,0.231255430410675,-0.020854682894964,0.252110113305639,0.0625
DASCMOP1_BC,auto,Full,ParetoOnly,rhoUtilityNegDB,5,0.231255430410675,0.231255430410675,0,1
DASCMOP1_BC,auto,Full,RandBoundary,rhoUtilityNegDB,5,0.231255430410675,-0.0228048307366046,0.258982015021301,0.0625
DASCMOP1_BC,auto,Full,UncertainOnly,rhoUtilityNegDB,5,0.231255430410675,-0.124853645725089,0.35673671326495,0.0625
DASCMOP1_BC,beta,Full,HighProbBoundary,QPTau,5,1,1,0,1
DASCMOP1_BC,beta,Full,ParetoOnly,QPTau,5,1,1,0,1
DASCMOP1_BC,beta,Full,RandBoundary,QPTau,5,1,1,0,1
DASCMOP1_BC,beta,Full,UncertainOnly,QPTau,5,1,1,0,1
DASCMOP1_BC,beta,Full,HighProbBoundary,meanDB,5,0.000866773464422519,0.000757460316646015,0.000109313147776504,0.0625
DASCMOP1_BC,beta,Full,ParetoOnly,meanDB,5,0.000866773464422519,0.000866773464422519,0,1
DASCMOP1_BC,beta,Full,RandBoundary,meanDB,5,0.000866773464422519,0.000779088069803269,0.000104544767368343,0.0625
DASCMOP1_BC,beta,Full,UncertainOnly,meanDB,5,0.000866773464422519,0.000756910954462314,0.000109014166614884,0.0625
DASCMOP1_BC,beta,Full,HighProbBoundary,medianDB,5,0.00102825455412752,0.000868299604670013,0.000148896268293375,0.0625
DASCMOP1_BC,beta,Full,ParetoOnly,medianDB,5,0.00102825455412752,0.00102825455412752,0,1
DASCMOP1_BC,beta,Full,RandBoundary,medianDB,5,0.00102825455412752,0.000900093338219272,0.000128671664358385,0.0625
DASCMOP1_BC,beta,Full,UncertainOnly,medianDB,5,0.00102825455412752,0.000869635512697308,0.000148896268293375,0.0625
DASCMOP1_BC,beta,Full,HighProbBoundary,rhoUtilityNegDB,5,0.219906930204462,0.118988110273842,0.10457765588644,0.125
DASCMOP1_BC,beta,Full,ParetoOnly,rhoUtilityNegDB,5,0.219906930204462,0.219906930204462,0,1
DASCMOP1_BC,beta,Full,RandBoundary,rhoUtilityNegDB,5,0.219906930204462,-0.0100844400602396,0.224570544944879,0.0625
DASCMOP1_BC,beta,Full,UncertainOnly,rhoUtilityNegDB,5,0.219906930204462,-0.0163940389400953,0.219338685104238,0.0625
DASCMOP1_BC,raw,Full,HighProbBoundary,QPTau,5,1,1,0,1
DASCMOP1_BC,raw,Full,ParetoOnly,QPTau,5,1,1,0,1
DASCMOP1_BC,raw,Full,RandBoundary,QPTau,5,1,1,0,1
DASCMOP1_BC,raw,Full,UncertainOnly,QPTau,5,1,1,0,1
DASCMOP1_BC,raw,Full,HighProbBoundary,meanDB,5,0.000863302150223209,0.000745635638124361,0.000123246145566974,0.0625
DASCMOP1_BC,raw,Full,ParetoOnly,meanDB,5,0.000863302150223209,0.000863302150223209,0,1
DASCMOP1_BC,raw,Full,RandBoundary,meanDB,5,0.000863302150223209,0.000772307306593579,9.09948436296305e-05,0.0625
