problem,calibratorVariant,queryVariant,run,poolCount,candidateCount,eligibleCount,selectedCount,oracleCount,meanDB,medianDB,QPTau,rhoUtilityNegDB
DASCMOP1_BC,beta,RandBoundary,2,898,26177,21828,6931,6931,0.0007251746578704,0.000863512394324788,1,-0.00792995631999869
DASCMOP1_BC,beta,RandBoundary,3,897,24747,20693,6915,6915,0.000779088069803269,0.000900413050350404,1,-0.0265326917960404
DASCMOP1_BC,beta,RandBoundary,4,898,24787,16914,6990,6990,0.000749164579675318,0.000858957642855236,1,-0.0100844400602396
DASCMOP1_BC,beta,RandBoundary,5,898,25021,20707,7035,7035,0.000791788085858075,0.000900093338219272,1,0.0125816929571407
DASCMOP1_BC,beta,UncertainOnly,1,897,24006,20224,6973,6973,0.000799836307556569,0.000915467260632502,1,-0.0950235661871199
DASCMOP1_BC,beta,UncertainOnly,2,898,26177,21828,6931,6931,0.000700102234915943,0.000837485806412473,1,-0.0251416840869871
DASCMOP1_BC,beta,UncertainOnly,3,897,24747,20693,6915,6915,0.000757759297807635,0.00087935828583414,1,0.00422708105604343
DASCMOP1_BC,beta,UncertainOnly,4,898,24787,16914,6990,6990,0.000756910954462314,0.000864837530775571,1,-0.0163940389400953
DASCMOP1_BC,beta,UncertainOnly,5,898,25021,20707,7035,7035,0.000728481508670003,0.000869635512697308,1,0.0715935954907306
DASCMOP1_BC,raw,Full,1,897,25664,22166,6974,6974,0.000863302150223209,0.00103132169749846,1,0.2665595710052
DASCMOP1_BC,raw,Full,2,898,26177,21828,6931,6931,0.00081994466428385,0.00102160144715634,1,0.219906930204462
DASCMOP1_BC,raw,Full,3,896,24755,20547,7040,7040,0.000882123029286803,0.00102653955421772,1,0.240337516740546
DASCMOP1_BC,raw,Full,4,898,24787,16914,6990,6990,0.000853709347043661,0.000987629307213621,1,0.122512886860459
DASCMOP1_BC,raw,Full,5,898,25955,21796,7037,7037,0.000885084783839004,0.00103881162202256,1,0.262062066562336
DASCMOP1_BC,raw,HighProbBoundary,1,897,25664,22166,6974,6974,0.000739827616533996,0.000876524662634267,1,0.12917524038333
DASCMOP1_BC,raw,HighProbBoundary,2,898,26177,21828,6931,6931,0.000715605781682791,0.000851614037088618,1,0.0265614617998074
DASCMOP1_BC,raw,HighProbBoundary,3,896,24755,20547,7040,7040,0.000758876883719829,0.000876035706514363,1,0.0932429830654996
DASCMOP1_BC,raw,HighProbBoundary,4,898,24787,16914,6990,6990,0.000761054557162987,0.000865479172311211,1,0.0921278069177882
DASCMOP1_BC,raw,HighProbBoundary,5,898,25955,21796,7037,7037,0.000745635638124361,0.000871455566130012,1,0.196284418577764
DASCMOP1_BC,raw,ParetoOnly,1,897,25664,22166,6974,6974,0.000863302150223209,0.00103132169749846,1,0.2665595710052
DASCMOP1_BC,raw,ParetoOnly,2,898,26177,21828,6931,6931,0.00081994466428385,0.00102160144715634,1,0.219906930204462
DASCMOP1_BC,raw,ParetoOnly,3,896,24755,20547,7040,7040,0.000882123029286803,0.00102653955421772,1,0.240337516740546
DASCMOP1_BC,raw,ParetoOnly,4,898,24787,16914,6990,6990,0.000853709347043661,0.000987629307213621,1,0.122512886860459
DASCMOP1_BC,raw,ParetoOnly,5,898,25955,21796,7037,7037,0.000885084783839004,0.00103881162202256,1,0.262062066562336
DASCMOP1_BC,raw,RandBoundary,1,897,25664,22166,6974,6974,0.000772307306593579,0.00088775417108024,1,-0.00726943550781146
DASCMOP1_BC,raw,RandBoundary,2,898,26177,21828,6931,6931,0.000738337462551174,0.000869132255565727,1,-0.0385645753005334
DASCMOP1_BC,raw,RandBoundary,3,896,24755,20547,7040,7040,0.000794555027137928,0.000898063245289421,1,-0.0162373410311017
DASCMOP1_BC,raw,RandBoundary,4,898,24787,16914,6990,6990,0.00074953103400539,0.000859931657170414,1,-0.0230303548436453
DASCMOP1_BC,raw,RandBoundary,5,898,25955,21796,7037,7037,0.000782110380391281,0.000901965309104799,1,0.0317569248379529
DASCMOP1_BC,raw,UncertainOnly,1,897,25664,22166,6974,6974,0.000811922190132188,0.000889332917935396,1,-0.0666259973279215
DASCMOP1_BC,raw,UncertainOnly,2,898,26177,21828,6931,6931,0.000791814336472966,0.000889768869252325,1,-0.0632160719892048
DASCMOP1_BC,raw,UncertainOnly,3,896,24755,20547,7040,7040,0.000794878855050046,0.000880917495207402,1,-0.150911028259163
DASCMOP1_BC,raw,UncertainOnly,4,898,24787,16914,6990,6990,0.000789065344503198,0.000871861980559871,1,-0.0349873968039938
DASCMOP1_BC,raw,UncertainOnly,5,898,25955,21796,7037,7037,0.000851619345592481,0.00092788612888729,1,-0.04601112783047
DASCMOP1_BC,temperature,Full,1,897,25664,22166,6974,6974,0.000863302150223209,0.00103132169749846,1,0.2665595710052
DASCMOP1_BC,temperature,Full,2,898,26177,21828,6931,6931,0.00081994466428385,0.00102160144715634,1,0.219906930204462
DASCMOP1_BC,temperature,Full,3,896,24755,20547,7040,7040,0.000882123029286803,0.00102653955421772,1,0.240337516740546
DASCMOP1_BC,temperature,Full,4,898,24787,16914,6990,6990,0.000853709347043661,0.000987629307213621,1,0.122512886860459
DASCMOP1_BC,temperature,Full,5,898,25955,21796,7037,7037,0.000885084783839004,0.00103881162202256,1,0.262062066562336
DASCMOP1_BC,temperature,HighProbBoundary,1,897,25664,22166,6974,6974,0.000745078604123013,0.000879341534526694,1,0.135811689663261
DASCMOP1_BC,temperature,HighProbBoundary,2,898,26177,21828,6931,6931,0.000715656453668286,0.000851419531107772,1,0.0432904924492654
DASCMOP1_BC,temperature,HighProbBoundary,3,896,24755,20547,7040,7040,0.000758879817665889,0.000876225839739182,1,0.104033716382674
DASCMOP1_BC,temperature,HighProbBoundary,4,898,24787,16914,6990,6990,0.000760970215868347,0.000865845407915684,1,0.10774309286783
DASCMOP1_BC,temperature,HighProbBoundary,5,898,25955,21796,7037,7037,0.000745453506936717,0.000871301918187187,1,0.20960287395489
DASCMOP1_BC,temperature,ParetoOnly,1,897,25664,22166,6974,6974,0.000863302150223209,0.00103132169749846,1,0.2665595710052
DASCMOP1_BC,temperature,ParetoOnly,2,898,26177,21828,6931,6931,0.00081994466428385,0.00102160144715634,1,0.219906930204462
DASCMOP1_BC,temperature,ParetoOnly,3,896,24755,20547,7040,7040,0.000882123029286803,0.00102653955421772,1,0.240337516740546
DASCMOP1_BC,temperature,ParetoOnly,4,898,24787,16914,6990,6990,0.000853709347043661,0.000987629307213621,1,0.122512886860459
DASCMOP1_BC,temperature,ParetoOnly,5,898,25955,21796,7037,7037,0.000885084783839004,0.00103881162202256,1,0.262062066562336
DASCMOP1_BC,temperature,RandBoundary,1,897,25664,22166,6974,6974,0.000775869378889033,0.000889921441549664,1,-0.037100331330038
DASCMOP1_BC,temperature,RandBoundary,2,898,26177,21828,6931,6931,0.000729791621641551,0.000867652283200537,1,-0.0231152218078554
DASCMOP1_BC,temperature,RandBoundary,3,896,24755,20547,7040,7040,0.00079366880715517,0.000899669212503153,1,-0.00435506712975295
DASCMOP1_BC,temperature,RandBoundary,4,898,24787,16914,6990,6990,0.000753233248515364,0.000859135947657843,1,-0.0036812462917051
DASCMOP1_BC,temperature,RandBoundary,5,898,25955,21796,7037,7037,0.000775809528324564,0.000893294754249581,1,0.0381310612128931
DASCMOP1_BC,temperature,UncertainOnly,1,897,25664,22166,6974,6974,0.000811561988065763,0.00088922704629328,1,-0.0764663603621189
DASCMOP1_BC,temperature,UncertainOnly,2,898,26177,21828,6931,6931,0.00079179831606039,0.000890574682895641,1,-0.0613040268470502
DASCMOP1_BC,temperature,UncertainOnly,3,896,24755,20547,7040,7040,0.000796040567650798,0.000881460746790062,1,-0.149959295019556
DASCMOP1_BC,temperature,UncertainOnly,4,898,24787,16914,6990,6990,0.000790176269682541,0.000873061100480522,1,-0.0343808003127331
DASCMOP1_BC,temperature,UncertainOnly,5,898,25955,21796,7037,7037,0.000851175605951504,0.000926276931353461,1,-0.0521875213123862
DASCMOP2_BC,auto,Full,1,901,31986,26950,7103,7103,0.00087185479709655,0.000757396322875239,1,-0.176454790901071
DASCMOP2_BC,auto,Full,2,899,32372,27168,7163,7163,0.000873738117632435,0.000744280015572364,1,-0.159070765351735
DASCMOP2_BC,auto,Full,3,900,31765,26373,7173,7173,0.00079816844836764,0.000611467937369839,1,-0.205839422952517
DASCMOP2_BC,auto,Full,4,902,32504,27225,7180,7180,0.000869392050943701,0.000732505797890585,1,-0.143424725533522
DASCMOP2_BC,auto,Full,5,900,31464,26082,7139,7139,0.000736661243085651,0.000525006927911791,1,-0.194720114238874
DASCMOP2_BC,auto,HighProbBoundary,1,901,31986,26950,7103,7103,0.00121803382092913,0.00107235080113544,1,-0.197914059560326
DASCMOP2_BC,auto,HighProbBoundary,2,899,32372,27168,7163,7163,0.00135127763289015,0.00135420206980058,1,-0.168195287844063
DASCMOP2_BC,auto,HighProbBoundary,3,900,31765,26373,7173,7173,0.00128120442568353,0.00123356876027287,1,-0.174065372396826
DASCMOP2_BC,auto,HighProbBoundary,4,902,32504,27225,7180,7180,0.00115005861699877,0.00101038174273982,1,-0.136788062426978
DASCMOP2_BC,auto,HighProbBoundary,5,900,31464,26082,7139,7139,0.00102058274506808,0.000896602963117562,1,-0.27648029517101
