calibratorVariant,runCount,meanECE,meanCoreNearGap,TWS,TGP,auditReadyUpdateCount
auto,185,0.23530677260236255,0.23082876267673458,0.057777053097550136,0.1336440044230844,810.9405405405405
beta,185,0.224827371133232,0.23193216012776985,0.06201038874601871,0.1393247440452206,810.7621621621622
raw,185,0.2476279919166158,0.23755994528696975,0.05483595505277423,0.13492449369576995,811.1891891891892
temperature,185,0.24613796876739913,0.23640306654331444,0.05622226013996714,0.13774438337068073,810.9297297297297
