problem,baseVariant,compareVariant,metric,pairCount,baseMedian,compareMedian,medianDiff,signrankP
DASCMOP7_BC,raw,auto,TGP,5,0,0,0,1
DASCMOP7_BC,raw,beta,TGP,5,0,0,0,1
DASCMOP7_BC,raw,temperature,TGP,5,0,0,0,1
DASCMOP7_BC,raw,auto,TWS,5,0,0,0,1
DASCMOP7_BC,raw,beta,TWS,5,0,0,0,1
DASCMOP7_BC,raw,temperature,TWS,5,0,0,0,1
DASCMOP7_BC,raw,auto,meanCoreNearGap,5,0.479999999999999,0.479999999999999,0,1
DASCMOP7_BC,raw,beta,meanCoreNearGap,5,0.479999999999999,0.479999999999999,0,1
DASCMOP7_BC,raw,temperature,meanCoreNearGap,5,0.479999999999999,0.479999999999999,0,0.5
DASCMOP7_BC,raw,auto,meanECE,5,0.479999999999999,0.479999999999999,0,0.5
DASCMOP7_BC,raw,beta,meanECE,5,0.479999999999999,0.479999999999999,0,0.5
DASCMOP7_BC,raw,temperature,meanECE,5,0.479999999999999,0.479999999999999,0,0.5
DASCMOP8_BC,raw,auto,TGP,5,0,0,0,1
DASCMOP8_BC,raw,beta,TGP,5,0,0,0,1
DASCMOP8_BC,raw,temperature,TGP,5,0,0,0,1
DASCMOP8_BC,raw,auto,TWS,5,0,0,0,1
DASCMOP8_BC,raw,beta,TWS,5,0,0,0,1
DASCMOP8_BC,raw,temperature,TWS,5,0,0,0,1
DASCMOP8_BC,raw,auto,meanCoreNearGap,5,0.481882120436228,0.460663194821194,0.0212189256150337,0.0625
DASCMOP8_BC,raw,beta,meanCoreNearGap,5,0.481882120436228,0.471807916266852,0.0100742041693762,0.1875
DASCMOP8_BC,raw,temperature,meanCoreNearGap,5,0.481882120436228,0.481239028411216,0.00018188099814026,0.1875
DASCMOP8_BC,raw,auto,meanECE,5,0.465503054046658,0.424612358915735,0.0440925907272922,0.0625
DASCMOP8_BC,raw,beta,meanECE,5,0.465503054046658,0.401357010116297,0.0634621583941985,0.0625
DASCMOP8_BC,raw,temperature,meanECE,5,0.465503054046658,0.464479288256104,0.00102376579055424,0.8125
DASCMOP9_BC,raw,auto,TGP,5,0,0,0,1
DASCMOP9_BC,raw,beta,TGP,5,0,0,0,1
DASCMOP9_BC,raw,temperature,TGP,5,0,0,0,1
DASCMOP9_BC,raw,auto,TWS,5,0,0,0,1
DASCMOP9_BC,raw,beta,TWS,5,0,0,0,1
DASCMOP9_BC,raw,temperature,TWS,5,0,0,0,1
DASCMOP9_BC,raw,auto,meanCoreNearGap,5,0.271007777498651,0.259606724508069,0.0108919619769503,0.4375
DASCMOP9_BC,raw,beta,meanCoreNearGap,5,0.271007777498651,0.228626256942143,0.0452269130316042,0.125
DASCMOP9_BC,raw,temperature,meanCoreNearGap,5,0.271007777498651,0.270545345922367,0.000462431576283728,0.3125
DASCMOP9_BC,raw,auto,meanECE,5,0.259135055243537,0.250477603986872,0.0057871394909135,0.0625
DASCMOP9_BC,raw,beta,meanECE,5,0.259135055243537,0.219483281155793,0.0620971197500046,0.0625
DASCMOP9_BC,raw,temperature,meanECE,5,0.259135055243537,0.259400915006741,-0.00013482920016733,0.3125
LIRCMOP10_BC,raw,auto,TGP,5,0.670886075949367,0.645977011494253,0.0182818480935371,0.3125
LIRCMOP10_BC,raw,beta,TGP,5,0.670886075949367,0.611494252873563,0.0257247856267865,0.4375
LIRCMOP10_BC,raw,temperature,TGP,5,0.670886075949367,0.617241379310345,0.0618791803690776,0.3125
LIRCMOP10_BC,raw,auto,TWS,5,0.347078181558089,0.34270458477782,-0.0220843121869815,0.8125
LIRCMOP10_BC,raw,beta,TWS,5,0.347078181558089,0.339144526878102,0.00793365467998713,1
LIRCMOP10_BC,raw,temperature,TWS,5,0.347078181558089,0.270576530924389,0.071640634449142,0.1875
LIRCMOP10_BC,raw,auto,meanCoreNearGap,5,0.0408230402257828,0.020781318702754,0.00697892987927565,0.125
LIRCMOP10_BC,raw,beta,meanCoreNearGap,5,0.0408230402257828,0.0221306182287912,0.0186924219969916,0.0625
LIRCMOP10_BC,raw,temperature,meanCoreNearGap,5,0.0408230402257828,0.0489664705318245,-0.00637227388564347,0.4375
LIRCMOP10_BC,raw,auto,meanECE,5,0.0658424716290682,0.0709434904346007,-0.00479000389528025,0.8125
LIRCMOP10_BC,raw,beta,meanECE,5,0.0658424716290682,0.0739344561346638,-0.00590264344965971,0.8125
LIRCMOP10_BC,raw,temperature,meanECE,5,0.0658424716290682,0.0762411935892771,-0.00674423464122306,0.3125
LIRCMOP11_BC,raw,auto,TGP,5,0.561363636363636,0.626560726447219,-0.0801964959149136,0.3125
LIRCMOP11_BC,raw,beta,TGP,5,0.561363636363636,0.551528878822197,0.0240635937711849,1
LIRCMOP11_BC,raw,temperature,TGP,5,0.561363636363636,0.624857468643101,-0.0470324748040313,0.3125
LIRCMOP11_BC,raw,auto,TWS,5,0.246787863988275,0.333176916393965,-0.0275547223721305,0.3125
LIRCMOP11_BC,raw,beta,TWS,5,0.246787863988275,0.323647131259725,0.0118713529377806,0.8125
