problem,calibratorVariant,run,updateCount,auditReadyUpdateCount,boundaryStarted,meanECE,meanCoreNearGap,TWS,TGP,finalCalibrator,dominantCalibrator
DASCMOP3_BC,temperature,1,929,918,1,0.22946165294996,0.24504469350494,0,0,temperature,temperature
DASCMOP3_BC,temperature,2,927,917,1,0.223567333429176,0.231161061597358,0,0,temperature,temperature
DASCMOP3_BC,temperature,3,924,914,1,0.233849693338714,0.234093811836699,0,0,temperature,temperature
DASCMOP3_BC,temperature,4,932,922,1,0.223891925437812,0.23846597178091,0,0,temperature,temperature
DASCMOP3_BC,temperature,5,925,914,1,0.228829330752159,0.241780821766691,0,0,temperature,temperature
DASCMOP4_BC,auto,1,954,528,1,0.461428987821787,0.468119487153373,0,0,beta,raw
DASCMOP4_BC,auto,2,951,552,1,0.414042268964099,0.422459154039924,0,0,temperature,beta
DASCMOP4_BC,auto,3,950,569,1,0.417510474352577,0.465949688455807,0,0,beta,beta
DASCMOP4_BC,auto,4,951,564,1,0.469999999999999,0.469999999999999,0,0,raw,raw
DASCMOP4_BC,auto,5,952,560,1,0.478857142857142,0.478857142857142,0,0,raw,raw
DASCMOP4_BC,beta,1,954,528,1,0.459431016935828,0.467577356177939,0,0,beta,raw
DASCMOP4_BC,beta,2,950,551,1,0.375764277778372,0.419960374039936,0,0,beta,beta
DASCMOP4_BC,beta,3,950,569,1,0.415269168437309,0.465519720745205,0,0,beta,beta
DASCMOP4_BC,beta,4,951,564,1,0.469999999999999,0.469999999999999,0,0,raw,raw
DASCMOP4_BC,beta,5,952,560,1,0.478857142857142,0.478857142857142,0,0,raw,raw
DASCMOP4_BC,raw,1,954,528,1,0.475835167331346,0.478911071700937,0,0,raw,raw
DASCMOP4_BC,raw,2,950,551,1,0.441053731395587,0.456546617033026,0,0,raw,raw
DASCMOP4_BC,raw,3,950,569,1,0.467374970684325,0.48744717301955,0,0,raw,raw
DASCMOP4_BC,raw,4,951,564,1,0.469999999999999,0.469999999999999,0,0,raw,raw
DASCMOP4_BC,raw,5,952,560,1,0.478857142857142,0.478857142857142,0,0,raw,raw
DASCMOP4_BC,temperature,1,954,528,1,0.475490031131999,0.4832738315181,0,0,temperature,temperature
DASCMOP4_BC,temperature,2,950,551,1,0.447582196117679,0.477657199737842,0,0,temperature,temperature
DASCMOP4_BC,temperature,3,950,569,1,0.465511232437622,0.487672486279951,0,0,temperature,temperature
DASCMOP4_BC,temperature,4,951,564,1,0.469999999999999,0.469999999999999,0,0,temperature,temperature
DASCMOP4_BC,temperature,5,952,560,1,0.478857142857142,0.478857142857142,0,0,temperature,temperature
DASCMOP5_BC,auto,1,947,569,1,0.447345432862444,0.453140380156454,0,0,temperature,raw
DASCMOP5_BC,auto,2,951,533,1,0.425794489618094,0.467472343782636,0,0,temperature,beta
DASCMOP5_BC,auto,3,959,530,1,0.43992374024633,0.480663424520909,0,0,beta,beta
DASCMOP5_BC,auto,4,946,572,1,0.49,0.49,0,0,raw,raw
DASCMOP5_BC,auto,5,946,583,1,0.446996070659192,0.453720109238064,0,0,beta,raw
DASCMOP5_BC,beta,1,947,569,1,0.433718007671923,0.448266962642332,0,0,beta,beta
DASCMOP5_BC,beta,2,952,534,1,0.394370815019061,0.442503167599595,0,0,beta,beta
DASCMOP5_BC,beta,3,959,530,1,0.427601033935142,0.487511379429621,0,0,beta,beta
DASCMOP5_BC,beta,4,946,572,1,0.49,0.49,0,0,raw,raw
DASCMOP5_BC,beta,5,946,583,1,0.434146858575814,0.45058899569998,0,0,beta,raw
DASCMOP5_BC,raw,1,947,569,1,0.469933833547462,0.478435468870649,0,0,raw,raw
DASCMOP5_BC,raw,2,951,533,1,0.46542488352708,0.487426086679421,0,0,raw,raw
DASCMOP5_BC,raw,3,959,530,1,0.479228607151444,0.490957514326475,0,0,raw,raw
DASCMOP5_BC,raw,4,946,572,1,0.49,0.49,0,0,raw,raw
DASCMOP5_BC,raw,5,946,583,1,0.464348080364389,0.472793769247989,0,0,raw,raw
DASCMOP5_BC,temperature,1,947,569,1,0.47060982349474,0.479477730745738,0,0,temperature,temperature
DASCMOP5_BC,temperature,2,951,533,1,0.462881088662014,0.488019182249948,0,0,temperature,temperature
DASCMOP5_BC,temperature,3,959,530,1,0.477850815172207,0.490213729963268,0,0,temperature,temperature
DASCMOP5_BC,temperature,4,946,572,1,0.49,0.49,0,0,temperature,temperature
DASCMOP5_BC,temperature,5,946,583,1,0.463632541816954,0.472374386552699,0,0,temperature,temperature
DASCMOP6_BC,auto,1,962,607,1,0.442613860061439,0.463045027835918,0,0,temperature,temperature
DASCMOP6_BC,auto,2,963,561,1,0.427635553839612,0.42312776707598,0,0,beta,raw
DASCMOP6_BC,auto,3,969,545,1,0.46830100747692,0.482667986727021,0,0,beta,raw
DASCMOP6_BC,auto,4,962,613,1,0.429831091899605,0.482057067013433,0,0,raw,beta
DASCMOP6_BC,auto,5,962,560,1,0.431354898387757,0.408197396659207,0,0,raw,raw
DASCMOP6_BC,beta,1,964,609,1,0.379322245933562,0.434121845825254,0,0,beta,beta
DASCMOP6_BC,beta,2,965,563,1,0.417977803799888,0.422977279675177,0,0,beta,beta
DASCMOP6_BC,beta,3,968,544,1,0.4514856286938,0.48754900431568,0,0,beta,beta
DASCMOP6_BC,beta,4,962,613,1,0.419120568748848,0.496793332194366,0,0,beta,beta
DASCMOP6_BC,beta,5,963,561,1,0.424450062381619,0.408891300943723,0,0,beta,raw
DASCMOP6_BC,raw,1,962,607,1,0.462536811753778,0.481361614913546,0,0,raw,raw
DASCMOP6_BC,raw,2,963,561,1,0.476106837624143,0.483989272388941,0,0,raw,raw
DASCMOP6_BC,raw,3,972,548,1,0.493416456101472,0.489386888909455,0,0,raw,raw
DASCMOP6_BC,raw,4,962,613,1,0.471433676116113,0.486549612112445,0,0,raw,raw
DASCMOP6_BC,raw,5,961,559,1,0.460881579958367,0.480067798205854,0,0,raw,raw
DASCMOP6_BC,temperature,1,962,607,1,0.463236585035355,0.480763974227174,0,0,temperature,temperature
DASCMOP6_BC,temperature,2,963,561,1,0.47619060636734,0.484538702426698,0,0,temperature,temperature
DASCMOP6_BC,temperature,3,972,548,1,0.492597464309246,0.489466964598836,0,0,temperature,temperature
DASCMOP6_BC,temperature,4,963,614,1,0.470995369192539,0.485697277351337,0,0,temperature,temperature
DASCMOP6_BC,temperature,5,961,559,1,0.461450144294731,0.480689909742677,0,0,temperature,temperature
DASCMOP7_BC,auto,1,951,536,1,0.479999999999999,0.479999999999999,0,0,raw,raw
DASCMOP7_BC,auto,2,946,578,1,0.45911275042439,0.492145743026866,0,0,temperature,raw
DASCMOP7_BC,auto,3,943,590,1,0.479999999999999,0.479999999999999,0,0,raw,raw
DASCMOP7_BC,auto,4,943,620,1,0.355447657109793,0.314766916349736,0,0,raw,beta
DASCMOP7_BC,auto,5,946,576,1,0.49,0.49,0,0,raw,raw
DASCMOP7_BC,beta,1,951,536,1,0.479999999999999,0.479999999999999,0,0,raw,raw
DASCMOP7_BC,beta,2,946,578,1,0.452922891846235,0.492677520352942,0,0,beta,raw
DASCMOP7_BC,beta,3,943,590,1,0.479999999999999,0.479999999999999,0,0,raw,raw
DASCMOP7_BC,beta,4,943,620,1,0.330172402820182,0.32447613593748,0,0,raw,beta
DASCMOP7_BC,beta,5,946,576,1,0.49,0.49,0,0,raw,raw
DASCMOP7_BC,raw,1,951,536,1,0.479999999999999,0.479999999999999,0,0,raw,raw
DASCMOP7_BC,raw,2,946,578,1,0.484212177106663,0.491874715060488,0,0,raw,raw
DASCMOP7_BC,raw,3,943,590,1,0.479999999999999,0.479999999999999,0,0,raw,raw
DASCMOP7_BC,raw,4,943,620,1,0.377497578480364,0.335194013869321,0,0,raw,raw
DASCMOP7_BC,raw,5,946,576,1,0.49,0.49,0,0,raw,raw
DASCMOP7_BC,temperature,1,951,536,1,0.479999999999999,0.479999999999999,0,0,temperature,temperature
DASCMOP7_BC,temperature,2,946,578,1,0.483151607197009,0.491470875929242,0,0,temperature,temperature
DASCMOP7_BC,temperature,3,943,590,1,0.479999999999999,0.479999999999999,0,0,temperature,temperature
DASCMOP7_BC,temperature,4,943,620,1,0.371662636464595,0.329278718485488,0,0,temperature,temperature
DASCMOP7_BC,temperature,5,946,576,1,0.49,0.49,0,0,temperature,temperature
DASCMOP8_BC,auto,1,946,605,1,0.424612358915735,0.487652511047473,0,0,raw,beta
DASCMOP8_BC,auto,2,944,602,1,0.422202880247376,0.433994247557408,0,0,raw,beta
DASCMOP8_BC,auto,3,942,624,1,0.433415932167655,0.441618784279046,0,0,beta,beta
DASCMOP8_BC,auto,4,942,604,1,0.431606136862881,0.460663194821194,0,0,temperature,beta
DASCMOP8_BC,auto,5,942,610,1,0.416459650202968,0.485984457121647,0,0,beta,beta
DASCMOP8_BC,beta,1,946,605,1,0.415967253246995,0.492545039590412,0,0,beta,beta
DASCMOP8_BC,beta,2,944,602,1,0.3974262322254,0.442307468189243,0,0,beta,beta
DASCMOP8_BC,beta,3,942,624,1,0.405968020388915,0.43961294634794,0,0,beta,beta
DASCMOP8_BC,beta,4,942,604,1,0.401357010116297,0.471807916266852,0,0,beta,beta
DASCMOP8_BC,beta,5,942,610,1,0.399617384548004,0.498761037032883,0,0,beta,beta
DASCMOP8_BC,raw,1,946,605,1,0.479429411641193,0.493725396791663,0,0,raw,raw
DASCMOP8_BC,raw,2,944,602,1,0.466295470974668,0.478455068981408,0,0,raw,raw
DASCMOP8_BC,raw,3,942,624,1,0.457351607903561,0.467897831186064,0,0,raw,raw
DASCMOP8_BC,raw,4,942,604,1,0.458422628598383,0.481882120436228,0,0,raw,raw
DASCMOP8_BC,raw,5,943,611,1,0.465503054046658,0.493036385975473,0,0,raw,raw
DASCMOP8_BC,temperature,1,946,605,1,0.477836110329311,0.493543515793523,0,0,temperature,temperature
DASCMOP8_BC,temperature,2,944,602,1,0.46511277390918,0.47852445809839,0,0,temperature,temperature
DASCMOP8_BC,temperature,3,942,624,1,0.457489126317365,0.467563807497748,0,0,temperature,temperature
DASCMOP8_BC,temperature,4,942,604,1,0.460022572996904,0.481239028411216,0,0,temperature,temperature
DASCMOP8_BC,temperature,5,943,611,1,0.464479288256104,0.493011407009407,0,0,temperature,temperature
DASCMOP9_BC,auto,1,911,902,1,0.250477603986872,0.259606724508069,0,0,raw,temperature
DASCMOP9_BC,auto,2,911,902,1,0.246029857865725,0.25406024406614,0,0,raw,temperature
DASCMOP9_BC,auto,3,913,901,1,0.261476266304658,0.29486370695092,0,0,temperature,temperature
DASCMOP9_BC,auto,4,911,901,1,0.286848447741586,0.269979238560294,0,0,raw,temperature
DASCMOP9_BC,auto,5,911,899,1,0.246904885016224,0.256225895257164,0,0,temperature,temperature
DASCMOP9_BC,beta,1,911,902,1,0.196191524955825,0.228626256942143,0,0,beta,beta
DASCMOP9_BC,beta,2,911,902,1,0.187913100946005,0.1556379803483,0,0,beta,beta
DASCMOP9_BC,beta,3,914,902,1,0.227545446014,0.231917207756471,0,0,raw,beta
DASCMOP9_BC,beta,4,912,902,1,0.219483281155793,0.224978851591577,0,0,raw,beta
DASCMOP9_BC,beta,5,911,899,1,0.221277301548042,0.268660211882981,0,0,raw,beta
DASCMOP9_BC,raw,1,911,902,1,0.25828864470583,0.270498686485019,0,0,raw,raw
DASCMOP9_BC,raw,2,911,902,1,0.251816997356639,0.271007777498651,0,0,raw,raw
DASCMOP9_BC,raw,3,913,901,1,0.265266186326929,0.277144120788075,0,0,raw,raw
DASCMOP9_BC,raw,4,911,901,1,0.28691512147525,0.303668612220125,0,0,raw,raw
DASCMOP9_BC,raw,5,911,899,1,0.259135055243537,0.265042522069058,0,0,raw,raw
DASCMOP9_BC,temperature,1,911,902,1,0.258094167145381,0.268462516639163,0,0,temperature,temperature
DASCMOP9_BC,temperature,2,911,902,1,0.252178548087405,0.270545345922367,0,0,temperature,temperature
DASCMOP9_BC,temperature,3,913,901,1,0.265266469969315,0.275886520534592,0,0,temperature,temperature
DASCMOP9_BC,temperature,4,911,901,1,0.287049950675418,0.303414445140854,0,0,temperature,temperature
DASCMOP9_BC,temperature,5,911,899,1,0.259400915006741,0.265758318700822,0,0,temperature,temperature
LIRCMOP10_BC,auto,1,914,870,1,0.0704521210530427,0.020781318702754,0.358685904849847,0.645977011494253,temperature,beta
LIRCMOP10_BC,auto,2,914,874,1,0.0709434904346007,0.016959378570579,0.369162493745071,0.655606407322655,raw,beta
LIRCMOP10_BC,auto,3,914,868,1,0.0731108348788711,0.0194529601794837,0.34270458477782,0.61405529953917,temperature,temperature
LIRCMOP10_BC,auto,4,921,878,1,0.0662178114105989,0.0443634101948592,0.319143231215071,0.656036446469248,temperature,beta
LIRCMOP10_BC,auto,5,919,895,1,0.0800855099687688,0.0424211179396063,0.252559564557138,0.591061452513966,raw,beta
LIRCMOP10_BC,beta,1,914,870,1,0.0749824494949718,0.0187761067486058,0.339510214859791,0.611494252873563,beta,beta
LIRCMOP10_BC,beta,2,914,874,1,0.0739344561346638,0.0221306182287912,0.339144526878102,0.597254004576659,beta,beta
LIRCMOP10_BC,beta,3,914,868,1,0.0717451150787279,0.0219514794791051,0.335713472831524,0.645161290322581,beta,beta
LIRCMOP10_BC,beta,4,915,872,1,0.0621318145586244,0.0226160629956088,0.400813707774433,0.69151376146789,beta,beta
LIRCMOP10_BC,beta,5,919,895,1,0.0798099195828161,0.0351188848799966,0.278803478831128,0.610055865921788,beta,beta
LIRCMOP10_BC,raw,1,914,870,1,0.0656621171577624,0.0196789080928161,0.398421687550004,0.703448275862069,raw,raw
LIRCMOP10_BC,raw,2,917,877,1,0.0649738906112379,0.0408230402257828,0.347078181558089,0.673888255416192,raw,raw
LIRCMOP10_BC,raw,3,915,869,1,0.0658424716290682,0.0264318900587594,0.384933199988454,0.670886075949367,raw,raw
LIRCMOP10_BC,raw,4,922,879,1,0.0737759155620641,0.0460982312099784,0.281088806630699,0.670079635949943,raw,raw
LIRCMOP10_BC,raw,5,924,900,1,0.0833006569517617,0.0595152799872404,0.224051952773794,0.566666666666667,raw,raw
LIRCMOP10_BC,temperature,1,914,870,1,0.0764830967649188,0.0194627341009498,0.326781053100862,0.617241379310345,temperature,temperature
LIRCMOP10_BC,temperature,2,917,877,1,0.0717181252524609,0.0489664705318245,0.270576530924389,0.646522234891676,temperature,temperature
LIRCMOP10_BC,temperature,3,915,869,1,0.0762411935892771,0.0328041639444028,0.304183873945698,0.597238204833141,temperature,temperature
LIRCMOP10_BC,temperature,4,921,878,1,0.0723034988932276,0.0601584853311129,0.246715653792584,0.608200455580866,temperature,temperature
LIRCMOP10_BC,temperature,5,921,897,1,0.0799828521442707,0.0522056753692227,0.265494417545724,0.62876254180602,temperature,temperature
LIRCMOP11_BC,auto,1,914,878,1,0.0665537803110988,0.0181353574394378,0.403538733592207,0.681093394077449,beta,temperature
LIRCMOP11_BC,auto,2,913,883,1,0.064280136355452,0.0168682832602244,0.383715602625599,0.704416761041903,beta,beta
LIRCMOP11_BC,auto,3,914,881,1,0.0710221482372358,0.0207034565498214,0.333176916393965,0.626560726447219,temperature,beta
LIRCMOP11_BC,auto,4,914,880,1,0.087636389450931,0.0381320459945674,0.230500371169811,0.519318181818182,raw,beta
LIRCMOP11_BC,auto,5,912,892,1,0.0783302983560941,0.0354363953454267,0.304280546968309,0.615470852017937,temperature,beta
LIRCMOP11_BC,beta,1,914,878,1,0.0790962734480244,0.0200661846355963,0.323647131259725,0.546697038724374,beta,beta
LIRCMOP11_BC,beta,2,913,883,1,0.0826762173654183,0.0132768847287931,0.307472887627582,0.551528878822197,beta,beta
LIRCMOP11_BC,beta,3,914,881,1,0.0707424971667069,0.0210451480481036,0.34388143376451,0.612939841089671,beta,beta
LIRCMOP11_BC,beta,4,914,880,1,0.0753735958370418,0.0301171487045171,0.324218142478349,0.615909090909091,beta,beta
LIRCMOP11_BC,beta,5,912,892,1,0.089090724317198,0.0368753794348045,0.224999245859732,0.511210762331839,beta,beta
LIRCMOP11_BC,raw,1,913,877,1,0.0951178659797781,0.0252105433950048,0.246787863988275,0.45381984036488,raw,raw
LIRCMOP11_BC,raw,2,913,883,1,0.0757058702024941,0.0201424785213864,0.356160880253469,0.618346545866365,raw,raw
LIRCMOP11_BC,raw,3,913,880,1,0.0715498840872052,0.0255421854677687,0.355752786702291,0.663636363636364,raw,raw
