branch,problem,fe,source_path,package_path
mainline_prev_anchor_repair,LIRCMOP5_BC,050000,Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/domain_figures_all/LIRCMOP5_BC_run1_FE050000_domain_boundary.png,experiments/selected_images/mainline_prev_anchor_repair/mainline_prev_anchor_repair_LIRCMOP5_BC_FE050000.png
mainline_prev_anchor_repair,LIRCMOP5_BC,100000,Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/domain_figures_all/LIRCMOP5_BC_run1_FE100000_domain_boundary.png,experiments/selected_images/mainline_prev_anchor_repair/mainline_prev_anchor_repair_LIRCMOP5_BC_FE100000.png
mainline_prev_anchor_repair,LIRCMOP6_BC,050000,Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/domain_figures_all/LIRCMOP6_BC_run1_FE050000_domain_boundary.png,experiments/selected_images/mainline_prev_anchor_repair/mainline_prev_anchor_repair_LIRCMOP6_BC_FE050000.png
mainline_prev_anchor_repair,LIRCMOP6_BC,100000,Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/domain_figures_all/LIRCMOP6_BC_run1_FE100000_domain_boundary.png,experiments/selected_images/mainline_prev_anchor_repair/mainline_prev_anchor_repair_LIRCMOP6_BC_FE100000.png
mainline_prev_anchor_repair,LIRCMOP7_BC,050000,Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/domain_figures_all/LIRCMOP7_BC_run1_FE050000_domain_boundary.png,experiments/selected_images/mainline_prev_anchor_repair/mainline_prev_anchor_repair_LIRCMOP7_BC_FE050000.png
mainline_prev_anchor_repair,LIRCMOP7_BC,100000,Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/domain_figures_all/LIRCMOP7_BC_run1_FE100000_domain_boundary.png,experiments/selected_images/mainline_prev_anchor_repair/mainline_prev_anchor_repair_LIRCMOP7_BC_FE100000.png
mainline_prev_anchor_repair,LIRCMOP8_BC,050000,Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/domain_figures_all/LIRCMOP8_BC_run1_FE050000_domain_boundary.png,experiments/selected_images/mainline_prev_anchor_repair/mainline_prev_anchor_repair_LIRCMOP8_BC_FE050000.png
mainline_prev_anchor_repair,LIRCMOP8_BC,100000,Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/domain_figures_all/LIRCMOP8_BC_run1_FE100000_domain_boundary.png,experiments/selected_images/mainline_prev_anchor_repair/mainline_prev_anchor_repair_LIRCMOP8_BC_FE100000.png
mainline_prev_anchor_repair,LIRCMOP9_BC,050000,Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/domain_figures_all/LIRCMOP9_BC_run1_FE050000_domain_boundary.png,experiments/selected_images/mainline_prev_anchor_repair/mainline_prev_anchor_repair_LIRCMOP9_BC_FE050000.png
mainline_prev_anchor_repair,LIRCMOP9_BC,100000,Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/domain_figures_all/LIRCMOP9_BC_run1_FE100000_domain_boundary.png,experiments/selected_images/mainline_prev_anchor_repair/mainline_prev_anchor_repair_LIRCMOP9_BC_FE100000.png
