problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,train_count,query_count,raw_generated_count,feasible_generated_count,boundary_dist50,boundary_dist90,query_width90,generated_new_ref_hit_rate,holdout_ref_hit_rate,novel_useful_rate,train_dec_rmse,train_obj_dist50,train_obj_dist90,train_feasible_rate,query_obj_dist50,query_obj_dist90,feasible_rate
DASCMOP1_BC,1,10000,10036,45,9,1,9,5,20,0,0.0413861364446718,0.0442738054785139,0.0021491264491751,1,0,1,0.133221549060767,0.0423419600586256,0.0426717077997016,0,0.0417083709957471,0.0446172799874909,0
DASCMOP1_BC,1,30000,30056,136,29,3,29,5,20,0,0.010598822413977,0.0201609363357114,0.000713581109662977,1,0,1,0.0795862259425489,0.0148402866409173,0.0350706448889044,0.0344827586206897,0.0107936149986821,0.0190809369110207,0
DASCMOP1_BC,1,50000,50076,227,32,3,32,5,20,4,0.0273714607679666,0.0544549169077165,0.000485323226488505,1,0,0.8,0.0774521723884501,0.0191918456856941,0.0546318571352306,0.34375,0.0280971541432365,0.0532576743206776,0.2
DASCMOP1_BC,1,70000,70096,318,30,3,30,5,20,0,0.0169793996868035,0.0403131167996989,0.000975965690274713,1,0,1,0.0764780489054732,0.0143026263809544,0.040546989771199,0.1,0.0169351581339658,0.0385754393057641,0
DASCMOP1_BC,1,100000,100016,454,33,3,33,5,20,3,0.0234922563571236,0.0823975265596587,0.00191746959780511,1,0,0.8,0.0695024436402648,0.0170953522853956,0.0536904967403195,0.0909090909090909,0.0329029288877719,0.129782638829041,0.15
DASCMOP2_BC,1,10000,10056,45,17,2,17,5,20,0,0.0310150683737281,0.0323274065013887,0.00101603779640702,1,0,1,0.120005523633454,0.0287444430181636,0.0339301177188494,0,0.0352318463165874,0.0368781315869924,0
DASCMOP2_BC,1,30000,30076,136,35,6,35,5,20,0,0.0409466119191406,0.0421309370927519,0.000499493343068703,1,0,1,0.0961262267413362,0.038072219947566,0.0433593828767079,0.142857142857143,0.0420418479105657,0.0484482701749312,0
DASCMOP2_BC,1,50000,50096,227,45,2,45,5,20,0,0.018477793409798,0.0304961034138025,0.000319887211562114,1,0,1,0.116128785888559,0.0199595604052075,0.0303899798635846,0,0.0214312852358679,0.0493362452376868,0
DASCMOP2_BC,1,70000,70116,318,50,1,50,5,20,0,0.0154712558711526,0.0228083983465437,0.000256525444760135,1,0,1,0.120955197884493,0.0122137959969373,0.0317603259178029,0.32,0.0266046611547586,0.0380738667597485,0
DASCMOP2_BC,1,100000,100036,454,47,4,47,5,20,8,0.0166862452856013,0.0335625696875927,0.00155383529178583,1,0,1,0.142595969291859,0.0172886835341856,0.04018937615047,0.51063829787234,0.020784297713456,0.0524473894105499,0.4
DASCMOP4_BC,1,10000,10116,48,28,9,28,5,20,0,0.1263459742377,0.157589641342931,0.0172409576511034,1,0,0,0.0348470481672223,0.133358524703486,0.141618943577524,0,0.130699741755151,0.158930852381328,0
DASCMOP4_BC,1,30000,30136,139,30,6,30,5,20,0,0.126932635993516,0.146727095907971,0.0021969738496643,1,0,0.2,0.0523874580176791,0.0807954524678124,0.181442389702767,0,0.172308824542188,0.187193270029885,0
DASCMOP4_BC,1,50000,50156,230,27,5,27,5,20,0,0.058307800344828,0.0726889798628635,0.00438881880784147,1,0,0.2,0.00798654857159006,0.0453789789990281,0.0707277759135513,0.185185185185185,0.0597539597935492,0.0752844777727835,0
DASCMOP4_BC,1,70000,70176,321,23,5,23,5,20,0,0.0891040682500957,0.123846924134272,0.00292295103570674,1,0,0,0.00851169475103384,0.0720954787158818,0.106860500421898,0,0.092200513920746,0.12301037471218,0
DASCMOP4_BC,1,100000,100096,457,27,6,27,5,20,0,0.112843191416985,0.269854114943369,0.00365711008476014,1,0,0,0.019206994746627,0.123501439362994,0.18344128933783,0,0.154360021423379,0.281515479933079,0
DASCMOP5_BC,1,10000,10000,49,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,30000,30000,149,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,50000,50000,249,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,70000,70200,346,26,9,26,5,20,0,0.251611089867169,0.287013811786472,0.0111103898480202,0,0,0,0.0597897427632855,0.259399823765996,0.262116919005992,0,0.257108691616268,0.292278733797214,0
DASCMOP5_BC,1,100000,100120,482,30,11,30,5,20,0,0.42373245001475,0.508483344808427,0.0216838770737375,1,0,0,0.0238481671740303,0.308734491951699,0.492848656228273,0,0.427589507586849,0.513596015857259,0
LIRCMOP5_BC,1,10000,10100,45,63,14,63,5,20,0,0.00766241861839965,0.00797554991941673,0.000692102938043308,0,0,1,0.0344638119715028,0.00818752087707288,0.0163929469269434,0.650793650793651,0.0117474019874371,0.0196027392895139,0
LIRCMOP5_BC,1,30000,30120,136,55,13,55,5,20,0,0.00696085865847345,0.00769509716753231,0.000605634545646549,0.55,0.2,1,0.0828242455963755,0.00775813678535364,0.0240294544142923,0.509090909090909,0.00719841430680799,0.0106557857216736,0
LIRCMOP5_BC,1,50000,50140,227,67,16,67,5,20,0,0.00155273042816795,0.00854408376396669,0.000830737231288919,0,0,1,0.126405238413518,0.00960930273634212,0.0270913742186075,0.417910447761194,0.00572638619522469,0.010034190749967,0
LIRCMOP5_BC,1,70000,70160,318,58,9,58,5,20,0,0.00307226828949404,0.00999904803266338,0.000196573322202099,0.6,0.2,1,0.0743045704743469,0.00976652247895671,0.0122654914996136,0.0344827586206897,0.0121479961068549,0.0144789126598567,0
LIRCMOP5_BC,1,100000,100080,454,60,6,60,5,20,8,0.00241182256082764,0.0239695654253503,0.000471453043424131,1,0.2,1,0.0999008249238442,0.00646684943580474,0.00985971929467094,0.133333333333333,0.00563700504796364,0.0237255137842284,0.4
LIRCMOP6_BC,1,10000,10100,45,73,14,73,5,20,20,0.00208147701489294,0.0101507758487822,0.00174874117745372,0,0,1,0.0417327875637812,0.00538611731744614,0.0132180899821253,1,0.00477660705568228,0.0120549330893071,1
LIRCMOP6_BC,1,30000,30120,136,67,13,67,5,20,12,0.000716170515785079,0.00378163161771793,0.000406733777476185,0,0,1,0.0716461294164286,0.0101486122724405,0.0283308258618648,0.582089552238806,0.0120611937169143,0.0193233964894255,0.6
LIRCMOP6_BC,1,50000,50140,227,45,11,45,5,20,16,0.00217518334761803,0.203149439524674,0.000875023999981761,0,0,0.8,0.116823443823304,0.00952203842989002,0.0357657492681312,0.733333333333333,0.0134580404246754,0.174987745712816,0.8
LIRCMOP6_BC,1,70000,70160,318,63,11,63,5,20,8,0.00731613946822966,0.0085622873603505,0.00019340695164673,0,0,1,0.123043745979185,0.00959938552899959,0.0124622214584079,0.301587301587302,0.00753705019610179,0.0110178150533482,0.4
LIRCMOP6_BC,1,100000,100080,454,63,10,63,5,20,20,0.000275895538530824,0.00034607949179441,4.90528112290694e-05,0,0,1,0.0199688617200868,0.000830475805393244,0.00200539398739855,0.888888888888889,0.000627985426023525,0.00178823366506809,1
LIRCMOP7_BC,1,10000,10100,45,39,12,39,5,20,20,0.0068071569684593,0.00931458105494627,0.000860008319987873,0,0,1,0.0470824980386855,0.012518839931811,0.0240580432084553,0.641025641025641,0.0120965210625272,0.0401205853391561,1
LIRCMOP7_BC,1,30000,30120,136,39,10,39,5,20,2,0.00857596658019469,0.0161505386371479,0.000496791292466367,0.4,0.2,1,0.0678700704543253,0.0215991359498657,0.0226949059414797,0.384615384615385,0.0223632716026191,0.0230862012381053,0.1
LIRCMOP7_BC,1,50000,50140,227,48,13,48,5,20,16,0.0415197249364644,0.101336715910732,0.00133379482838972,0,0,0.6,0.0659050100495655,0.00413633667053367,0.0212402611651241,0.291666666666667,0.0967834682005168,0.545608919429202,0.8
LIRCMOP7_BC,1,70000,70160,318,51,13,51,5,20,8,0.00629450885805325,0.0129336658770269,0.000385620890952594,0,0,1,0.0622564065618232,0.00501938546562606,0.00895733972907784,0.254901960784314,0.00721888061847277,0.0110097731134091,0.4
LIRCMOP7_BC,1,100000,100080,454,48,8,48,5,20,0,0.00345839467543181,0.0036610375639874,0.00045267597139373,0,0,1,0.11718732588265,0.00524294209624809,0.0303169591187607,0.1875,0.00502212378410727,0.00543880139810012,0
LIRCMOP8_BC,1,10000,10100,45,67,16,67,5,20,20,0.00561241529509283,0.00784644065735468,0.00115800490254716,0,0,1,0.0528747248716839,0.00964218649993155,0.0193975168673467,0.701492537313433,0.00502043140915009,0.0119492748802543,1
LIRCMOP8_BC,1,30000,30120,136,54,9,54,5,20,16,0.00118690103649754,0.00255855495969383,0.000433305681097869,0,0,1,0.0567133431621181,0.00621101278283202,0.0409814116835554,0.666666666666667,0.00414085907190986,0.0196470868971318,0.8
LIRCMOP8_BC,1,50000,50140,227,51,13,51,5,20,19,0.00770837426582082,0.0092850216350801,0.000634939889021032,0,0,1,0.0896583647804422,0.00507827644488523,0.0224364931781618,0.529411764705882,0.00826124973208597,0.020190971714658,0.95
LIRCMOP8_BC,1,70000,70160,318,79,10,79,5,20,0,0.00484752635607121,0.00510326354924505,0.000288769126794073,0,0,1,0.0633631795856791,0.00524543261321265,0.00615725911597778,0,0.00597640651759946,0.00631077039499752,0
LIRCMOP8_BC,1,100000,100080,454,82,11,82,5,20,0,0.0029768318821405,0.00326791810048041,0.000243849178327614,0,0,1,0.0660148193427454,0.00345487747455828,0.00550649633398546,0.0609756097560976,0.00524544011830239,0.00633420702492739,0
LIRCMOP9_BC,1,10000,10100,45,32,5,32,5,20,20,0.00925673628523774,0.054762762275286,0.00171115330100743,0.35,0,0.8,0.124865097809994,0.00509145741236387,0.0435841690119339,0.46875,0.032079409668282,0.147655023083298,1
LIRCMOP9_BC,1,30000,30120,136,26,3,26,5,20,20,0.00487311579691456,0.0118556995137325,0.000934892799530713,0.5,0,1,0.0263532618570836,0.000437596802223366,0.0126803290839443,1,0.00794194551552151,0.0330171745342548,1
LIRCMOP9_BC,1,50000,50140,227,17,3,17,5,20,18,0.0028135000785637,0.00747680895539984,0.000639097440696979,0.8,0,1,0.0973182247768604,0.000486771145887535,0.00845691453661826,1,0.00716565168339319,0.0130206108458596,0.9
LIRCMOP9_BC,1,70000,70160,318,26,6,26,5,20,16,0.0036508438471333,0.00698354413119497,0.000435553771650086,0.6,0,1,0.0206816633171663,0.0016785698787559,0.00438927136696877,0.769230769230769,0.00113142067671728,0.00509523581713175,0.8
LIRCMOP9_BC,1,100000,100080,454,33,6,33,5,20,16,0.00433039957661071,0.0145393518267323,0.000467835658263999,0.4,0,1,0.0437694813998529,0.00104423256777245,0.00680201216402707,0.787878787878788,0.0101282859859822,0.0332462651757274,0.8
LIRCMOP10_BC,1,10000,10100,45,67,10,67,5,20,20,0.011794452009254,0.0208065690319008,0.000716031479858053,0.25,0,1,0.101955243158406,0.00766240292998032,0.161056264465002,1,0.101682311553021,0.125890944304316,1
LIRCMOP10_BC,1,30000,30120,136,23,6,23,5,20,20,0.00404967015901554,0.0415023727310854,0.00052608119535103,1,0,1,0.162609122633909,0.00626384241435612,0.0575304262617886,1,0.0102945878961206,0.0677509485288418,1
LIRCMOP10_BC,1,50000,50140,227,28,8,28,5,20,12,0.00111798078718174,0.00841695634372014,0.000282168550170494,1,0,1,0.125282578513454,0.00460199945099181,0.0176758726918303,0.821428571428571,0.0075727409025417,0.0151172644400473,0.6
LIRCMOP10_BC,1,70000,70160,318,28,4,28,5,20,4,0.000725181379255311,0.00168232399523277,4.83059649665532e-05,0.6,0,1,0.0575235204166238,0.00127551740515607,0.00295206580112726,0.607142857142857,0.00128636878556532,0.00264261192515287,0.2
LIRCMOP10_BC,1,100000,100080,454,53,5,53,5,20,8,0.000355429360554182,0.000727068906753236,1.31237117893656e-05,0.2,0,1,0.0195959364517626,0.000496220274224476,0.002349520820503,0.660377358490566,0.000590243125573038,0.00103510660371053,0.4
