ref,count,condition_unique_count,condition_nn_dist50,condition_nn_dist90,tau_iqr,tau_range,y_span_f1_raw,y_span_f2_raw,y_nn_dist50_norm,y_nn_dist90_norm
13,3,1,0,0,0,0,0,0,0,0
15,3,1,0,0,0,0,0,0,0,0
16,3,1,0,0,0,0,0,0,0,0
17,3,1,0,0,0,0,0,0,0,0
18,3,1,0,0,0,0,0,0,0,0
37,3,1,0,0,0,0,0,0,0,0
39,3,1,0,0,0,0,0,0,0,0
41,3,1,0,0,0,0,0,0,0,0
43,3,1,0,0,0,0,0,0,0,0
44,3,1,0,0,0,0,0,0,0,0
45,3,1,0,0,0,0,0,0,0,0
46,3,1,0,0,0,0,0,0,0,0
47,3,1,0,0,0,0,0,0,0,0
48,3,1,0,0,0,0,0,0,0,0
49,3,1,0,0,0,0,0,0,0,0
50,3,1,0,0,0,0,0,0,0,0
52,3,1,0,0,0,0,0,0,0,0
53,3,1,0,0,0,0,0,0,0,0
54,3,1,0,0,0,0,0,0,0,0
55,3,1,0,0,0,0,0,0,0,0
57,3,1,0,0,0,0,0,0,0,0
58,3,1,0,0,0,0,0,0,0,0
59,3,1,0,0,0,0,0,0,0,0
60,3,1,0,0,0,0,0,0,0,0
62,3,1,0,0,0,0,0,0,0,0
64,3,1,0,0,0,0,0,0,0,0
65,3,1,0,0,0,0,0,0,0,0
66,3,1,0,0,0,0,0,0,0,0
68,3,1,0,0,0,0,0,0,0,0
69,3,1,0,0,0,0,0,0,0,0
70,3,1,0,0,0,0,0,0,0,0
71,3,1,0,0,0,0,0,0,0,0
73,3,1,0,0,0,0,0,0,0,0
75,3,1,0,0,0,0,0,0,0,0
76,3,1,0,0,0,0,0,0,0,0
77,3,1,0,0,0,0,0,0,0,0
79,3,1,0,0,0,0,0,0,0,0
80,3,1,0,0,0,0,0,0,0,0
81,3,1,0,0,0,0,0,0,0,0
82,3,1,0,0,0,0,0,0,0,0
83,3,1,0,0,0,0,0,0,0,0
84,3,1,0,0,0,0,0,0,0,0
86,3,1,0,0,0,0,0,0,0,0
87,3,1,0,0,0,0,0,0,0,0
88,3,1,0,0,0,0,0,0,0,0
89,3,1,0,0,0,0,0,0,0,0
93,3,1,0,0,0,0,0,0,0,0
97,3,1,0,0,0,0,0,0,0,0
