problem,FE,pairedRuns,mainlineMean,mainlineStd,mainlineMedian,DE20Mean,DE20Std,DE20Median,meanDeltaDE20MinusMainline,medianDeltaDE20MinusMainline,mainlineWins,DE20Wins,ties,signTestP
LIRCMOP5_BC,100000,10,0.0186303493200686,0.00502734564945079,0.0198506070009167,0.0199602045908985,0.00794124337773091,0.0164332782737472,0.00132985527082989,-0.000301431563166298,5,5,0,1
LIRCMOP7_BC,100000,10,0.0166473803713534,0.0256284329247799,0.00854171863014912,0.0176249201767823,0.0292842471851147,0.00828856366590362,0.000977539805428941,-0.000131672802394481,4,6,0,0.75390625
LIRCMOP8_BC,100000,10,0.008067112144634,0.000295228772131675,0.00805455140572598,0.00839496746038515,0.000674958683667204,0.00823618699132674,0.000327855315751152,0.000201458123411084,8,2,0,0.109375
LIRCMOP10_BC,100000,10,0.0246387384329416,0.00588607088469595,0.0231174178265069,0.0222187035289845,0.00578933475390126,0.0233785307806665,-0.00242003490395707,-0.00361517435781689,4,6,0,0.75390625
LIRCMOP12_BC,100000,10,0.0426884391158131,0.0273817116313664,0.0349050554773384,0.0443016870187123,0.0193341435619218,0.0358525161961795,0.00161324790289921,0.00621034428951113,5,5,0,1
LIRCMOP14_BC,100000,10,0.0995612105099394,0.00145016687795467,0.0992109841139839,0.0996277150718024,0.00103824808821796,0.0995589730100571,6.65045618630067e-05,0.000163256078088356,6,4,0,0.75390625
