problem,FE,pairedRuns,mainlineMean,mainlineStd,mainlineMedian,DE20Mean,DE20Std,DE20Median,meanDeltaDE20MinusMainline,medianDeltaDE20MinusMainline,mainlineWins,DE20Wins,ties,signTestP
LIRCMOP5_BC,10000,10,1.24300309378741,0.00961483494782525,1.23883437955945,1.2604135677659,0.0613115692231186,1.24174186530714,0.017410473978491,0.00226974175288108,7,3,0,0.34375
LIRCMOP5_BC,20000,10,1.12601041198871,0.299202685106723,1.21928795954508,1.22235572705381,0.0103950790742095,1.22523107970602,0.0963453150650995,0.00192042166964645,6,4,0,0.75390625
LIRCMOP5_BC,30000,10,1.02385170049132,0.407336216393185,1.21529428879172,0.855159897855052,0.465248168206152,1.19555431817883,-0.16869180263627,-0.0101852277836587,4,6,0,0.75390625
LIRCMOP5_BC,40000,10,0.843395163904729,0.480794190643638,1.1952496185955,0.809075050254857,0.509118937479049,1.18768868616464,-0.0343201136498717,-0.00874899315524802,4,6,0,0.75390625
LIRCMOP5_BC,50000,10,0.703453245599891,0.526513117223059,0.790302047072434,0.459206534155509,0.434154266060459,0.272799768512889,-0.244246711444382,-0.13530936146003,4,6,0,0.75390625
LIRCMOP5_BC,60000,10,0.355154484724582,0.372749650514436,0.236863564523984,0.251957008507183,0.336031610234002,0.151565075392266,-0.103197476217399,0.00211570309669338,5,5,0,1
LIRCMOP5_BC,70000,10,0.211936165203924,0.34568084400858,0.073604576521525,0.175383520317697,0.349146785436931,0.057404137613443,-0.0365526448862267,-0.0053132953704634,5,5,0,1
LIRCMOP5_BC,80000,10,0.054483004865152,0.0475034873662005,0.0389458864258093,0.0683546378266174,0.0970649027306666,0.0312091049961236,0.0138716329614654,-0.00522932476780426,5,5,0,1
LIRCMOP5_BC,90000,10,0.0256693105357379,0.0103139314601612,0.0242434095444355,0.0259141566029752,0.0126043168459826,0.0216698474181959,0.000244846067237298,-0.00201404208798738,3,7,0,0.34375
LIRCMOP5_BC,100000,10,0.0186303493200686,0.00502734564945079,0.0198506070009167,0.0199602045908985,0.00794124337773091,0.0164332782737472,0.00132985527082989,-0.000301431563166298,5,5,0,1
LIRCMOP7_BC,10000,10,0.526500406342818,0.628835266642979,0.201454567486822,0.580193227427656,0.614817362336829,0.269174681606413,0.0536928210848377,0.014240179663174,8,2,0,0.109375
LIRCMOP7_BC,20000,10,0.132913729526314,0.0234920587925332,0.130955077946946,0.124067053390865,0.028450620397148,0.116079104264218,-0.00884667613544853,-0.00539403134925745,4,6,0,0.75390625
LIRCMOP7_BC,30000,10,0.0927891891496893,0.042357630371299,0.105540019866466,0.102393569067732,0.0335175147123324,0.097621379124375,0.00960437991804267,0.000394221898715401,5,5,0,1
LIRCMOP7_BC,40000,10,0.0666143761652651,0.0445398418008416,0.0635487956261132,0.0732778799583026,0.048816755820329,0.0629699469225334,0.0066635037930375,-0.000449995080624807,5,5,0,1
LIRCMOP7_BC,50000,10,0.0533511093521468,0.0443228461783446,0.0423896878658353,0.0539556619865117,0.0451995119614926,0.0266601147146324,0.000604552634364958,-0.00767513132354436,4,6,0,0.75390625
LIRCMOP7_BC,60000,10,0.0337583374784931,0.0346181815745942,0.0153695498348847,0.0383041732591821,0.0435336370575161,0.0147306795275825,0.00454583578068908,-0.00142839933029861,4,6,0,0.75390625
LIRCMOP7_BC,70000,10,0.0196610904927603,0.0249712590657426,0.00972640158441223,0.022877988186233,0.0325126449088528,0.0105075773607947,0.00321689769347275,-0.000256799109245871,5,5,0,1
LIRCMOP7_BC,80000,10,0.0173223384803159,0.0254017627862846,0.00916542432770347,0.0194936923149286,0.0331381064245172,0.00910811656107964,0.00217135383461268,-0.00063057516163688,4,6,0,0.75390625
LIRCMOP7_BC,90000,10,0.0168130854248582,0.0255956861909306,0.00880436265523129,0.0178675980877271,0.0291766932845113,0.00858252908232611,0.0010545126628689,6.23126063408353e-05,5,5,0,1
LIRCMOP7_BC,100000,10,0.0166473803713534,0.0256284329247799,0.00854171863014912,0.0176249201767823,0.0292842471851147,0.00828856366590362,0.000977539805428941,-0.000131672802394481,4,6,0,0.75390625
