problem,seed,mode,stage,targetFE,actualFE,missing,IGD,HV,p1Feasible,p2Feasible,populationOverlap,archivePairs,activePairs,inactivePairs,eligiblePairs,activeRefCoverage,frontRejectedPairs,infeasibleDominatedPairs,eligibilityRemoved,feasiblePoolEligible,infeasiblePoolEligible,gapMedian,gapP90,trainingEvents,generatorUpdates,criticUpdates,trainingSeconds,lastTrainingFE,lastTrainingPairs,lastTrainingEpochs,lastTrainingUpdates,lastTrainingEndpointRMSE,modelVersion,consumedTrainingFE,consumedTrainingPairs,consumedTrainingEpochs,consumedTrainingUpdates,consumedTrainingRMSE,productionFE,selectedCount,selectedFeasibleRate,survivedP1,survivedP2,cumulativeGuided,nativeBandRate,rebuildInputPoints,netGapReduction
LIRCMOP8_BC,14,pair_only,first_true_use,3000,3000,0,3.68665417680295,0,100,92,90,11,9,2,11,0.09,0,0,0,19,8,0.717017726686889,1.05631774262305,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,2800,4,0,0,4,4,1,404,0.391002605478852
LIRCMOP8_BC,14,pair_only,FE010000,10000,10000,0,0.314590579895951,0.20463742771441,100,25,16,80,33,47,80,0.33,20,1,20,58,151,0.00727333573637617,0.163969724612479,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,9800,20,0.4,8,4,676,1,548,0.679163841076773
LIRCMOP8_BC,14,pair_only,FE030000,30000,30000,0,0.116827890961224,0.24883438407263,100,47,38,500,77,423,500,0.77,16,0,16,303,353,0.00170345780456102,0.0536715778128896,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,29800,20,0.55,3,3,2676,1,1400,0.318544008080008
LIRCMOP8_BC,14,pair_only,FE050000,50000,50000,0,0.0810361990900008,0.261582958295284,100,31,10,500,76,424,500,0.76,3,0,3,331,401,0.00148018646234627,0.0299764989652778,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,49800,20,0.65,4,3,4676,1,1400,0.081501964855979
LIRCMOP8_BC,14,pair_only,FE070000,70000,70000,0,0.00712807922505556,0.294465657877105,100,2,1,500,87,413,500,0.87,0,0,0,347,482,0.00145857528921152,0.00754681304100631,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,69800,20,0.65,0,0,6676,1,1400,0.137543967917382
LIRCMOP8_BC,14,pair_only,FE100000,100000,100000,0,0.00670246149557398,0.294712351275589,100,0,0,500,86,414,500,0.86,1,0,1,320,490,0.00103660581243778,0.00301335562837519,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,99800,20,0.65,1,0,9676,1,1400,-0.239150975087002
