problem,FE,DE20Mean,DE20Std,DE20Median,CGANMean,CGANStd,CGANMedian,meanDeltaDE20MinusCGAN,medianDeltaDE20MinusCGAN,CGANWins,DE20Wins,ties
LIRCMOP5_BC,10000,1.27658675618236,0.0877281637699499,1.23867007381102,1.24310789119239,0.0187498973722153,1.23807156089794,0.0334788649899727,-0.000665263512866332,2,3,0
LIRCMOP5_BC,20000,1.21813808547469,0.0132749442114087,1.22198604232614,1.2205960581238,0.0108439288093235,1.22098239936686,-0.00245797264910745,-0.00526309783648626,2,3,0
LIRCMOP5_BC,30000,1.01388777789678,0.434410489831795,1.19685897320783,1.0251341256179,0.415771974736023,1.20108691210415,-0.0112463477211138,-0.00422793889631934,0,5,0
LIRCMOP5_BC,40000,0.983020987394067,0.478056870098148,1.18875685895978,0.6411937054274,0.524891324127801,0.372208724337572,0.341827281966667,0.0109571132066747,3,2,0
LIRCMOP5_BC,50000,0.720729335710306,0.497273320703733,0.77270259898036,0.57051685856936,0.572537019901662,0.308993014452468,0.150212477140946,0.0163245304629829,4,1,0
LIRCMOP5_BC,60000,0.39530723202377,0.445105863808577,0.18545021700654,0.546053944611215,0.56670029090178,0.261259100349456,-0.150746712587445,0.0116849786531306,3,2,0
LIRCMOP5_BC,70000,0.280277407743512,0.494184820986213,0.0803900927175171,0.174010546676154,0.212052868352874,0.0608734734362986,0.106266861067358,0.0195166192812185,3,2,0
LIRCMOP5_BC,80000,0.0933058143974376,0.135413473442706,0.0242313612314988,0.0407767607059715,0.00936557197802162,0.0439298555533906,0.0525290536914661,-0.00318283757500968,2,3,0
LIRCMOP5_BC,90000,0.0294728086669921,0.0167600579093781,0.0211768965286646,0.0292390826608326,0.00878565122182125,0.0315269275319553,0.000233726006159531,-0.00521984516962814,1,4,0
LIRCMOP5_BC,100000,0.0220400971687637,0.00962158466401459,0.0165918927498441,0.0230728960113726,0.00747899275070518,0.0223829023907481,-0.00103279884260892,-0.00228711206165639,1,4,0
LIRCMOP7_BC,10000,0.823470850429917,0.811100945597562,0.325211654705205,0.525907959280506,0.654604307256392,0.276869270248455,0.297562891149411,0.0401336184661312,4,1,0
LIRCMOP7_BC,20000,0.129453657535332,0.0353663893841786,0.124794845727284,0.137864031874956,0.0202165400245315,0.138052374110774,-0.00841037433962333,-0.0172382615920953,2,3,0
LIRCMOP7_BC,30000,0.108063577574821,0.0478532013704101,0.131193873179407,0.107476752961561,0.0467890385219081,0.112183721232648,0.000586824613259497,0.00197309051826731,3,2,0
LIRCMOP7_BC,40000,0.090433344576173,0.0535607665275609,0.113731763602874,0.0766197267534392,0.0414128371586974,0.0869842879294855,0.0138136178227338,0.00863517486010483,3,2,0
LIRCMOP7_BC,50000,0.073832079418796,0.0525995023839183,0.0929261618864856,0.0514806110484555,0.0477417954408739,0.0302070698593236,0.0223514683703405,0.0103767580790407,3,2,0
LIRCMOP7_BC,60000,0.0520496390266865,0.0551709642517309,0.0184906219044447,0.0272643923653481,0.0319768014980571,0.0102927412908567,0.0247852466613384,0.00695627968747549,4,1,0
LIRCMOP7_BC,70000,0.0319831262738427,0.0459467515267533,0.0114107251661987,0.019002417493845,0.0215474679446531,0.00910553726485699,0.0129807087799977,0.000285833966734414,3,2,0
LIRCMOP7_BC,80000,0.0300494954137248,0.0468176050564029,0.00968645004438644,0.0108804251565137,0.00476464657412475,0.00874490858369243,0.0191690702572111,9.31610961421945e-05,3,2,0
LIRCMOP7_BC,90000,0.0271479677744942,0.0412283557804562,0.00863873775143845,0.00857947376882286,0.000220942984247677,0.00856835518695703,0.0185684940056713,-9.2691976477273e-05,2,3,0
LIRCMOP7_BC,100000,0.0268784316695363,0.0414167985310139,0.00833078289079887,0.00846786279516912,0.000201705846793732,0.00835296632342775,0.0184105688743672,-0.000140491873463539,2,3,0
LIRCMOP8_BC,10000,0.973268748032774,0.667978860698634,0.655662751359032,0.880576115625884,0.738025610033808,0.41602209852242,0.0926926324068908,0.000354907539055871,3,2,0
LIRCMOP8_BC,20000,0.201590340722133,0.0218288435198988,0.206526434434101,0.195886159718969,0.0424658819176799,0.195389372757846,0.00570418100316475,0.00427741752136995,3,2,0
LIRCMOP8_BC,30000,0.169265237299551,0.0303756954825562,0.168621620230541,0.164029124322371,0.0457477128716093,0.153296917839861,0.00523611297717951,0.0131688960037514,3,2,0
LIRCMOP8_BC,40000,0.111294696278033,0.0516588739830961,0.135532011033853,0.0928054031218469,0.0678799671635771,0.121348351240695,0.0184892931561866,0.014183659793158,4,1,0
LIRCMOP8_BC,50000,0.061006251670387,0.0536445211807548,0.0453418492538566,0.0351280499911987,0.0363293721922467,0.0129495793347901,0.0258782016791884,0.0323922699190665,4,1,0
LIRCMOP8_BC,60000,0.0224579409446468,0.0233999171225434,0.0129672006463879,0.0110281900368886,0.00165240949629653,0.0112941456266112,0.0114297509077582,0.00167305501977666,4,1,0
LIRCMOP8_BC,70000,0.0118788122818065,0.00493052650212181,0.0101737478045992,0.00937735325718348,0.000831781136788521,0.00965748603019595,0.002501459024623,-2.23428933365712e-05,2,3,0
LIRCMOP8_BC,80000,0.0103375184064782,0.00290096654480682,0.00913136915907911,0.00893258362145395,0.000668232614880355,0.00912841823934202,0.00140493478502421,-3.70413757373386e-07,2,3,0
LIRCMOP8_BC,90000,0.00923623119069917,0.00111902308348859,0.00909769529224845,0.00845912398689077,0.000495550138302581,0.00832252884272411,0.000777107203808392,0.000211690029796818,5,0,0
LIRCMOP8_BC,100000,0.00880796782288207,0.00067963063821328,0.00879390943703883,0.00805260738560319,0.00036740102993622,0.00804606620506524,0.000755360437278874,0.000239655444624214,4,1,0
