epoch,taskCount,full20Rate,guidedCountMedian,candidateValidRateMedian,rawFeasibleRateMedian,rawInfeasibleRateMedian,rawBoundaryMarginMedian,rawCVMedian,guidedFeasibleRateMedian,guidedBoundaryMarginMedian,guidedCVMedian,guidedUsefulPerQuotaMedian,useFEMedian,wallClockMedian,wallClockP90,qualityScoreMedian,qualityScoreIQR,problem
200,5,1,20,0.88,1,0,14.6140699344808,0,1,1.17692643676375,0,0,3500,26.9662147083333,30.520269125,0.45,0.00562499999999999,LIRCMOP5_BC
400,5,1,20,0.998,0.924,0.076,1.11267599328303,0,0.7,0.205547927715264,0,0,3500,50.121292625,58.1654442916667,0.738345956120882,0.0142721301657531,LIRCMOP5_BC
700,5,1,20,0.998,0.894,0.106,0.8920914948992,0,0.85,0.252078545764764,0,0.05,3500,84.5169725416667,90.9583844166667,0.755940424491051,0.049710142175278,LIRCMOP5_BC
1000,5,1,20,1,0.866,0.134,0.635993184143527,0,0.65,0.173042213924717,0,0,3500,152.262054625,155.874844791667,0.7743,0.023902456154638,LIRCMOP5_BC
200,5,1,20,0.932,1,0,14.2574721533557,0,1,1.60575036164294,0,0,2700,12.2684718333333,28.76612225,0.45,0.00355,LIRCMOP7_BC
400,5,1,20,1,0.832,0.168,1.34301495845379,0,0.8,0.580645232287967,0,0,2700,49.531532125,57.22204975,0.776700224439737,0.0402626020303201,LIRCMOP7_BC
700,5,1,20,1,0.84,0.16,0.745914676847823,0,0.6,0.0871530372233495,0,0.05,2700,83.2980682083333,90.1855246666667,0.7762,0.0113121641742723,LIRCMOP7_BC
1000,5,1,20,0.996,0.854,0.146,0.896235282849848,0,0.6,0.132424828103909,0,0.05,2700,151.273023958333,151.925760125,0.767725094711196,0.0273138622736298,LIRCMOP7_BC
200,5,1,20,0.742,1,0,21.0667228443449,0,1,2.03845811835877,0,0,3300,25.8672800833333,28.4453567083333,0.45,0.00937500000000002,LIRCMOP8_BC
400,5,1,20,0.988,0.888,0.112,0.973650483757221,0,0.7,0.181656648892468,0,0,3300,27.3914737916667,50.3523475416667,0.73846836938198,0.0902084896587443,LIRCMOP8_BC
700,5,1,20,1,0.826,0.174,0.533132324736982,0,0.65,0.106591290768812,0,0.05,3300,81.3748869583333,84.6273771666667,0.7781,0.015951507169493,LIRCMOP8_BC
1000,5,1,20,0.998,0.754,0.246,0.347666850156412,0,0.55,0.0907566132095942,0,0.05,3300,116.38440225,117.815003333333,0.7808,0.0246008219823115,LIRCMOP8_BC
200,5,0.8,20,0.354,1,0,13.3120173268461,0,1,1.21047802082068,0,0,4300,29.0665891666667,29.465805,0.45,0.101164479023337,LIRCMOP10_BC
400,5,1,20,0.708,1,0,6.7631741747984,0,1,0.424416680884166,0,0,4300,50.964355125,56.2010320833333,0.576093212295523,0.226822289099964,LIRCMOP10_BC
700,5,1,20,0.838,0.98,0.02,2.20012041048754,0,0.95,0.116668467468284,0,0,4300,84.45721025,91.299422,0.752298319333216,0.0720251445523554,LIRCMOP10_BC
1000,5,1,20,0.912,0.968,0.032,0.511590419988787,0,0.95,0.20331010303487,0,0,4300,119.637951333333,125.786630666667,0.7914,0.0146310476680079,LIRCMOP10_BC
200,5,0.6,20,0.304,1,0,28.8583287430608,0,1,9.42971483223882,0,0,5900,16.386923625,17.3815519583333,0.45,0.463101790749532,LIRCMOP12_BC
400,5,0.6,20,0.416,1,0,19.3553217471078,0,1,5.83337775898961,0,0,5900,26.4784689583333,31.214055625,0.533550355326883,0.27723425684723,LIRCMOP12_BC
700,5,1,20,0.584,1,0,11.539377924618,0,1,4.08678198045532,0,0,5900,46.642993,82.58362925,0.678751767367563,0.0877078375703485,LIRCMOP12_BC
1000,5,1,20,0.724,1,0,5.8525207404402,0,0.8,1.57296368007844,0,0,5900,65.612306375,97.4131590833333,0.7678,0.0370092784730345,LIRCMOP12_BC
200,5,1,20,0.994,0.836,0.164,172.97378869999,0,0.95,30.7571545358045,0,0,3300,31.9674627083333,43.57715575,0.4936,0.0904021502660048,LIRCMOP14_BC
400,5,1,20,0.996,0.75,0.25,52.1826434042381,0,0.85,19.8880040485245,0,0,3300,43.8481682916667,50.774178,0.722737928455192,0.117506987815777,LIRCMOP14_BC
700,5,1,20,0.994,0.79,0.21,55.30171634443,0,0.85,28.105301040977,0,0,3300,82.3051782916667,128.079178125,0.689292491576651,0.16365461750296,LIRCMOP14_BC
1000,5,1,20,0.998,0.732,0.268,27.5985592839045,0,0.7,11.6682846624572,0,0,3300,125.602253291667,182.227109583333,0.8039,0.0427354919583007,LIRCMOP14_BC
