problem,mode,stage,GroupCount,mean_actualFE,mean_IGD,mean_HV,mean_activePairs,mean_eligiblePairs,mean_archivePairs,mean_p1Feasible,mean_p2Feasible,mean_gapMedian,mean_trainingEvents,mean_generatorUpdates,mean_lastTrainingEndpointRMSE,mean_selectedFeasibleRate,mean_cumulativeGuided
LIRCMOP5_BC,cgan,FE010000,3,10000,1.25415648741507,0,26,34.3333333333333,34.3333333333333,100,40.3333333333333,0.326577557862885,25.3333333333333,686.666666666667,0.125034872195806,0.8,488
LIRCMOP5_BC,cgan,FE030000,3,30000,0.921082100888402,0.0505466617288837,45.3333333333333,186.666666666667,186.666666666667,100,49.6666666666667,0.208026155944601,123.666666666667,2653.33333333333,0.0951213581836961,0,2488
LIRCMOP5_BC,cgan,FE050000,3,50000,0.459355357605998,0.169937372584837,26,172.333333333333,172.333333333333,100,53,0.12575914507145,185,3880,0.161847111725279,0.0666666666666667,4018
LIRCMOP5_BC,cgan,FE070000,3,70000,0.403138284606635,0.188284241930976,17.6666666666667,170,170,100,64.3333333333333,0.126320471823164,229.333333333333,4766.66666666667,0.129619050284361,0,5305.33333333333
LIRCMOP5_BC,cgan,FE100000,3,100000,0.0214471509252582,0.283823232684671,3.66666666666667,9.66666666666667,9.66666666666667,100,88.3333333333333,0.0936469156601282,246.333333333333,5106.66666666667,0.117160442553738,0.333333333333333,6718.66666666667
LIRCMOP5_BC,cgan,first_true_use,3,5133.33333333333,2.18901797293265,0,10.6666666666667,11.6666666666667,11.6666666666667,100,74,0.545962709339176,1.66666666666667,213.333333333333,0.239192177601845,1,18.6666666666667
LIRCMOP6_BC,cgan,FE010000,3,10000,1.36540520672402,0,23.6666666666667,28.3333333333333,28.3333333333333,100,66.6666666666667,0.349571034258827,16.3333333333333,506.666666666667,0.1619180178366,0.766666666666667,347.333333333333
LIRCMOP6_BC,cgan,FE030000,3,30000,0.95023205746462,0.0400924838384247,55.3333333333333,333.666666666667,333.666666666667,100,45,0.179247261278634,95.3333333333333,2086.66666666667,0.144401293421331,0.277777777777778,1998
LIRCMOP6_BC,cgan,FE050000,3,50000,0.257891629974208,0.124490756335437,8.33333333333333,46.6666666666667,46.6666666666667,100,67.6666666666667,0.110652792034106,139,2960,0.13351112897823,0.291666666666667,3180.66666666667
LIRCMOP6_BC,cgan,FE070000,3,70000,0.0696493400207808,0.176393375295761,6,11.3333333333333,11.3333333333333,100,83,0.104185146101178,170.666666666667,3593.33333333333,0.121863056911238,0.104166666666667,4355.33333333333
LIRCMOP6_BC,cgan,FE100000,3,100000,0.0156935140656708,0.192240786203739,1,1.66666666666667,1.66666666666667,100,99.6666666666667,0.205826277104402,203.333333333333,4246.66666666667,0.0369710825031862,0.75,5356.66666666667
LIRCMOP6_BC,cgan,first_true_use,3,5933.33333333333,2.82383636703189,0,11.3333333333333,12,12,100,81.6666666666667,0.646041690045017,2,220,0.250544924547826,1,17.3333333333333
LIRCMOP7_BC,cgan,FE010000,3,10000,0.434073114055502,0.16568229192205,17,24,24,100,43,0.325949335510006,23.6666666666667,653.333333333333,0.167099305526569,0.333333333333333,525.333333333333
LIRCMOP7_BC,cgan,FE030000,3,30000,0.0899784353454476,0.260012247335792,65.3333333333333,291.333333333333,291.333333333333,100,36.3333333333333,0.1478785116611,121.333333333333,2606.66666666667,0.0783672217691007,0.0333333333333333,2525.33333333333
LIRCMOP7_BC,cgan,FE050000,3,50000,0.0486923982985839,0.276856557340995,85.6666666666667,498.666666666667,498.666666666667,100,15.6666666666667,0.131248486098318,219.666666666667,4573.33333333333,0.0977967132127971,0.0333333333333333,4525.33333333333
LIRCMOP7_BC,cgan,FE070000,3,70000,0.0142927883846572,0.290672517128448,88,500,500,100,5.66666666666667,0.114986466200878,319,6560,0.103537476673109,0.166666666666667,6525.33333333333
LIRCMOP7_BC,cgan,FE100000,3,100000,0.00877872101959565,0.293400914150789,92.3333333333333,500,500,100,1.33333333333333,0.0931248900742386,467,9520,0.120648631327597,0.0666666666666667,9525.33333333333
LIRCMOP7_BC,cgan,first_true_use,3,4133.33333333333,3.29170413059086,0,13,13.6666666666667,13.6666666666667,100,79,0.618286273793041,1.66666666666667,213.333333333333,0.241753418726838,1,20
LIRCMOP8_BC,cgan,FE010000,3,10000,1.35011215705965,0.04285684898769,22,29,29,100,65.6666666666667,0.491664035994883,21.6666666666667,613.333333333333,0.150443454763698,0.416666666666667,454
LIRCMOP8_BC,cgan,FE030000,3,30000,0.0658621853446641,0.267269674937504,70.3333333333333,245,245,100,25.6666666666667,0.166354434574775,121.333333333333,2606.66666666667,0.108159105578975,0.15,2454
LIRCMOP8_BC,cgan,FE050000,3,50000,0.00952377085023899,0.293051199127405,89.6666666666667,500,500,100,0.333333333333333,0.120320327685235,220,4580,0.113483004084053,0.1,4454
LIRCMOP8_BC,cgan,FE070000,3,70000,0.00862442024571287,0.293567737041988,94.6666666666667,500,500,100,0,0.105141904195026,318.333333333333,6546.66666666667,0.0966043044460511,0.3,6454
LIRCMOP8_BC,cgan,FE100000,3,100000,0.00770113279369009,0.294077183474755,94.6666666666667,500,500,100,0,0.0851124490423176,465.666666666667,9493.33333333333,0.0839723010043283,0.166666666666667,9454
LIRCMOP8_BC,cgan,first_true_use,3,4933.33333333333,2.52356394994302,0,6,6,6,100,81.6666666666667,0.837583233733426,1.33333333333333,206.666666666667,0.245896420562455,1,18.6666666666667
