problem,run,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP1_BC,3,14,40,1,0.08,40,0,0.0146135235775658,0.024421669910145,40,20,3,0.00209391195100246,80,1.07860850783177,1.37528216045733,0,5,15,20,0,0.5,0.0258056243830388,0.0324584359488874,0,0.0401155151571469,NaN,0.85,0.30077359621887,0,0.0282782285578334,0.0401506226110091,0,400,40,480,480,178,302,54,8,70,8,7016,0,40,40,40,40,40,40,40,40,40,0,20
DASCMOP1_BC,3,15,45,1,0.09,45,0,0.0140924795865678,0.0172096223207223,45,20,3,0.00235565094487777,71.1111111111111,1.10001021192387,1.37528216045733,0,3,17,20,0,0.444444444444444,0.0293673764417667,0.032136693885222,0,0.0372564948375233,NaN,0.95,0.0484295447159457,0,0.0314200943044867,0.0373126795558483,0,400,40,480,480,175,305,50,10,77,10,5933,0,50,50,50,50,45,45,45,45,45,0,20
DASCMOP1_BC,3,16,35,1,0.07,35,0,0.010224695489734,0.0120417273550422,35,20,3,0.00183217295712715,91.4285714285714,1.19191897794007,1.37528216045733,0,5,15,20,0,0.571428571428571,0.21128557342614,0.240941424261717,0,0.242443697670517,NaN,0.85,0.232673399265237,0,0.211444886866415,0.242643089737668,0,400,45,490,490,186,304,61,8,85,8,7477,0,40,40,40,40,35,35,35,35,35,0,20
DASCMOP1_BC,3,17,55,1,0.11,55,0,0.0150274012836153,0.0174156677517363,55,20,3,0.00287912893262838,58.1818181818182,1.09649025040163,1.36606705653399,0,2,18,20,13,0.363636363636364,0.00366833307662973,0.0164181126325949,0,0.019824015123626,NaN,0.4,-0.00272114569257792,0.636363636363636,0.0160417580673093,0.019824015123626,0.65,400,35,470,470,167,303,51,11,85,11,5721,0,55,55,55,55,55,55,55,55,55,0,20
DASCMOP1_BC,3,18,55,1,0.11,55,0,0.0119235415200372,0.0204005071198488,55,20,3,0.00287912893262838,58.1818181818182,0.978055701283612,1.36606705653399,0,2,18,20,0,0.363636363636364,0.558035421740968,0.602529494716236,0,0.607001572487969,NaN,0.95,0.172324397349052,0,0.560858330602194,0.607274605132863,0,400,55,510,510,193,317,73,11,97,11,8791,0,55,55,55,55,55,55,55,55,55,0,20
DASCMOP1_BC,3,19,55,1,0.11,55,0,0.0124754447057089,0.0151498729690432,55,20,3,0.00287912893262838,58.1818181818182,1.0585942827457,1.36606705653399,0,1,19,20,0,0.363636363636364,0.645582665682052,0.672104641122084,0,0.675118753955565,NaN,1,0.066333825982361,0,0.647403850622623,0.675118753955565,0,400,55,510,510,183,327,75,12,100,12,8959,0,60,60,60,60,55,55,55,55,55,0,20
DASCMOP1_BC,3,20,60,1,0.12,60,0,0.0125913417865053,0.0161588141417012,60,20,3,0.00314086792650369,53.3333333333333,1.00375023878241,1.30815409271552,0,1,19,20,0,0.333333333333333,0.0193283215803438,0.0224988527467598,0,0.02688283231947,NaN,0.3,-0.107489724065827,0,0.0221311456709848,0.0269915576410911,0,400,55,510,510,199,311,65,12,99,12,7748,0,60,60,60,60,60,60,60,60,60,0,20
DASCMOP1_BC,3,21,57,1,0.12,57,0,0.00642959118764164,0.014852669648729,57,20,3,0.00298382453017851,56.140350877193,1.09417704410201,1.22513157126477,0,1,19,20,0,0.350877192982456,0.10414408473391,0.116240215509562,0,0.118027416391138,NaN,0.5,0.000235549857280637,0,0.104622642992097,0.118127606333069,0,400,60,520,520,194,326,80,12,97,12,9034,0,60,60,60,60,57,57,57,57,57,0,20
DASCMOP1_BC,3,22,55,1,0.11,55,0,0.0078022506277409,0.0214978966047918,55,20,3,0.00287912893262838,58.1818181818182,1.11583914182834,1.32863502738435,0,3,17,20,0,0.363636363636364,0.121205993955199,0.12715508816195,0,0.12715508816195,NaN,0.8,0.085088837625045,0,0.122021414366233,0.127331939487015,0,400,57,514,514,196,318,79,11,98,11,8014,0,55,55,55,55,55,55,55,55,55,0,20
DASCMOP1_BC,3,23,55,1,0.11,55,0,0.00793474003717189,0.0161973678999968,55,20,3,0.00287912893262838,58.1818181818182,1.12840207045919,1.27613511704902,0,3,17,20,0,0.363636363636364,0.109685908504877,0.114150508806083,0,0.116264156520634,NaN,0.95,0.0631518024716708,0,0.110306459128402,0.116354385279946,0,400,55,510,510,201,309,78,11,96,11,7402,0,55,55,55,55,55,55,55,55,55,0,20
