problem,run,seed,target_FE,actual_FE,generation,query_mode,train_count,raw_generated_count,feasible_rate,gap_ratio50,gap_ratio90,near_boundary_rate_gap1,better_than_random_gap_rate,sample_feasible_count,sample_infeasible_count
LIRCMOP5_BC,1,1,10000,10020,47,random_all_w,59,30,1,12.4907111288002,19.8093170937869,0,1,358,42
LIRCMOP5_BC,1,1,30000,30030,134,random_all_w,53,30,0.166666666666667,2.07032759386724,6.94133401048233,0.366666666666667,1,324,76
LIRCMOP5_BC,1,1,50000,50040,221,random_all_w,42,30,0.8,20.11658168869,63.0235484869716,0.0666666666666667,1,319,81
LIRCMOP5_BC,1,1,70000,70050,308,random_all_w,70,30,0.3,6.59503919798521,25.7881001975214,0.166666666666667,1,211,189
LIRCMOP5_BC,1,1,100000,100180,439,random_all_w,47,30,0.2,5.88337601804846,19.0619921420241,0.0666666666666667,1,222,178
LIRCMOP6_BC,1,1,10000,10180,49,random_all_w,40,30,1,62.0840112866422,89.573479385184,0,0.866666666666667,388,12
LIRCMOP6_BC,1,1,30000,30190,136,random_all_w,63,30,0.566666666666667,2.88109038318107,7.2037009883174,0.2,1,308,92
LIRCMOP6_BC,1,1,50000,50200,223,random_all_w,78,30,0.366666666666667,0.994795230379903,8.78944959541284,0.5,1,220,180
LIRCMOP6_BC,1,1,70000,70210,310,random_all_w,50,30,0.2,2.33802182394235,4.77802614312336,0.0666666666666667,1,262,138
LIRCMOP6_BC,1,1,100000,100110,443,random_all_w,7,0,NaN,NaN,NaN,NaN,NaN,282,118
LIRCMOP7_BC,1,1,10000,10150,46,random_all_w,39,30,0.866666666666667,3.59142811609772,6.95256871917853,0.0666666666666667,1,327,73
LIRCMOP7_BC,1,1,30000,30160,133,random_all_w,54,30,0.0666666666666667,3.2880292016349,11.4601654678557,0.0666666666666667,1,278,122
LIRCMOP7_BC,1,1,50000,50170,220,random_all_w,92,30,0.666666666666667,15.0745565921499,40.0608571015884,0,1,213,187
LIRCMOP7_BC,1,1,70000,70180,307,random_all_w,82,30,0.133333333333333,3.33658729674845,7.17896479000702,0.166666666666667,1,146,254
LIRCMOP7_BC,1,1,100000,100080,437,random_all_w,90,30,0.233333333333333,3.3355213123221,16.7215505300747,0.133333333333333,1,127,273
LIRCMOP8_BC,1,1,10000,10080,47,random_all_w,59,30,0.933333333333333,5.87588179872938,27.6272153423956,0.133333333333333,0.966666666666667,356,44
LIRCMOP8_BC,1,1,30000,30090,134,random_all_w,57,30,0.333333333333333,2.72130719814029,48.4386327559281,0.2,0.866666666666667,302,98
LIRCMOP8_BC,1,1,50000,50100,221,random_all_w,59,30,0.0666666666666667,2.30583140633119,9.6608455852938,0.2,1,244,156
LIRCMOP8_BC,1,1,70000,70110,308,random_all_w,65,30,0.433333333333333,5.00570682625764,17.9454498992052,0.166666666666667,1,239,161
LIRCMOP8_BC,1,1,100000,100010,438,random_all_w,90,30,0.133333333333333,1.29769033950012,8.91450649620893,0.4,1,174,226
LIRCMOP9_BC,1,1,10000,10010,45,random_all_w,53,30,1,18.7920764541384,54.7985534532928,0,0.966666666666667,209,191
LIRCMOP9_BC,1,1,30000,30040,133,random_all_w,53,30,0.266666666666667,59.0203033064784,910.692112552447,0.0333333333333333,0.866666666666667,294,106
LIRCMOP9_BC,1,1,50000,50020,220,random_all_w,51,30,0.433333333333333,4.8789666517259,44.5260188254338,0.333333333333333,1,261,139
LIRCMOP9_BC,1,1,70000,70000,307,random_all_w,41,30,0.5,8.51571242679737,22.48553932929,0.366666666666667,1,222,178
LIRCMOP9_BC,1,1,100000,100130,438,random_all_w,51,30,0.8,221.069457965932,612.730252307066,0.2,0.866666666666667,188,212
LIRCMOP10_BC,1,1,10000,10030,46,random_all_w,31,30,0.666666666666667,9.20117409899977,17.1951373141237,0,1,325,75
LIRCMOP10_BC,1,1,30000,30010,133,random_all_w,53,30,0.666666666666667,25.6065074526901,245.367265922576,0.166666666666667,0.966666666666667,294,106
LIRCMOP10_BC,1,1,50000,50020,220,random_all_w,69,30,0.4,2.28791279515165,13.4986183933643,0.333333333333333,1,253,147
LIRCMOP10_BC,1,1,70000,70030,307,random_all_w,70,30,0.433333333333333,5.07368370103334,326.079381886104,0.2,0.8,242,158
LIRCMOP10_BC,1,1,100000,100160,438,random_all_w,88,30,0.466666666666667,4.21170643046867,16.9167274699883,0.0333333333333333,1,236,164
