problem,epoch,run,poolFE,useFE,wallClockSeconds,trainingPairs,batchesPerEpoch,updates,pairVisits,candidateValidCount,candidateValidRate,guidedCount,guidedSelectionRate,fallbackCount,rawFeasibleRate,rawInfeasibleRate,rawBoundaryMarginMedian,rawCVMedian,rawDecisionUniqueRate,guidedFeasibleRate,guidedBoundaryMarginMedian,guidedCVMedian,guidedDominatingRate,guidedUsefulRate,guidedUsefulPerQuota,qualityScore
LIRCMOP7_BC,400,2,2800,2900,50.0394255416667,37,2,800,14800,485,0.97,20,1,0,0.976,0.024,2.07984538553241,0,1,0.85,0.70795901404209,0,0.15,0.05,0.05,0.750676386282683
LIRCMOP7_BC,400,3,2600,2700,26.9413706666667,32,1,400,12800,500,1,20,1,0,1,0,13.4226478038184,0,1,1,1.40263439983809,0,0,0,0,0.713946095925329
LIRCMOP7_BC,400,4,2600,2700,49.531532125,34,2,800,13600,500,1,20,1,0,0.832,0.168,1.34301495845379,0,1,0.8,0.580645232287967,0,0.35,0.2,0.2,0.79542566289466
LIRCMOP7_BC,400,5,2600,2700,57.22204975,40,2,800,16000,500,1,20,1,0,0.664,0.336,0.233427884460199,0,1,0.4,0.072330679306202,0.0216155346023931,0.15,0,0,0.7772
LIRCMOP7_BC,700,1,2800,2900,83.794507125,40,2,1400,28000,500,1,20,1,0,0.69,0.31,0.307988576430315,0,1,0.5,0.0844865393744932,0.0176446563166283,0.35,0.05,0.05,0.784270853116503
LIRCMOP7_BC,700,2,2800,2900,82.7435980416667,37,2,1400,25900,474,0.948,20,1,0,0.89,0.11,2.1780322365928,0,1,0.75,0.537988266817122,0,0,0,0,0.774449650069843
LIRCMOP7_BC,700,3,2600,2700,44.0906110416667,32,1,700,22400,500,1,20,1,0,0.84,0.16,0.828935530789775,0,1,0.5,0.0844356230711519,0.00547359256749539,0.2,0,0,0.757
LIRCMOP7_BC,700,4,2600,2700,83.2980682083333,34,2,1400,23800,500,1,20,1,0,0.894,0.106,0.745914676847823,0,1,0.7,0.570887142484847,0,0.2,0.05,0.05,0.7762
LIRCMOP7_BC,700,5,2600,2700,90.1855246666667,40,2,1400,28000,500,1,20,1,0,0.764,0.236,0.35422941158111,0,1,0.6,0.0871530372233495,0,0.2,0.05,0.05,0.780442251263372
LIRCMOP7_BC,1000,1,2800,2900,151.273023958333,40,2,2000,40000,496,0.992,20,1,0,0.846,0.154,0.523421983744227,0,1,0.55,0.0956165207734154,0,0.1,0.05,0.05,0.756289210912008
