problem,run,target_FE,actual_FE,generation,figure_file
LIRCMOP5_BC,1,10000,10220,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE010000_region_boundary.png
LIRCMOP5_BC,1,30000,30000,134,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE030000_region_boundary.png
LIRCMOP5_BC,1,50000,50210,222,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE050000_region_boundary.png
LIRCMOP5_BC,1,70000,70220,309,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE070000_region_boundary.png
LIRCMOP5_BC,1,100000,100150,451,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE100000_region_boundary.png
LIRCMOP6_BC,1,10000,10180,49,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE010000_region_boundary.png
LIRCMOP6_BC,1,30000,30160,136,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE030000_region_boundary.png
LIRCMOP6_BC,1,50000,50170,223,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE050000_region_boundary.png
LIRCMOP6_BC,1,70000,70140,317,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE070000_region_boundary.png
LIRCMOP6_BC,1,100000,100010,456,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE100000_region_boundary.png
LIRCMOP7_BC,1,10000,10090,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE010000_region_boundary.png
LIRCMOP7_BC,1,30000,30100,133,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE030000_region_boundary.png
LIRCMOP7_BC,1,50000,50080,220,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE050000_region_boundary.png
LIRCMOP7_BC,1,70000,70090,307,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE070000_region_boundary.png
LIRCMOP7_BC,1,100000,100220,438,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/mainline_prev_anchor_repair_figs_runs1_10w_20260627_102818/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE100000_region_boundary.png
