file,gen,chain,node_count,ref_count,ref_min,ref_max,frontier_count,finite_gap_count,gap_min,gap_median,gap_max
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/DASCMOP4_BC_run1/captured_dataset.mat,139,1,2,2,3,4,0,2,0.000530049608524336,0.00104303626885063,0.00155602292917691
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/DASCMOP4_BC_run1/captured_dataset.mat,139,2,4,4,11,14,0,4,0.00194599978066717,0.00214987182268908,0.00243430879210064
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/DASCMOP4_BC_run1/captured_dataset.mat,139,3,7,7,54,60,0,7,0.000246057481200978,0.00109035536116444,0.00769534403505338
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/DASCMOP4_BC_run1/captured_dataset.mat,139,4,2,2,62,63,0,2,0.0223784904294648,0.0316841478732783,0.0409898053170919
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/DASCMOP4_BC_run1/captured_dataset.mat,139,5,7,7,65,71,0,7,0.000113888048267487,0.000946100972249289,0.00797159900256149
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/DASCMOP4_BC_run1/captured_dataset.mat,139,6,8,8,78,85,0,8,0.00441916115337431,0.00632155932634323,0.00717653472235001
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP7_BC_run1/captured_dataset.mat,136,1,4,4,2,5,0,4,0.00949104753809494,0.0346339842843922,0.0641988829715492
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP7_BC_run1/captured_dataset.mat,136,2,2,2,18,19,0,2,0.00559963289387482,0.0061881661704438,0.00677669944701278
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP7_BC_run1/captured_dataset.mat,136,3,3,3,33,35,1,2,0.00389477559969387,0.0040924662642657,0.00429015692883752
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP7_BC_run1/captured_dataset.mat,136,4,5,5,38,42,0,5,0.00777234624099414,0.0211589838792299,0.031176747909132
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP7_BC_run1/captured_dataset.mat,136,5,2,2,45,46,0,2,0.00389750593152643,0.00396086936773202,0.0040242328039376
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP7_BC_run1/captured_dataset.mat,136,6,3,3,52,54,0,3,0.0188901537255467,0.0223604500740098,0.0527621357824414
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP7_BC_run1/captured_dataset.mat,136,7,2,2,73,74,0,2,0.00121899711079983,0.0034831106609831,0.00574722421116636
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP7_BC_run1/captured_dataset.mat,136,8,5,5,76,80,0,5,0.00286736232260597,0.00582006467944091,0.0189109512497311
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP7_BC_run1/captured_dataset.mat,136,9,5,5,82,86,0,5,0.0537726350322737,0.0784815597694969,0.150279866189946
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP7_BC_run1/captured_dataset.mat,136,10,8,8,93,100,7,1,0.0054526916880258,0.0054526916880258,0.0054526916880258
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP8_BC_run1/captured_dataset.mat,136,1,21,21,1,21,17,4,0.000768661047077784,0.00475851209356489,0.0134452249003587
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP8_BC_run1/captured_dataset.mat,136,2,3,3,23,25,1,2,0.00380477145728658,0.00441165792070836,0.00501854438413013
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP8_BC_run1/captured_dataset.mat,136,3,4,4,27,30,2,2,0.0778550761593429,0.0885725733534176,0.0992900705474923
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP8_BC_run1/captured_dataset.mat,136,4,2,2,43,44,0,2,0.0157295096789697,0.016199424250358,0.0166693388217463
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP8_BC_run1/captured_dataset.mat,136,5,4,4,46,49,0,4,0.00924428885818075,0.0186622585587781,0.0272823415483966
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP8_BC_run1/captured_dataset.mat,136,6,3,3,51,53,1,2,0.0508739781879183,0.0567807619497688,0.0626875457116193
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP8_BC_run1/captured_dataset.mat,136,7,2,2,67,68,1,1,0.0152496730411498,0.0152496730411498,0.0152496730411498
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP8_BC_run1/captured_dataset.mat,136,8,5,5,81,85,0,5,0.0166988829468201,0.0241668827686131,0.0497243284716876
/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/fix1_cgan_failure_diag_20260621_232019/LIRCMOP8_BC_run1/captured_dataset.mat,136,9,10,10,89,98,0,10,0.00256045828785087,0.0253258115054082,0.0889435822459129
