taskIndex,stageName,factorName,armName,armValue,problem,run,seed,initialEpoch,retrainEpoch,nCritic,resultStage,reused,outputFile,sourceStageName,sourceArmName,sourceArmValue,trajectoryPoints,firstFE,lastFE,igdPenalty,nonfiniteIGDCount,gAUC,rawIGD100K,IGD100K,feasibleCount100K,snapshotCount,auditPresent,wallClockSeconds,trainingEventCount,retrainEventCount,medianPostAllRelationRMSE,medianPostChangedRelationRMSE,medianPostCriticGap,medianPostGeneratedNearest,medianPostGeneratedSpread,blockIndex,blockCombinedScore,gAUCRatioToBest,IGD100KRatioToBest
1,epoch,retrainEpoch,retrainEpoch=5,5,LIRCMOP5_BC,1,1,500,5,4,epoch,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/epoch/results/LIRCMOP5_BC_retrainEpoch05_run01.mat,epoch,retrainEpoch,5,500,200,100000,249.901721368189,0,0.197634436338693,0.0178669278969,0.0178669278969,100,10,1,1163.32947616667,406,405,0.0234670392090907,0.0324252031308648,0.255762666463852,0.236165178648755,0.080538365289131,1,1.01904187494117,0.784508693565268,0.969935973034481
2,epoch,retrainEpoch,retrainEpoch=10,10,LIRCMOP5_BC,1,1,500,10,4,ratio,1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/ratio/results/LIRCMOP5_BC_nCritic04_run01.mat,ratio,nCritic,4,500,200,100000,249.901721368189,0,0.190317427273026,0.0258573395522491,0.0258573395522491,100,10,1,2027.73857375,397,396,0.0256778479595428,0.0289068987602054,0.167473077774048,0.262146100748157,0.130410542051091,1,1.20300373820358,0.755463870561474,1.40370879333123
3,epoch,retrainEpoch,retrainEpoch=20,20,LIRCMOP5_BC,1,1,500,20,4,epoch,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/epoch/results/LIRCMOP5_BC_retrainEpoch20_run01.mat,epoch,retrainEpoch,20,500,200,100000,249.901721368189,0,0.251921282657209,0.0184207291961785,0.0184207291961785,100,10,1,3293.158155875,349,348,0.0179518277146065,0.0228694381579932,0.0625600814819336,0.215641959823825,0.0970444234236478,1,1.16821187592302,1,1
4,epoch,retrainEpoch,retrainEpoch=5,5,LIRCMOP5_BC,2,2,500,5,4,epoch,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/epoch/results/LIRCMOP5_BC_retrainEpoch05_run02.mat,epoch,retrainEpoch,5,500,200,100000,249.901721368189,0,0.148412870873891,0.0223616807261513,0.0223616807261513,100,10,1,1070.688844375,399,398,0.023339251860362,0.0269510676741192,0.189956665039062,0.186347654057842,0.12510478999451,2,1,0.728859216397858,0.469661059204673
5,epoch,retrainEpoch,retrainEpoch=10,10,LIRCMOP5_BC,2,2,500,10,4,ratio,1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/ratio/results/LIRCMOP5_BC_nCritic04_run02.mat,ratio,nCritic,4,500,200,100000,249.901721368189,0,0.173898436410073,0.0343101235351332,0.0343101235351332,100,10,1,2369.27435583333,449,448,0.0194836687370991,0.0257664134363533,0.103601932525635,0.121676408160811,0.107227558454818,2,1.34082153067183,0.854019448234771,0.720613497629847
6,epoch,retrainEpoch,retrainEpoch=20,20,LIRCMOP5_BC,2,2,500,20,4,epoch,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/epoch/results/LIRCMOP5_BC_retrainEpoch20_run02.mat,epoch,retrainEpoch,20,500,200,100000,249.901721368189,0,0.203623508538962,0.0476123797958015,0.0476123797958015,100,10,1,4174.76782191667,422,421,0.0211046864260058,0.027409659584749,0.0969884991645813,0.103396811221539,0.10304443462017,2,1.70917250765727,1,1
7,epoch,retrainEpoch,retrainEpoch=5,5,LIRCMOP5_BC,3,3,500,5,4,epoch,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/epoch/results/LIRCMOP5_BC_retrainEpoch05_run03.mat,epoch,retrainEpoch,5,500,200,100000,249.901721368189,0,0.187454550242236,0.0177474991660348,0.0177474991660348,100,10,1,1064.55570508333,368,367,0.0239623803322235,0.0278750336212872,0.132360696792603,0.261693796687095,0.116110399289636,3,1,0.59982809629055,0.879122797616461
8,epoch,retrainEpoch,retrainEpoch=10,10,LIRCMOP5_BC,3,3,500,10,4,ratio,1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/ratio/results/LIRCMOP5_BC_nCritic04_run03.mat,ratio,nCritic,4,500,200,100000,249.901721368189,0,0.496714286369068,0.0223829023907481,0.0223829023907481,100,10,1,1802.12503691667,365,364,0.0302979070135469,0.0369652879845061,0.0897864103317261,0.23353314558472,0.0826543044768462,3,1.82807896054703,1.5894155911823,1.1087376077295
9,epoch,retrainEpoch,retrainEpoch=20,20,LIRCMOP5_BC,3,3,500,20,4,epoch,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/epoch/results/LIRCMOP5_BC_retrainEpoch20_run03.mat,epoch,retrainEpoch,20,500,200,100000,249.901721368189,0,0.312513787535947,0.0201877362458954,0.0201877362458954,100,10,1,3080.78249433333,333,332,0.0202430227072049,0.0227299881624173,0.0662791728973389,0.243081981042383,0.0943276621381158,3,1.37708842074043,1,1
10,epoch,retrainEpoch,retrainEpoch=5,5,LIRCMOP5_BC,4,4,500,5,4,epoch,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_PairGuide_training_schedule_v1_20260901/epoch/results/LIRCMOP5_BC_retrainEpoch05_run04.mat,epoch,retrainEpoch,5,500,200,100000,249.901721368189,0,0.349083868586675,0.0215833853186714,0.0215833853186714,100,10,1,1028.16213541667,383,382,0.0307310359802944,0.0370653909815783,0.164486706256866,0.31026252383569,0.101878292108967,4,1.31592365434831,1.28184393822295,1.2759663584724
