stageName,factorName,armName,armValue,problem,runCount,igdPenalty,gAUCMedian,IGD100KMedian,blockCombinedScoreMedian,gAUCRatioToBestMedian,IGD100KRatioToBestMedian,withinTenPercent
epoch,retrainEpoch,retrainEpoch=5,5,LIRCMOP5_BC,5,249.901721368189,0.197634436338693,0.0206541505265221,1.01904187494117,0.770641488374493,0.879122797616461,1
epoch,retrainEpoch,retrainEpoch=5,5,LIRCMOP7_BC,5,243.105400775853,0.0428083391892999,0.00835017484152549,1.03325914649321,0.987882588805834,1.02847783628495,1
epoch,retrainEpoch,retrainEpoch=5,5,LIRCMOP8_BC,5,246.086270387969,0.0531617945773293,0.00823161611542942,1.12170658470603,1.24256155018588,0.989200662447308,0
epoch,retrainEpoch,retrainEpoch=5,5,LIRCMOP10_BC,5,166.725621323944,0.213940447184115,0.0204952818279406,1.19203298160091,1.25832960146344,1.12385250304004,0
epoch,retrainEpoch,retrainEpoch=5,5,LIRCMOP12_BC,5,250.806446748351,0.16654738534327,0.0333479654830816,1.10145186261163,0.890839376411355,0.697154617745101,1
epoch,retrainEpoch,retrainEpoch=5,5,LIRCMOP14_BC,5,148.060494884345,0.143633495892232,0.0986253116501014,1.0133429905847,1.01969146338747,0.995146217369345,1
epoch,retrainEpoch,retrainEpoch=10,10,LIRCMOP5_BC,5,249.901721368189,0.270586420448791,0.0223829023907481,1.20300373820358,0.854019448234771,0.944523985127172,1
epoch,retrainEpoch,retrainEpoch=10,10,LIRCMOP7_BC,5,243.105400775853,0.0391811436028528,0.00835296632342775,1.09786835434055,1.07921917507071,1.0532289011459,1
epoch,retrainEpoch,retrainEpoch=10,10,LIRCMOP8_BC,5,246.086270387969,0.0445229916763589,0.00804606620506524,1.05148993755154,1.08038224232638,0.980577286101733,1
epoch,retrainEpoch,retrainEpoch=10,10,LIRCMOP10_BC,5,166.725621323944,0.20937032032992,0.0200617315649322,1.36838505216421,1.38253654854553,1.18354156827758,0
epoch,retrainEpoch,retrainEpoch=10,10,LIRCMOP12_BC,5,250.806446748351,0.17873670687615,0.0792323002899237,1.45593700331121,0.994307094315041,1.14175029769278,0
epoch,retrainEpoch,retrainEpoch=10,10,LIRCMOP14_BC,5,148.060494884345,0.141810697151587,0.0985922973429781,1.0013705146159,1.00274290754212,0.988195210176111,1
epoch,retrainEpoch,retrainEpoch=20,20,LIRCMOP5_BC,5,249.901721368189,0.272329460847331,0.0201877362458954,1.37708842074043,1,1,1
epoch,retrainEpoch,retrainEpoch=20,20,LIRCMOP7_BC,5,243.105400775853,0.0419049078877233,0.00811896430523759,1.06413802661934,1,1,1
epoch,retrainEpoch,retrainEpoch=20,20,LIRCMOP8_BC,5,246.086270387969,0.0444928776257471,0.00820543808132883,1.0328042424696,1,1,1
epoch,retrainEpoch,retrainEpoch=20,20,LIRCMOP10_BC,5,166.725621323944,0.154878173344426,0.0180171834998713,1,1,1,1
epoch,retrainEpoch,retrainEpoch=20,20,LIRCMOP12_BC,5,250.806446748351,0.152749076442304,0.0478343894370854,1.19766524185718,1,1,1
epoch,retrainEpoch,retrainEpoch=20,20,LIRCMOP14_BC,5,148.060494884345,0.140499104670152,0.0996242778244237,1.01653701867826,1,1,1
