problem,run,poolFE,useFE,decisionThicknessRatio,objectiveThicknessRatio,decisionWithinRatioDelta,objectiveWithinRatioDelta,rawBoundaryMarginRatio,rawInfeasibleRateDelta,candidateValidRateDelta,referenceMatchRateDelta,uniqueRateDelta,assignedCoverageDelta,entropyDelta,guidedCountDelta,guidedFeasibleRateDelta,guidedBoundaryMarginRatio,guidedUsefulPerQuotaDelta,pairedRawDecisionRMS,pairedRawObjectiveRMS
LIRCMOP5_BC,1,3400,3500,0.552800854463344,0.440590009645908,-0.0567849907156273,-0.15093903345792,0.535210867177813,0.106,0,0,0,-0.12,-0.0406654661747318,0,-0.25,0.599534220613179,0,0.208124968685064,0.142221953572833
LIRCMOP5_BC,2,4400,4500,0.695865511459323,0.424127442451685,-0.210875058828162,-0.208165513557787,0.487726508111686,0.042,0,-0.006,0,0.02,0.055265375785028,0,-0.0499999999999999,4.28110850065345,0,0.338756932413503,0.241457337255095
LIRCMOP7_BC,1,2800,2900,0.594914232652098,0.590868050200134,-0.0363467694521752,-0.0875219838327314,0.605858213126755,0.014,0.012,-0.02,0,-0.1,-0.0234920479286623,0,-0.15,1.02100330344003,0,0.285886747995744,0.246693111233123
LIRCMOP7_BC,2,2800,2900,0.581812998774632,0.472310540770401,-0.0496999831937011,-0.0372708017253888,0.18729883442888,0.13,0.022,-0.02,0,0,0.010892751140082,0,-0.05,0.629249589521375,0.05,0.287893738025789,0.0832269065527484
LIRCMOP8_BC,1,3000,3100,0.599389311624739,1.0346679197935,-0.031953402536514,-0.00124760580526084,2.15523447822183,-0.176,0.002,-0.008,0,-0.14,-0.153090838923187,0,0,1.40940033875212,0.1,0.308081200521954,0.269168306960768
LIRCMOP8_BC,2,3400,3500,0.606477220639785,0.618970557495394,-0.0209226368070961,-0.00793798847879523,0.578350225169007,0.032,0,0.008,0,-0.04,-0.0408861277741318,0,-0.35,0.500873564740605,0,0.277984291300494,0.150236897766708
LIRCMOP10_BC,1,4000,4100,0.71358525198822,0.776048266542143,-0.119668783376745,-0.0283734257293701,1.74087620545025,-0.072,0.00600000000000001,-0.00199999999999999,0,-0.18,-0.140036556256583,0,0,0.434325704476297,0.05,0.542891898421504,2.04344886541407
LIRCMOP10_BC,2,5000,5100,0.677925960251363,0.697464853101548,-0.0795554367413661,-0.081225556534444,1.22274243779447,0,-0.0219999999999999,-0.002,0,-0.14,-0.116809231406852,0,0.05,0.502746696579831,0,0.477302617641709,1.51658002210664
LIRCMOP12_BC,1,6000,6100,0.632655761730322,0.603759635244011,-0.121130759927498,-0.0775083431664472,1.07621782691935,0,-0.058,-0.008,0,-0.36,-0.166337365959907,0,0.05,1.69806477794338,0,0.428512283340267,1.83938037213049
LIRCMOP12_BC,2,8000,8100,0.631248201576545,0.605094218652466,-0.146027264143667,-0.188266472623618,1.04718603760663,0,0.064,0.022,0,-0.5,-0.16659156686864,0,0.2,2.03836624812987,0,0.509807635055306,1.53321380817121
LIRCMOP14_BC,1,3200,3300,0.535947532852968,0.396855725564951,-0.142283735830065,-0.170593385774488,0.223167521449696,0.434,0,-0.03,0,-0.155555555555556,-0.147417297034417,0,-0.55,0.790465655267295,0.05,0.219311127231998,0.281917331661049
LIRCMOP14_BC,2,3600,3700,0.516780268964608,0.332442919316813,-0.19347728196868,-0.228200542049201,0.114270585180133,0.426,0.00600000000000001,0.008,0,-0.177777777777778,-0.151035534988004,0,-0.35,0.142970428450239,0,0.253620261893991,0.453873150656468
