variant,archiveParetoFilterMode,archivePairDirectionMode,generatorMode,conditionSamplingMode,problem,target_FE,GroupCount,mean_has_GAN,mean_AF_size,mean_AI_size,mean_BoundaryHit_all,mean_ObjInterfaceScore,mean_RefCov,mean_DuplicateRate,mean_GAN_to_AF_Dist90,mean_AF_Cover_epsilon,mean_AF_CoverEpsilon,mean_RawGANFeasibleRate,mean_InjectedCount,mean_GAN_to_AF_ObjNN_mean,mean_GAN_to_AF_ObjNN_median,mean_GAN_to_AF_ObjNN_p90,mean_GAN_to_AF_DecNN_mean,mean_GAN_to_AF_DecNN_median,mean_GAN_to_AF_DecNN_p90,mean_RawGANVarClipRate
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP1_BC,10000,1,1,111,111,0.13,0.264873197643438,0.25,0,7.98821711947265,0.189189189189189,0.05,0.36,NaN,3.23585069954327,1.94948853888076,7.98821711947265,0.134022234343354,0.130600635073033,0.163800066525043,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP1_BC,30000,1,1,118,118,0.785,0.0177847959333699,0.6,0,0.233155463385573,0.584745762711864,0.05,0.1,NaN,0.177644600242271,0.128825836659808,0.233155463385573,0.0858284536039476,0.0640670267257303,0.145296604210507,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP1_BC,50000,1,1,183,183,0.655,0.0707544063961695,0.55,0,0.190157582052554,0.885245901639344,0.05,0.325,NaN,0.0923777720491564,0.0744826592611094,0.190157582052554,0.0459886941461249,0.0464435784202848,0.0569919127191684,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP1_BC,70000,1,1,217,217,0.53,0.0149024062002799,0.56,0,0.207800000354014,0.944700460829493,0.05,0.18,NaN,0.110203298872379,0.0956966160394727,0.207800000354014,0.0447227929407476,0.043842299755089,0.0607520619466964,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP1_BC,100000,1,1,230,230,0.52,0.0380849210197523,0.61,0,0.193221887394474,0.991304347826087,0.05,0.385,NaN,0.0897820625671714,0.0716580504698135,0.193221887394474,0.0374052693139951,0.0362744911036393,0.0467905582295423,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP2_BC,10000,1,1,114,114,0.42,0.109482635306708,0.45,0,1.37659583057861,0.649122807017544,0.05,0.32,NaN,0.600903438045702,0.400182191122755,1.37659583057861,0.0964047500825489,0.0949813481466236,0.112670290353305,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP2_BC,30000,1,1,308,308,0.8,0.0661785846927498,0.81,0,0.277724971440545,0.892857142857143,0.05,0.265,NaN,0.139823435324911,0.123844098065422,0.277724971440545,0.0689667041276829,0.0685280845895983,0.0905179924845978,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP2_BC,50000,1,1,363,363,0.775,0.122280066812131,0.77,0,0.35918218301868,0.873278236914601,0.05,0.445,NaN,0.16036025528288,0.111825409370687,0.35918218301868,0.0519184357140882,0.0529267550338663,0.0692348343579706,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP2_BC,70000,1,1,385,385,0.515,0.0816901312150908,0.68,0,0.358074586628671,0.851948051948052,0.05,0.47,NaN,0.168627980990335,0.119964703057851,0.358074586628671,0.0453476109416073,0.0459668719292463,0.0590291038590798,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP2_BC,100000,1,1,383,383,0.55,0.0383168049879165,0.73,0,0.241967219261071,0.947780678851175,0.05,0.37,NaN,0.10499663650069,0.0785323659715612,0.241967219261071,0.0361664490365874,0.0347251639412533,0.0539445421314745,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP4_BC,10000,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP4_BC,30000,1,1,4,4,1,0,0.04,0,595.128176990899,0,0.05,0,NaN,508.533093858415,511.036331197125,595.128176990899,0.0815925314345335,0.0806910465873883,0.096481146970233,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP4_BC,50000,1,1,66,66,0,0,0.19,0,14.527489801168,0,0.05,0,NaN,13.197355197138,12.5000634139468,14.527489801168,0.0144167530344509,0.0139070211923987,0.0157182728585838,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP4_BC,70000,1,1,107,107,0,0,0.19,0,15.2370181532485,0,0.05,0,NaN,8.55924466156911,6.45992925110082,15.2370181532485,0.0116581546671554,0.0105087606031424,0.0162549819980834,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP4_BC,100000,1,1,110,110,0,0.000197980337600265,0.42,0,10.2786703077027,0,0.05,0.185,NaN,4.12338598261591,2.20708739382048,10.2786703077027,0.00709224772572421,0.00630389855239728,0.0129668690488201,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP5_BC,10000,1,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP5_BC,30000,1,1,93,93,0,0,0.11,0,34.881341050801,0,0.05,0,NaN,22.688400999235,20.5202299993786,34.881341050801,0.0248809105920828,0.0237289117671939,0.0333819095830081,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP5_BC,50000,1,1,77,77,0,0,0.4,0,12.7620112282877,0,0.05,0,NaN,6.98128788698161,5.32834001829698,12.7620112282877,0.0119279004238387,0.0090715901036799,0.0228614472556464,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP5_BC,70000,1,1,89,89,0,0,0.35,0,17.7773405479439,0,0.05,0,NaN,12.6741493947251,10.4657613692,17.7773405479439,0.017705247278155,0.0169141766158308,0.0260966172935732,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP5_BC,100000,1,1,193,193,0,0.00355778363276715,0.5,0,6.26341620464187,0,0.05,0.05,NaN,3.02216972300595,2.16083336366328,6.26341620464187,0.00643380031717316,0.00549571102821652,0.0101991646388493,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP10_BC,10000,1,1,65,65,1,0,0.69,0,0.265599331199987,0,0.05,0,NaN,0.212800486166045,0.218443198472399,0.265599331199987,0.0238235050267129,0.0239107222082135,0.0255628950957361,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP10_BC,30000,1,1,94,94,0.995,0.264764498412925,0.46,0,0.0228980487249258,0.936170212765957,0.05,0.805,NaN,0.00812693764208149,0.00286792849626322,0.0228980487249258,0.0123015239318677,0.00916481597414363,0.0264923646503342,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP10_BC,50000,1,1,148,148,1,0.355080823887376,0.33,0,0.0170194486793616,0.986486486486487,0.05,0.785,NaN,0.015233463874831,0.00313233462507215,0.0170194486793616,0.012782121788609,0.0107331489536185,0.0169917632297261,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP10_BC,70000,1,1,173,173,1,0.333268787792748,0.45,0,0.0286382916374231,0.994219653179191,0.05,0.78,NaN,0.0150567075917031,0.00706231196533794,0.0286382916374231,0.0132326925541024,0.0116831702564384,0.017986799889766,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP10_BC,100000,1,1,224,224,1,0.19596119609434,0.53,0,0.0291821084347531,1,0.05,0.825,NaN,0.0136590098229398,0.00865636974228505,0.0291821084347531,0.0129628937060649,0.0120519465232072,0.0193625156623788,0
