problem,run,target_FE,actual_FE,generation,figure_file
LIRCMOP10_BC,1,10000,10040,49,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP10_BC_run1_FE010000_domain_boundary.png
LIRCMOP10_BC,1,30000,30178,140,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP10_BC_run1_FE030000_domain_boundary.png
LIRCMOP10_BC,1,50000,50092,227,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP10_BC_run1_FE050000_domain_boundary.png
LIRCMOP10_BC,1,70000,70098,314,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP10_BC_run1_FE070000_domain_boundary.png
LIRCMOP10_BC,1,100000,100228,445,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP10_BC_run1_FE100000_domain_boundary.png
LIRCMOP5_BC,1,10000,10208,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP5_BC_run1_FE010000_domain_boundary.png
LIRCMOP5_BC,1,30000,30088,136,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP5_BC_run1_FE030000_domain_boundary.png
LIRCMOP5_BC,1,50000,50026,224,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP5_BC_run1_FE050000_domain_boundary.png
LIRCMOP5_BC,1,70000,70064,312,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP5_BC_run1_FE070000_domain_boundary.png
LIRCMOP5_BC,1,100000,100024,454,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP5_BC_run1_FE100000_domain_boundary.png
LIRCMOP6_BC,1,10000,10158,49,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP6_BC_run1_FE010000_domain_boundary.png
LIRCMOP6_BC,1,30000,30114,136,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP6_BC_run1_FE030000_domain_boundary.png
LIRCMOP6_BC,1,50000,50144,224,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP6_BC_run1_FE050000_domain_boundary.png
LIRCMOP6_BC,1,70000,70102,312,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP6_BC_run1_FE070000_domain_boundary.png
LIRCMOP6_BC,1,100000,100032,446,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP6_BC_run1_FE100000_domain_boundary.png
LIRCMOP7_BC,1,10000,10080,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP7_BC_run1_FE010000_domain_boundary.png
LIRCMOP7_BC,1,30000,30084,133,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP7_BC_run1_FE030000_domain_boundary.png
LIRCMOP7_BC,1,50000,50088,220,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP7_BC_run1_FE050000_domain_boundary.png
LIRCMOP7_BC,1,70000,70208,309,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP7_BC_run1_FE070000_domain_boundary.png
LIRCMOP7_BC,1,100000,100108,439,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/query_boundary_iter75_figs_runs1_20260628_101718/domain_figures_all_fixed/LIRCMOP7_BC_run1_FE100000_domain_boundary.png
