problem,mode,runs,IGDAUCMean,IGDAUCStd,finalIGDMean,finalIGDStd,finalHVMean,finalHVStd,quotaOccupancyMean,quotaOccupancyStd,postModelQuotaOccupancyMean,postModelQuotaOccupancyStd,nativeBandRateMean,nativeBandRateStd,projectionMedianMean,projectionMedianStd,uniqueGuidedUpdateRateMean,uniqueGuidedUpdateRateStd,trainingSecondsMean,trainingSecondsStd,wallSecondsMean,wallSecondsStd
LIRCMOP5_BC,fallback_only,3,0.677497497828621,0.093515290989869,0.0204887345927699,0.0121210534821173,0.284512115439217,0.00524632925904612,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,66.2161408194444,26.9747005340621
LIRCMOP5_BC,pair_only,3,0.656033469362302,0.190017108578129,0.0140855091752759,0.00122599614179894,0.287205736566429,0.00102371017520354,0.613326653306613,0.0345091111373642,NaN,NaN,1,0,NaN,NaN,0.876577526967298,0.0616691570590745,0,0,106.360346208333,42.9400028449865
LIRCMOP5_BC,cgan,3,0.695741949024448,0.193995056940463,0.0150735313461303,0.00187928096242847,0.286942187215333,0.000701585222338865,0.952571810287241,0.00231402913502856,1,0,NaN,NaN,NaN,NaN,0.0851809500171377,0.0452517580234384,619.463146888889,196.808720962337,735.022610666667,218.284948510508
LIRCMOP6_BC,fallback_only,3,0.611031975888541,0.116186165386948,0.0119015327243071,0.00170104725958581,0.193698926225397,0.00095492451813125,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,66.5802465416667,20.2336352941348
LIRCMOP6_BC,pair_only,3,0.694364400238729,0.167567552450223,0.0142661149266976,0.00477787871332438,0.193226640064812,0.00135233493449368,0.444288577154309,0.203145656014595,NaN,NaN,1,0,NaN,NaN,0.919846110820917,0.0305793314163463,0,0,99.0845455,32.7118289338471
LIRCMOP6_BC,cgan,3,0.651093442192936,0.12388641934876,0.0137410011904326,0.000814555451773615,0.19309082142043,0.000380439214132545,0.682698730794923,0.0791857929872408,0.722469175957548,0.0799163186315362,NaN,NaN,NaN,NaN,0.103982963924054,0.0753385491107991,523.313624541667,200.928754522107,641.632721291667,216.178845270425
LIRCMOP7_BC,fallback_only,3,0.3314604499169,0.027736951603712,0.00898789694006478,0.000407422704130758,0.293226848635432,0.000300592887963018,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,80.7627515555556,25.7933337119484
LIRCMOP7_BC,pair_only,3,0.306767369351446,0.0245955025021312,0.00691312690093621,0.000416135597652731,0.295023887331577,0.000114402339892851,0.957648630594522,0.00186203872608767,NaN,NaN,1,0,NaN,NaN,0.993754308137188,0.00267733755239952,0,0,107.063037305556,49.9234638121384
LIRCMOP7_BC,cgan,3,0.306231688274861,0.0301071219297961,0.00852491374914494,0.000362089990061974,0.293677529608719,8.8029217565443e-05,0.962591850367401,0.00306117280892174,1,0,NaN,NaN,NaN,NaN,0.279769218242728,0.0397597690728659,1018.03072444444,181.747540745137,1177.60551488889,214.023486593985
LIRCMOP8_BC,fallback_only,3,0.455478291150051,0.0329698273454443,0.00795560321329595,0.000472983793284711,0.293834328760053,0.000329540567174693,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,86.8082172777778,0.312291065603825
LIRCMOP8_BC,pair_only,3,0.40958165886999,0.0281920848186701,0.00670391841392236,0.000136462343271335,0.294914578489186,9.87046989795486e-05,0.948630594522378,0.00128839689525621,NaN,NaN,1,0,NaN,NaN,0.995916702125819,0.00103044167355579,0,0,130.966238041667,11.1672910472426
LIRCMOP8_BC,cgan,3,0.427417174463479,0.0554688407669107,0.00798216130840028,0.000229262799774557,0.294025054239978,0.000108168838441334,0.954575818303273,0.00306117280892174,1,0,NaN,NaN,NaN,NaN,0.327812339734396,0.040998593139608,872.270043291667,434.941965903899,1007.39074329167,499.669358158458
