problem,seed,mode,stage,targetFE,actualFE,missing,IGD,HV,p1Feasible,p2Feasible,populationOverlap,archivePairs,activePairs,inactivePairs,eligiblePairs,activeRefCoverage,frontRejectedPairs,infeasibleDominatedPairs,eligibilityRemoved,feasiblePoolEligible,infeasiblePoolEligible,gapMedian,gapP90,trainingEvents,generatorUpdates,criticUpdates,trainingSeconds,lastTrainingFE,lastTrainingPairs,lastTrainingEpochs,lastTrainingUpdates,lastTrainingEndpointRMSE,modelVersion,consumedTrainingFE,consumedTrainingPairs,consumedTrainingEpochs,consumedTrainingUpdates,consumedTrainingRMSE,productionFE,selectedCount,selectedFeasibleRate,survivedP1,survivedP2,cumulativeGuided,nativeBandRate,rebuildInputPoints,netGapReduction
LIRCMOP5_BC,3,pair_only,FE050000,50000,50000,0,1.15085808569478,0,100,0,0,500,35,465,500,0.35,7,0,7,249,414,1.46234238337395e-06,0.0013139513828305,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,49800,20,0.65,9,1,4502,1,1400,0.000695911924480499
LIRCMOP5_BC,3,pair_only,FE070000,70000,70000,0,0.0259533519298525,0.281026801698351,100,89,73,104,4,100,104,0.04,0,0,0,215,17,0.0321214947508688,0.08303596718354,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,69800,8,0.75,1,0,5054,1,600,0.00690582101038705
LIRCMOP5_BC,3,pair_only,FE100000,100000,100000,0,0.0153848809566367,0.286519200374877,100,92,49,16,4,12,16,0.04,0,0,0,157,15,0.0198921124764982,0.0764265995377584,0,0,0,0,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,99800,4,0.5,1,0,6203,1,428,0.0433047608643588
LIRCMOP6_BC,1,cgan,first_true_use,5600,5600,0,1.44746873135013,0,100,83,71,4,4,0,4,0.04,6,2,7,13,19,0.659687482275656,0.753155128604589,1,1000,5000,99.453998875,5400,8,933.333333333333,1000,0.0808132462984666,1,5400,8,933.333333333333,1000,0.0808132462984666,5400,20,0.5,4,11,20,NaN,416,0.422417409067508
LIRCMOP6_BC,1,cgan,FE010000,10000,10000,0,1.35116312472578,0,100,57,31,46,33,13,46,0.33,10,0,10,52,93,0.174951902574688,0.329794692225079,20,1380,6900,153.139556041667,10000,33,10.4918032786885,20,0.0494384490174037,19,9800,32,10.4918032786885,20,0.053644688341154,9800,20,0.55,1,0,460,NaN,488,0
LIRCMOP6_BC,1,cgan,FE030000,30000,30000,0,0.874806024999658,0,100,19,10,151,36,115,151,0.36,12,0,12,49,241,0.131139532462898,0.210719473488079,120,3380,16900,393.110688,30000,36,9.6969696969697,20,0.0553021167184185,119,29800,32,10.8474576271186,20,0.0570113787412393,29800,20,0.1,0,0,2460,NaN,706,0.0363976959059563
LIRCMOP6_BC,1,cgan,FE050000,50000,50000,0,0.128832032757393,0.167843840582042,100,86,87,6,4,2,6,0.04,1,7,7,66,20,0.212766744758868,0.223232608382405,172,4420,22100,515.710975625,49800,8,20,20,0.0465918138326073,172,49800,8,20,20,0.0465918138326073,49800,20,0,0,0,4460,NaN,422,-0.103244820571802
LIRCMOP6_BC,1,cgan,FE070000,70000,70000,0,0.034435161424641,0.189063116661867,100,93,77,30,16,14,30,0.16,0,2,2,124,11,0.0697082323974207,0.201353504232328,209,5160,25800,605.404332458333,70000,16,19.1304347826087,20,0.0457238320612697,208,69800,15,20,20,0.046432163582623,69800,20,0,0,0,6460,NaN,460,0
LIRCMOP6_BC,1,cgan,FE100000,100000,100000,0,0.0141062669549449,0.193330408138794,100,100,84,0,0,0,0,0,0,0,0,120,0,NaN,NaN,231,5600,28000,656.989985041667,74400,9,20,20,0.0338267289243402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,6960,NaN,400,0
LIRCMOP6_BC,1,fallback_only,first_true_use,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN
