variant,archiveParetoFilterMode,archivePairDirectionMode,archiveSourceCapMode,archivePairRefMode,trainFilterMode,conditionKNNRetainRatio,conditionMode,targetRealLabelMode,generatorMode,ganCriticMode,generatorLossMode,problem,family,run,seed,N,D,maxFE,target_FE,actual_FE,gen,has_GAN,AF_size,AI_size,BoundaryHit_all,ObjInterfaceScore,RefCov,DuplicateRate,GAN_to_Segment_Dist50,GAN_to_Segment_Dist90,GAN_to_Decision_Segment_Dist50,GAN_to_Decision_Segment_Dist90,GAN_to_AF_Dist90,AF_Cover_epsilon,AF_CoverEpsilon,PairCover_epsilon,PairCoverEpsilon,LargestClusterRate_epsilon,EffectiveClusterCount_epsilon,ClusterEpsilon,RawGANOutsideStandardRangeCount,RawGANFeasibleRate,InjectedCount,GAN_to_AF_ObjNN_mean,GAN_to_AF_ObjNN_median,GAN_to_AF_ObjNN_p90,GAN_to_AF_DecNN_mean,GAN_to_AF_DecNN_median,GAN_to_AF_DecNN_p90,RawGANVarClipRate
C4_keep80,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.8,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,10000,10100,41,1,41,41,0.03,0.147151776468577,0.31,0,3.79442459682557,11.6918549043714,0.120161757683513,0.168127235667374,11.6918549043714,0.0975609756097561,0.05,0.146341463414634,0.05,0.015,183.48623853211,0.05,73,0.2,NaN,5.41469158632765,3.88634711574728,11.6918549043714,0.131217719857441,0.128296823161362,0.174742783773129,0
C4_keep80,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.8,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,30000,30100,121,1,66,66,0.04,0.00590881934418173,0.26,0,2.13653974811861,5.80021634387694,0.0643878006425357,0.0905056960420629,5.80021634387694,0.136363636363636,0.05,0.303030303030303,0.05,0.02,176.991150442478,0.05,20,0.23,NaN,2.73759793484033,2.1720247149311,5.80021634387694,0.0717232148738823,0.0707980191427368,0.0931900397223767,0
C4_keep80,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.8,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,50000,50100,201,1,137,137,0.225,0.00392421166571876,0.76,0,0.091005515227535,0.247589512559662,0.0564082165724655,0.10038382219817,0.247718657579254,0.605839416058394,0.05,0.62043795620438,0.05,0.315,7.18648939992813,0.05,20,0.325,NaN,0.121233205553376,0.096301489384264,0.247718657579254,0.069783222264215,0.0625365342885486,0.105967380643086,0
C4_keep80,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.8,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,70000,70100,281,1,180,180,0.105,0.00111326462713842,0.76,0,0.0973934472760474,0.215856181987396,0.0452552670863179,0.0673009521741508,0.220073830232155,0.727777777777778,0.05,0.733333333333333,0.05,0.265,9.1533180778032,0.05,20,0.245,NaN,0.112232201761849,0.101890980612235,0.220073830232155,0.0518955387335517,0.0503785265370339,0.0700396429630142,0
C4_keep80,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.8,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,100000,100100,401,1,220,220,0.05,0.000358672363696619,0.73,0,0.0886223796340728,0.199581858762735,0.0448455148060273,0.0638337352743631,0.203086603763252,0.768181818181818,0.05,0.772727272727273,0.05,0.6,2.70745904968188,0.05,22,0.425,NaN,0.110569019256748,0.0919943678940596,0.203086603763252,0.0503720247963526,0.0492211666162768,0.0648519913223494,0
C4_keep80,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.8,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,10000,10000,41,1,90,90,0.19,0.0621417584955085,0.55,0,0.414527627935189,3.08356101239198,0.101272877630228,0.164443167956021,3.08356101239198,0.388888888888889,0.05,0.477777777777778,0.05,0.08,59.1715976331361,0.05,76,0.13,NaN,1.11254488337202,0.414556099024072,3.08356101239198,0.121782696705147,0.115122609251556,0.176695667382003,0
C4_keep80,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.8,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,30000,30000,121,1,152,152,0.13,0.00106425804859877,0.7,0,0.104056835469776,0.245817746907694,0.0450072356675918,0.0882559822411482,0.249123103710711,0.736842105263158,0.05,0.776315789473684,0.05,0.415,5.28401585204756,0.05,17,0.295,NaN,0.133169045586725,0.108625193596359,0.249123103710711,0.0611467796522939,0.0567313019563753,0.093119399581325,0
C4_keep80,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.8,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,50000,50000,201,1,192,192,0.16,0.00389084769020975,0.68,0,0.0708567646450922,0.167361939589247,0.0379318109087291,0.0644311815011988,0.170381214102605,0.796875,0.05,0.807291666666667,0.05,0.675,2.16966804078976,0.05,14,0.35,NaN,0.0880713642679889,0.0717989911668989,0.170381214102605,0.0466515694249561,0.0423069504648033,0.06742864735543,0
C4_keep80,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.8,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,70000,70000,281,1,204,204,0.155,0.00207537875131927,0.66,0,0.0643985555213281,0.168182085637135,0.038825026636788,0.0632629047216896,0.168182085637135,0.803921568627451,0.05,0.803921568627451,0.05,0.68,2.10084033613445,0.05,17,0.295,NaN,0.0853875320362452,0.0654720740207961,0.168182085637135,0.0471458205425898,0.0436201300783172,0.068788786431196,0
C4_keep80,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.8,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,100000,100000,401,1,233,233,0.155,0.00110522793292395,0.72,0,0.049737977765522,0.152502096847123,0.0367003486151834,0.0559535820837953,0.154475198943033,0.802575107296137,0.05,0.802575107296137,0.05,0.67,2.06483584555028,0.05,11,0.32,NaN,0.0700749724706007,0.0524274511212173,0.154475198943033,0.0422595687568661,0.0410155576311977,0.0612679670711736,0
