problem,run,target_FE,actual_FE,gen,bmem_count,chain_count,train_count,query_count,raw_generated_count,feasible_generated_count,boundary_dist50,boundary_dist90,query_width90,train_dec_rmse,train_obj_dist50,train_obj_dist90,train_feasible_rate,query_obj_dist50,query_obj_dist90,feasible_rate
DASCMOP1_BC,1,10000,10107,47,10,1,10,10,10,4,0.000896056876385846,0.00209075944468457,0,0.150574629396151,0.00542235159334971,0.01252832482025,0,0.00505248830154425,0.0112447253492995,0.4
DASCMOP1_BC,1,30000,30180,141,30,2,30,20,20,9,0.020802931499586,0.0388928713054326,0,0.0954416329001844,0.0250980296415593,0.0388835175811888,0.433333333333333,0.0247414112860846,0.0389196119099796,0.45
DASCMOP1_BC,1,50000,50200,232,27,4,27,20,20,3,0.0133880279858711,0.0189247341846508,0,0.0882395043348195,0.0141402910774545,0.023041066474016,0.0740740740740741,0.0155249438136576,0.0227607325533619,0.15
DASCMOP1_BC,1,70000,70000,322,32,4,32,20,20,2,0.0169150067064287,0.0217642542263784,0,0.0815231653206503,0.0193819057588826,0.0224308491308319,0,0.0210775233629682,0.0229670776820865,0.1
DASCMOP1_BC,1,100000,100140,459,29,3,29,20,20,15,0.0115911414012489,0.0233077429058839,0,0.0916937717266012,0.015121916688643,0.0237413918656907,0.551724137931034,0.0118110054548491,0.0236966139659793,0.75
DASCMOP2_BC,1,10000,10028,46,16,3,16,16,16,16,0.0445779571031461,0.0463137800233024,0,0.147406105995298,0.0609995748750886,0.0655682501198997,1,0.0598830337977967,0.0657854493271359,1
DASCMOP2_BC,1,30000,30041,138,34,5,34,20,20,5,0.0177372841874933,0.0304718918093996,0,0.111297109289264,0.0213280553102901,0.0339398442536546,0.147058823529412,0.0180930935890483,0.0435250637734179,0.25
DASCMOP2_BC,1,50000,50061,229,47,3,47,20,20,4,0.00944484358583965,0.0285846897039896,0,0.104491892862252,0.00916531009792892,0.0298075498553382,0.382978723404255,0.0111353361160766,0.0330608617330091,0.2
DASCMOP2_BC,1,70000,70081,320,46,5,46,20,20,5,0.00830908788241567,0.0643273008796611,0,0.112825790131418,0.012423961787289,0.0809060309615074,0.260869565217391,0.00969440663631541,0.069097451201044,0.25
DASCMOP2_BC,1,100000,100001,456,49,5,49,20,20,3,0.0105529863017536,0.0420493289156325,0,0.100249170119983,0.0199858853341137,0.0495459275457148,0.183673469387755,0.0107548234737302,0.0450746128346218,0.15
DASCMOP4_BC,1,10000,10197,49,12,3,12,12,12,0,0.112239083877065,0.117512775686661,0,0.019527868383607,0.112126501525276,0.11560717749738,0,0.112403424939006,0.119499675637626,0
DASCMOP4_BC,1,30000,30094,143,20,5,20,20,20,0,0.349116999442954,0.438374733162158,0,0.014057226775534,0.346783363632081,0.437687926814246,0,0.352028679394285,0.438532571581222,0
DASCMOP4_BC,1,50000,50046,234,22,4,22,20,20,0,0.262285096829163,0.444602406056876,0,0.0170537313514215,0.268006304532393,0.452622246938683,0,0.262531604730249,0.446447223043356,0
DASCMOP4_BC,1,70000,70063,325,23,5,23,20,20,0,0.225320230471562,0.681956659965256,0,0.0689040788336285,0.137153652996074,0.659510972658281,0,0.225484304799016,0.690473820194115,0
DASCMOP4_BC,1,100000,100167,462,23,6,23,20,20,0,0.09313466481613,0.286713365962706,0,0.0226272138789818,0.116972881486163,0.318194090059045,0,0.11362436562328,0.320035302429633,0
DASCMOP5_BC,1,10000,10000,49,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,30000,30000,149,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,50000,50000,249,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
DASCMOP5_BC,1,70000,70088,347,16,7,16,16,16,0,0.104005305816778,0.149237186289846,0,0.0401005768389284,0.105818627752855,0.147342092578765,0,0.106848385316287,0.150448514438422,0
DASCMOP5_BC,1,100000,100175,484,33,12,33,20,20,0,0.28799767814874,0.616882817075908,0,0.0239623205166862,0.251172356117259,0.485076635290388,0,0.298860586249003,0.627556677428221,0
LIRCMOP5_BC,1,10000,10056,48,36,12,36,20,20,0,0.0036632433060655,0.00444211494861037,0,0.0625677063115538,0.080383436127413,0.0974513462201483,1,0.0190102136911126,0.0477633140248158,0
LIRCMOP5_BC,1,30000,30056,139,26,8,26,20,20,3,0.0067511803037418,0.00779138090491765,0,0.0662390967760096,0.0538749137769356,0.0866690368260214,1,0.0111185836419215,0.0272819433370604,0.15
LIRCMOP5_BC,1,50000,50054,230,33,7,33,20,20,1,0.00427921554104145,0.00695751069251063,0,0.0764573711667774,0.0519446164358292,0.0718152321138201,1,0.00482825293706671,0.035882794727433,0.05
LIRCMOP5_BC,1,70000,70071,321,25,5,25,20,20,15,0.000421286477979936,0.0012967549925827,0,0.0175218347523562,0.0278380722484861,0.0753610831948739,1,0.000729283539437448,0.00226852341234604,0.75
LIRCMOP5_BC,1,100000,100211,458,65,10,65,20,20,18,0.000229299026112521,0.00614556516634391,0,0.0198034307141338,0.0286248543227907,0.0325674100850965,1,0.000669035956463966,0.00636012504816733,0.9
LIRCMOP6_BC,1,10000,10064,49,23,7,23,20,20,0,0.00598556415228277,0.00635835101661487,0,0.0570290219460955,0.0831447273291132,0.099879743763579,1,0.0167733757744292,0.0361483969299956,0
LIRCMOP6_BC,1,30000,30047,140,54,10,54,20,20,9,0.00269530039685041,0.021259459109206,0,0.0661903031992932,0.0621919581075124,0.0767534455963486,1,0.00563112197962303,0.0307400564939041,0.45
LIRCMOP6_BC,1,50000,50067,231,51,10,51,20,20,5,0.00257257141693284,0.00368349343804041,0,0.0583701902960459,0.0588542851661412,0.0708296103435099,1,0.00345729070250913,0.00521583076958826,0.25
LIRCMOP6_BC,1,70000,70022,322,21,4,21,20,20,0,0.0102758407823675,0.0125820275952199,0,0.051983805543501,0.0529046894770998,0.0772795551830693,1,0.0119300878462685,0.0143200005116625,0
LIRCMOP6_BC,1,100000,100162,459,65,7,65,20,20,17,7.55190255866978e-05,0.00504455443246293,0,0.03641335918222,0.0359068152695076,0.0374679447687348,1,0.00122450984533986,0.00799146822452968,0.85
LIRCMOP7_BC,1,10000,10058,47,28,8,28,20,20,13,0.00199454833184952,0.00628383864635078,0,0.0508237425910634,0.0839417850529296,0.11451237206504,1,0.00421958591911216,0.0170156195618068,0.65
LIRCMOP7_BC,1,30000,30075,138,52,11,52,20,20,7,0.00138473451502621,0.00400113766431849,0,0.0382066433528189,0.0424874515973296,0.0781233630192895,1,0.00342339528359081,0.00560304199962999,0.35
LIRCMOP7_BC,1,50000,50186,230,17,3,17,17,17,2,0.00437577735026868,0.0154227343808911,0,0.0864581666969976,0.0432919703284095,0.10777344605756,1,0.00689964457007123,0.040872818964273,0.117647058823529
LIRCMOP7_BC,1,70000,70187,321,85,14,85,20,20,2,0.0042453932657905,0.0182188973359316,0,0.0812572826757018,0.0423995341699031,0.048570333392273,1,0.00585620119538962,0.0191621417471599,0.1
LIRCMOP7_BC,1,100000,100107,457,75,10,75,20,20,1,0.00359585421815598,0.00605588338534205,0,0.0949501501931278,0.0424984587730218,0.0479722328840993,1,0.00568163060931086,0.00954570902993822,0.05
LIRCMOP8_BC,1,10000,10127,48,46,9,46,20,20,14,0.00074776645822605,0.00203705652920552,0,0.0721045244740661,0.10646963063087,0.134592927721015,1,0.0257936733358875,0.0554995020330562,0.7
LIRCMOP8_BC,1,30000,30107,139,24,8,24,20,20,7,0.00666183360776657,0.0113475369403252,0,0.0577786902398871,0.0886342260464679,0.109074815333074,1,0.00910253686473547,0.0212804297412013,0.35
LIRCMOP8_BC,1,50000,50124,230,68,17,68,20,20,13,0.00245132212214848,0.0138763992049286,0,0.0481257842807451,0.0458776286668994,0.0972023352517968,1,0.00329073205959037,0.01805880567722,0.65
LIRCMOP8_BC,1,70000,70144,321,62,15,62,20,20,5,0.00208096255647615,0.00656494760473645,0,0.0582590130127074,0.0457899565283087,0.052750226368864,1,0.00370871458692577,0.00788773144892502,0.25
LIRCMOP8_BC,1,100000,100064,457,61,13,61,20,20,6,0.00276533499999265,0.0108322136330187,0,0.0634348227228052,0.0441556995535734,0.0541637639029493,1,0.00805299233829786,0.0141494497025986,0.3
LIRCMOP9_BC,1,10000,10170,48,9,3,9,9,9,2,0.000121550322194233,0.00305720785255711,0,0.0352219800425612,0.0125718913341478,0.0346962073439771,1,0.00172118383584235,0.0260514150488798,0.222222222222222
LIRCMOP9_BC,1,30000,30187,142,12,3,12,12,12,12,0.000159301658664659,0.00450897950704663,0,0.0262018735178793,0.0124749460562727,0.0781512893216691,1,0.000646264010970111,0.00677842123700804,1
LIRCMOP9_BC,1,50000,50197,235,16,3,16,16,16,15,0.000264955607855547,0.00209347356495447,0,0.0188978021443355,0.0125589256147185,0.0491788036741973,1,0.000473283354399018,0.00282792224134508,0.9375
LIRCMOP9_BC,1,70000,70092,327,13,6,13,13,13,6,0.000644577302223978,0.0011584189837545,0,0.0189685320820054,0.0149506579821213,0.0865490955635269,1,0.00106284819178393,0.00207933841003119,0.461538461538462
LIRCMOP9_BC,1,100000,100178,465,19,4,19,19,19,18,5.6700825886651e-05,0.000215887759344083,0,0.00823692158725709,0.0124299782062524,0.0149806417756181,1,0.00013606941825231,0.000268978419343031,0.947368421052632
LIRCMOP10_BC,1,10000,10099,48,10,4,10,10,10,3,0.00694006493744286,0.00776385357087728,0,0.131357021350936,0.0314333063823077,0.0334073109594166,1,0.0196068916648346,0.0219666926766136,0.3
LIRCMOP10_BC,1,30000,30082,141,18,5,18,18,18,12,0.000186997009312089,0.000836050861118922,0,0.0165615554485422,0.0113215232581022,0.0145484126096094,1,0.000437716906349171,0.00252851947805147,0.666666666666667
LIRCMOP10_BC,1,50000,50204,233,31,8,31,20,20,20,4.00092295996295e-05,0.00942752006587183,0,0.0241296005604294,0.0109651033645581,0.0384837866382443,1,0.000378857844116343,0.0119920561294627,1
LIRCMOP10_BC,1,70000,70204,324,34,8,34,20,20,15,7.2244983789692e-05,0.00323416808080714,0,0.101769099349437,0.0114444809338322,0.0292893832253358,1,0.000277138147571348,0.00400521216768955,0.75
LIRCMOP10_BC,1,100000,100124,460,36,8,36,20,20,20,0.000124992770694046,0.000639041020364237,0,0.0633904190778329,0.0145084010067741,0.0284493171237014,1,0.000314183291269114,0.00171599680228121,1
