problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
LIRCMOP7_BC,1,ref_tau,10000,10124,46,92,1,0.31,92,0,0.00438628515946548,0.0169110992095811,92,30,3,0.0237664686127616,6.95652173913043,0.250043776590896,0.339372947821871,0,0.933419359153848,0.152173913043478,0.820260185134175,3.68305329922151,zero,30,0,30,3,0.326086956521739,0.0169812822079505,0.017405093910561,0,0.0691317260397891,NaN,0.5,-0.000772739986819593,0.129032258064516,0.0551500738847205,0.0702822622512549,0.0702822622512549,NaN,0.1,400,90,580,580,403,177,201,48,95,43,2357,52,126,126,126,122,92,92,92,92,92,0,30
LIRCMOP7_BC,1,ref_tau,30000,30134,133,114,1,0.38,114,0,0.00100226116020513,0.00383956178669957,114,30,3,0.0294497545853785,5.6140350877193,0.255707045952756,0.33692876965983,0,0.778284092404514,0.0964912280701754,0.295507236290468,0.486359186200603,zero,30,0,30,6,0.263157894736842,0.000100881433722981,0.00064981292000793,0,0.00337305357134566,NaN,0.733333333333333,0.0655661540941049,0.105263157894737,0.00861774774304248,0.0100321245612911,0.0100321245612911,NaN,0.2,400,123,646,646,380,266,261,58,89,47,8310,8,141,141,141,135,114,114,114,114,114,0,30
LIRCMOP7_BC,1,ref_tau,50000,50144,220,141,1,0.47,141,0,0.00293695797707332,0.00875171618944886,141,30,3,0.0364246964608628,4.53900709219858,0.29288070495619,0.571172034171721,0,1,0.177304964539007,0.358293858011008,0.666603177361429,zero,3,27,30,3,0.212765957446809,0.00564435218207206,0.00839544738484178,0,0.00938412708091239,NaN,0.766666666666667,0.0439677421434141,0.127659574468085,0.00589904278839043,0.00950283304049865,0.0101981124259074,0.009385952667192,0.1,400,135,670,670,362,308,230,60,94,56,8930,15,165,165,165,162,141,141,141,141,141,0,30
LIRCMOP7_BC,1,ref_tau,70000,70154,307,192,1,0.64,192,0,0.00174132429176061,0.00559977750241833,192,30,3,0.0495995866701111,3.33333333333333,0.315790610588706,1.07672382259168,0,0.952713051659021,0.109375,0.718220376826964,3.22799906950409,zero,30,0,30,12,0.15625,0.0265416805540562,0.0512604502511439,0,0.0681314129532759,NaN,0.5,0.00108843685807097,0.109375,0.0531470163479694,0.0710022362946255,0.0710022362946255,NaN,0.4,400,189,778,778,380,398,323,73,100,73,12397,0,219,219,219,219,192,192,192,192,192,0,30
LIRCMOP7_BC,1,ref_tau,100000,100054,437,219,1,0.73,219,0,0.00158406272920214,0.0048761031638614,219,30,3,0.0565745285455955,2.92237442922374,0.35881210959891,1.14349681813362,0,1,0.150684931506849,0.908382680716915,1.0863465093171,zero,24,6,30,5,0.136986301369863,0.00274228703033106,0.011593239908455,0,0.0117127475551111,NaN,0.566666666666667,0.0259695066517758,0.10958904109589,0.00868854198429598,0.0119895781590243,0.0117188921344607,0.0121127948089805,0.166666666666667,400,246,892,892,391,501,355,79,100,79,19169,6,237,237,237,237,219,219,219,219,219,0,30
