variant,archiveParetoFilterMode,archivePairDirectionMode,archiveSourceCapMode,archivePairRefMode,trainFilterMode,conditionMode,targetRealLabelMode,generatorMode,ganCriticMode,generatorLossMode,problem,target_FE,GroupCount,mean_has_GAN,mean_AF_size,mean_AI_size,mean_BoundaryHit_all,mean_ObjInterfaceScore,mean_RefCov,mean_DuplicateRate,mean_GAN_to_Segment_Dist50,mean_GAN_to_Segment_Dist90,mean_GAN_to_Decision_Segment_Dist50,mean_GAN_to_Decision_Segment_Dist90,mean_GAN_to_AF_Dist90,mean_AF_Cover_epsilon,mean_AF_CoverEpsilon,mean_PairCover_epsilon,mean_PairCoverEpsilon,mean_LargestClusterRate_epsilon,mean_EffectiveClusterCount_epsilon,mean_ClusterEpsilon,mean_RawGANOutsideStandardRangeCount,mean_RawGANFeasibleRate,mean_InjectedCount,mean_GAN_to_AF_ObjNN_mean,mean_GAN_to_AF_ObjNN_median,mean_GAN_to_AF_ObjNN_p90,mean_GAN_to_AF_DecNN_mean,mean_GAN_to_AF_DecNN_median,mean_GAN_to_AF_DecNN_p90,mean_RawGANVarClipRate
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,10000,3,1,65.3333333333333,65.3333333333333,0.0816666666666667,0.1272368383811,0.363333333333333,0,2.26897253166016,9.60370126629832,0.128988760720126,0.180097371753895,9.60370126629832,0.237566996495568,0.05,0.329871847728991,0.05,0.0216666666666667,157.274925803506,0.05,81.3333333333333,0.218333333333333,NaN,3.91307214119597,2.27705640313279,9.60370126629832,0.135727254097246,0.134900684804529,0.184588888381529,0
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,30000,3,1,132.333333333333,132.333333333333,0.138333333333333,0.00566831054677174,0.693333333333333,0,0.138950644739155,0.306157274392454,0.0751762398726749,0.125792090782531,0.318355026028745,0.762338603175635,0.05,0.810631640371653,0.05,0.28,14.9674137399298,0.05,27.3333333333333,0.268333333333333,NaN,0.181070785135412,0.145423564788331,0.318355026028745,0.0881322368060346,0.0812491409230427,0.135990780240496,0
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,50000,3,1,173.333333333333,173.333333333333,0.103333333333333,0.00277709789740293,0.75,0,0.122423142803605,0.294544191505227,0.0569138434378579,0.0961209385728903,0.295970929306277,0.777517701797877,0.05,0.798866980172153,0.05,0.365,18.9611143174202,0.05,21,0.268333333333333,NaN,0.150988830527785,0.12818057435818,0.295970929306277,0.0673551752780718,0.0614957674936472,0.100683623230044,0
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,70000,3,1,197,197,0.0916666666666667,0.000551219956098077,0.8,0,0.0959242209459988,0.629343449302824,0.0530750495875735,0.108446098220597,0.630455470281912,0.787271718723332,0.05,0.810917676509074,0.05,0.455,7.80004867573144,0.05,26,0.228333333333333,NaN,0.209169630762994,0.0996895679539781,0.630455470281912,0.0669556914213607,0.0567034278107857,0.111501835503876,0
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,100000,3,1,222,222,0.0533333333333333,6.95780763581794e-05,0.656666666666667,0,0.163869117827429,1.11441083522055,0.0573392241719815,0.139732805123184,1.11461951548004,0.666471567151575,0.05,0.672358965779149,0.05,0.381666666666667,9.492654409605,0.05,50.6666666666667,0.213333333333333,NaN,0.42588232877081,0.166683311327802,1.11461951548004,0.0830797054312057,0.0654170821547058,0.14351908117144,0
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,10000,3,1,67,67,0.0933333333333333,0.0518264844227627,0.463333333333333,0,6.15877982308255,10.4199518319916,0.0974447958305867,0.147468722188035,10.4199518319916,0.309585632370443,0.05,0.347722600887158,0.05,0.125,75.5829892157886,0.05,92.6666666666667,0.173333333333333,NaN,6.79980356103882,6.22839009906566,10.4199518319916,0.112766364581768,0.107465986439626,0.153891585526852,0
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,30000,3,1,107.666666666667,107.666666666667,0.0733333333333333,0.00143278017545416,0.66,0,0.253224915279446,0.556453336361074,0.0748388234935571,0.10393851073004,0.558058331392961,0.723721697405908,0.05,0.748508022192233,0.05,0.223333333333333,24.6054468064777,0.05,45.6666666666667,0.313333333333333,NaN,0.311472558164823,0.256828335957032,0.558058331392961,0.0845879252249472,0.0836374615475651,0.112584910626736,0
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,50000,3,1,144.333333333333,144.333333333333,0.0666666666666667,0.000278712826055035,0.733333333333333,0,0.229837236428582,0.554947471971622,0.0685468711322766,0.102548551999819,0.558541410293332,0.587082542222008,0.05,0.620404352240057,0.05,0.166666666666667,26.5578001416194,0.05,45.3333333333333,0.258333333333333,NaN,0.322762614547306,0.237422750493418,0.558541410293332,0.079619216467369,0.0772731960176581,0.108317081835844,0
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,70000,3,1,168.666666666667,168.666666666667,0.05,0.000195587266798361,0.726666666666667,0,0.205343558529163,0.656044565351877,0.0702258361118328,0.102411496979593,0.658062320651544,0.617304027640496,0.05,0.664902403405195,0.05,0.111666666666667,37.7449755676249,0.05,41.3333333333333,0.313333333333333,NaN,0.310608570905342,0.210662817880376,0.658062320651544,0.0834596808293884,0.0801628895287741,0.111422147567011,0
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,100000,3,1,203.333333333333,203.333333333333,0.06,0.000114334613062446,0.756666666666666,0,0.193931990045398,0.536724356591515,0.061135603197226,0.0850409441347511,0.538981010556734,0.741264002196872,0.05,0.75266281705576,0.05,0.126666666666667,28.8913323835046,0.05,34.3333333333333,0.333333333333333,NaN,0.27406363094418,0.19934020573813,0.538981010556734,0.0708094475372243,0.0693603545547513,0.0948648434306347,0
