problem,seed,arm,verified,fullFE,CalObjRows,CalConRows,initialPrefixExact,trainingEvents,totalGUpdates,lateGuidedSelected,lateGuidedSurvivedP1,lateGuidedInfeasibleReplacements,sourceHash
LIRCMOP8_BC,13,original,1,100000,200000,100000,1,475,10480,5000,22,2794,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,13,fallback_only,1,100000,200000,100000,NaN,0,0,0,0,0,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,13,pair_only,1,100000,200000,100000,NaN,0,0,5000,360,8249,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,14,original,1,100000,200000,100000,1,474,10460,5000,38,2310,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,14,fallback_only,1,100000,200000,100000,NaN,0,0,0,0,0,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,14,pair_only,1,100000,200000,100000,NaN,0,0,5000,445,6601,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,15,original,1,100000,200000,100000,1,472,10420,5000,14,2702,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,15,fallback_only,1,100000,200000,100000,NaN,0,0,0,0,0,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP8_BC,15,pair_only,1,100000,200000,100000,NaN,0,0,5000,368,6874,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,11,stable_no_side,1,100000,200000,100000,1,275,6480,5000,10,219,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,12,stable_no_side,1,100000,200000,100000,1,283,6640,5000,7,1423,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,13,stable_no_side,1,100000,200000,100000,1,172,4420,5000,3,31,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
LIRCMOP5_BC,14,stable_no_side,1,100000,200000,100000,1,282,6620,5000,91,252,306cfaced492f0a15bf7e48b4f73de462a5de39e7d44fe934e7226d46da231b3
