problem,seed,prefixFE,mode,IGDAUCRatio,finalIGDRatio
LIRCMOP7_BC,1,50000,de,1.0941221738589861,1.1648490468279054
LIRCMOP7_BC,1,50000,midpoint,1.0719071225622254,1.1382185513849956
LIRCMOP7_BC,1,50000,pair_only,1.1156210693291735,1.068414259801127
LIRCMOP7_BC,1,50000,raw,1.0,1.0
LIRCMOP7_BC,1,70000,de,0.9996673943890337,1.0548260604476245
LIRCMOP7_BC,1,70000,midpoint,1.0307148017268863,1.0665383447369545
LIRCMOP7_BC,1,70000,pair_only,1.0465061845398997,1.03203233268445
LIRCMOP7_BC,1,70000,raw,1.0,1.0
LIRCMOP7_BC,2,50000,de,1.0222313314605072,0.992229282588664
LIRCMOP7_BC,2,50000,midpoint,1.0322978857319676,1.055854646478538
LIRCMOP7_BC,2,50000,pair_only,1.0337354519756559,1.0193129051336278
LIRCMOP7_BC,2,50000,raw,1.0,1.0
LIRCMOP7_BC,2,70000,de,0.936143897471543,0.9229280544662133
LIRCMOP7_BC,2,70000,midpoint,0.9487332962934069,0.9234088579843476
LIRCMOP7_BC,2,70000,pair_only,0.9498801918331775,0.980883295123002
LIRCMOP7_BC,2,70000,raw,1.0,1.0
LIRCMOP7_BC,3,50000,de,1.0210779091902908,1.0165685444337849
LIRCMOP7_BC,3,50000,midpoint,1.0258433392205615,1.0376426856554204
LIRCMOP7_BC,3,50000,pair_only,1.0278526570483217,1.0551096596714677
LIRCMOP7_BC,3,50000,raw,1.0,1.0
LIRCMOP7_BC,3,70000,de,0.9749437056368659,0.9883342424866026
LIRCMOP7_BC,3,70000,midpoint,1.0210420714824728,1.051415217080769
LIRCMOP7_BC,3,70000,pair_only,0.9785225195949113,0.9742455364125027
LIRCMOP7_BC,3,70000,raw,1.0,1.0
LIRCMOP8_BC,1,50000,de,1.029447885563243,1.0441084042460482
LIRCMOP8_BC,1,50000,midpoint,1.035543629302866,1.0502497632135994
LIRCMOP8_BC,1,50000,pair_only,1.0250315620751413,1.0424612612338082
LIRCMOP8_BC,1,50000,raw,1.0,1.0
LIRCMOP8_BC,1,70000,de,0.9999511158978337,0.9909778332006143
LIRCMOP8_BC,1,70000,midpoint,1.023064506505092,1.0350179679520393
LIRCMOP8_BC,1,70000,pair_only,1.0154642077059977,1.013218811230828
LIRCMOP8_BC,1,70000,raw,1.0,1.0
LIRCMOP8_BC,2,50000,de,0.9945813124073474,0.9679433047483967
LIRCMOP8_BC,2,50000,midpoint,0.9873862240662512,0.9745677579565456
LIRCMOP8_BC,2,50000,pair_only,0.9928575621723245,0.975932947225966
LIRCMOP8_BC,2,50000,raw,1.0,1.0
LIRCMOP8_BC,2,70000,de,1.0080506129162985,1.0074756787739194
LIRCMOP8_BC,2,70000,midpoint,1.0167396776498332,1.0158889149183103
LIRCMOP8_BC,2,70000,pair_only,1.0097046367829028,1.011156242395647
LIRCMOP8_BC,2,70000,raw,1.0,1.0
LIRCMOP8_BC,3,50000,de,0.9370070337847957,1.0442812565299957
LIRCMOP8_BC,3,50000,midpoint,0.9138855549258944,1.035472470596503
LIRCMOP8_BC,3,50000,pair_only,1.047266971082385,1.2926332328351127
LIRCMOP8_BC,3,50000,raw,1.0,1.0
LIRCMOP8_BC,3,70000,de,0.9809323062804323,0.9748448673044389
LIRCMOP8_BC,3,70000,midpoint,1.0071178378822194,1.0253105105722817
LIRCMOP8_BC,3,70000,pair_only,0.9958744658050099,0.9945978166573887
LIRCMOP8_BC,3,70000,raw,1.0,1.0
