problem,seed,arm,verified,initialPrefixExact,initialRawExact,useSideCondition,trainingEvents,totalGUpdates,trainingSeconds,guidedSelected,guidedSurvivedP1,guidedInfeasibleReplacements,queries
LIRCMOP5_BC,1,stable_no_side,1,1,0,0,240,5780,628.955198375,9480,109,2610,474
LIRCMOP5_BC,2,stable_no_side,1,1,0,0,145,3880,460.787641291667,9520,80,483,476
LIRCMOP5_BC,3,stable_no_side,1,1,0,0,277,6520,383.641822958333,9520,106,3502,476
LIRCMOP6_BC,1,stable_no_side,1,1,0,0,421,9400,848.896369250001,8960,121,4405,448
LIRCMOP6_BC,2,stable_no_side,1,1,0,0,115,3280,401.377099958334,6180,50,291,309
LIRCMOP6_BC,3,stable_no_side,1,1,0,0,286,6700,293.149422,9460,80,2982,473
LIRCMOP7_BC,1,stable_no_side,1,1,0,0,473,10440,891.092305250001,9580,112,6631,479
LIRCMOP7_BC,2,stable_no_side,1,1,0,0,472,10420,924.891295624999,9640,114,4904,482
LIRCMOP7_BC,3,stable_no_side,1,1,0,0,473,10440,452.243429666667,9580,138,6350,479
LIRCMOP8_BC,1,stable_no_side,1,1,0,0,469,10360,886.148654333334,9500,161,6422,475
LIRCMOP8_BC,2,stable_no_side,1,1,0,0,473,10440,911.91227975,9520,120,5170,476
LIRCMOP8_BC,3,stable_no_side,1,1,0,0,472,10420,406.033625458333,9560,146,6466,478
