addedUpdates,trainingSeconds,endpointRMSE,loggedPostRMSE,preEndpointRMSE,directionError,nearestTrainingObjective,labelAccuracy,offlineFullFE,offlineCalObjRows,offlineCalConRows,problem,seed,moving,initialization
0,0,0.346867492432027,NaN,NaN,37.3412377647864,23.910049494734,0.5,200,400,200,LIRCMOP7_BC,1,0,fresh
20,9.462097875,0.312996011591782,0.312996011736367,0.346867492001875,37.8346779335061,19.1067251354904,0.5,200,400,200,LIRCMOP7_BC,1,0,fresh
200,27.9135649583333,0.137595659265398,0.137595659282058,0.137850588906387,9.80493899843008,0.184459519832046,0.485,200,400,200,LIRCMOP7_BC,1,0,fresh
1000,88.3033064166667,0.121349695451082,0.121349695517446,0.122229762270605,10.2235367873324,0.117803860393859,0.5,200,400,200,LIRCMOP7_BC,1,0,fresh
2000,161.337872833333,0.120118221938688,0.120118221727258,0.122898419585094,7.50694552239952,0.165138083088228,0.495,200,400,200,LIRCMOP7_BC,1,0,fresh
0,0,0.357783917909299,NaN,NaN,34.7180532800684,24.7233878192862,0.5,200,400,200,LIRCMOP7_BC,2,0,fresh
20,8.61220895833333,0.313545722889765,0.313545722682719,0.357783917933032,33.6223960413893,15.9868877670214,0.5,200,400,200,LIRCMOP7_BC,2,0,fresh
200,27.8810905416667,0.128155947969782,0.128155947725259,0.120882955222076,19.3397339221026,0.488646945957831,0.5,200,400,200,LIRCMOP7_BC,2,0,fresh
1000,89.7099262916667,0.112487357698303,0.112487357983947,0.111784481967782,17.3494916946703,0.271020861507289,0.52,200,400,200,LIRCMOP7_BC,2,0,fresh
2000,166.365581708333,0.125593387422898,0.125593387596718,0.125460854710162,8.51038319343883,0.129311251648945,0.505,200,400,200,LIRCMOP7_BC,2,0,fresh
0,0,0.366781966624231,NaN,NaN,35.40075885845,25.3069594978666,0.5,200,400,200,LIRCMOP7_BC,3,0,fresh
20,2.87393445833333,0.317564762991453,0.317564762557891,0.366781967007468,36.4019437251706,16.0243101881441,0.5,200,400,200,LIRCMOP7_BC,3,0,fresh
200,24.9820154166667,0.12558796840055,0.125587968561128,0.12868651431089,10.3729936804029,0.186473094319769,0.63,200,400,200,LIRCMOP7_BC,3,0,fresh
1000,100.299230958333,0.11591447232687,0.115914472404119,0.116574588325486,14.0509682716721,0.0846196657338742,0.515,200,400,200,LIRCMOP7_BC,3,0,fresh
2000,191.018088375,0.111859564629853,0.111859564426706,0.112567359754244,8.03966255615201,0.0676794763301556,0.51,200,400,200,LIRCMOP7_BC,3,0,fresh
0,0,0.360666335331945,NaN,NaN,35.4757202847456,24.3237511200329,0.5,200,400,200,LIRCMOP8_BC,1,0,fresh
20,3.08781595833333,0.328982334747604,0.328982334697843,0.360666334603253,36.1729257029793,19.8886558863588,0.5,200,400,200,LIRCMOP8_BC,1,0,fresh
200,20.5951620416667,0.0838651480543827,0.0838651482866168,0.0841215062314279,7.20657853644318,0.194345778820398,0.53,200,400,200,LIRCMOP8_BC,1,0,fresh
1000,87.984828375,0.0677958853761029,0.0677958854596998,0.0675614024904394,7.20968610642074,0.0784367393715734,0.48,200,400,200,LIRCMOP8_BC,1,0,fresh
2000,175.341516958333,0.067595362971551,0.0675953631705208,0.0671468871263098,4.26970238898728,0.088469400954908,0.58,200,400,200,LIRCMOP8_BC,1,0,fresh
0,0,0.370445828612336,NaN,NaN,38.0355565448394,25.1749136105577,0.5,200,400,200,LIRCMOP8_BC,2,0,fresh
20,8.7244655,0.338304533278379,0.338304533291756,0.370445828788424,37.5805840128297,17.4589480446235,0.5,200,400,200,LIRCMOP8_BC,2,0,fresh
200,27.3716650416667,0.0857373504329538,0.0857373505295594,0.0966940644727194,11.0476025698488,0.305500596488244,0.545,200,400,200,LIRCMOP8_BC,2,0,fresh
1000,88.4980255833333,0.0681864196843058,0.0681864194823617,0.0675025569474712,8.51659149610676,0.0836605471183991,0.485,200,400,200,LIRCMOP8_BC,2,0,fresh
2000,162.732517291667,0.0682142852846574,0.068214285226711,0.0692589697564682,7.46161238588418,0.102206811998153,0.515,200,400,200,LIRCMOP8_BC,2,0,fresh
0,0,0.360583333019912,NaN,NaN,33.9051810553752,25.7242182387276,0.5,200,400,200,LIRCMOP8_BC,3,0,fresh
20,3.38461079166667,0.313528463312634,0.313528463506761,0.360583333154175,33.049575085039,15.5977470807015,0.5,200,400,200,LIRCMOP8_BC,3,0,fresh
200,24.857137375,0.0880987257045418,0.0880987255764848,0.0915622974305208,14.862814250856,0.491786723273132,0.495,200,400,200,LIRCMOP8_BC,3,0,fresh
1000,99.4829498333333,0.0787008646369493,0.0787008642584468,0.0781786293152482,8.63446877926532,0.116075942432938,0.59,200,400,200,LIRCMOP8_BC,3,0,fresh
2000,190.294329,0.0767643802654567,0.076764380260971,0.0769255586552089,6.8916385024846,0.0696811671204283,0.6,200,400,200,LIRCMOP8_BC,3,0,fresh
