problem,seed,prefixFE,mode,backboneSeed,initialIGD,finalIGD,finalHV,IGDAUC,firstSelected,firstSurvivedP1,firstGuidedInfeasible,suffixFE,wallSeconds
LIRCMOP7_BC,1,50000,de,1891096984,0.0791380824412716,0.0716093527560337,0.262466601661109,0.0747417955107877,0,0,0,5000,2.06758279166667
LIRCMOP7_BC,1,50000,midpoint,1891096984,0.0791380824412716,0.06997223715944,0.263218869230946,0.073224238458244,20,2,34,5000,2.4576605
LIRCMOP7_BC,1,50000,pair_only,1891096984,0.0791380824412716,0.065681002897347,0.264338675182323,0.076210430446933,20,3,33,5000,2.45998841666667
LIRCMOP7_BC,1,50000,raw,1891096984,0.0791380824412716,0.0614752211464987,0.265691929296764,0.0683121111120271,20,0,13,5000,2.84831270833333
LIRCMOP7_BC,1,70000,de,1891096984,0.0129051588235627,0.0117657537645844,0.291992463016705,0.011870618140979,0,0,0,5000,1.75970816666667
LIRCMOP7_BC,1,70000,midpoint,1891096984,0.0129051588235627,0.0118963950694746,0.291789994566998,0.0122392926809747,20,0,11,5000,1.84433129166667
LIRCMOP7_BC,1,70000,pair_only,1891096984,0.0129051588235627,0.0115115076871556,0.29210137306306,0.0124268085250879,20,0,67,5000,1.9116675
LIRCMOP7_BC,1,70000,raw,1891096984,0.0129051588235627,0.0111542122495452,0.292415707133138,0.0118745676888201,20,0,12,5000,1.78148283333333
LIRCMOP7_BC,2,50000,de,288711303,0.0494857633772628,0.0444727143512515,0.271965888679751,0.0467044124674628,0,0,0,5000,1.98301566666667
LIRCMOP7_BC,2,50000,midpoint,288711303,0.0494857633772628,0.0473244671501475,0.271563325220146,0.0471643401651872,20,0,14,5000,1.85111225
LIRCMOP7_BC,2,50000,pair_only,288711303,0.0494857633772628,0.0456866295522793,0.271370029485604,0.047230020686541,20,0,50,5000,1.92237416666667
LIRCMOP7_BC,2,50000,raw,288711303,0.0494857633772628,0.0448210057207997,0.272368693314637,0.0456886920113612,20,0,10,5000,1.94073466666667
LIRCMOP7_BC,2,70000,de,288711303,0.0183825703226021,0.0115581321063921,0.292308476440418,0.0129025076454436,0,0,0,5000,1.90477858333333
LIRCMOP7_BC,2,70000,midpoint,288711303,0.0183825703226021,0.0115641533672617,0.292401216091072,0.0130760224384037,20,0,21,5000,1.842294375
LIRCMOP7_BC,2,70000,pair_only,288711303,0.0183825703226021,0.0122839246798515,0.291541530125032,0.0130918296540576,20,1,66,5000,1.76759316666667
LIRCMOP7_BC,2,70000,raw,288711303,0.0183825703226021,0.0125233294734733,0.291104932937072,0.013782611498395,20,0,11,5000,1.75282845833333
LIRCMOP7_BC,3,50000,de,2853609264,0.0106047600468802,0.00997149695217559,0.29243367304587,0.0104908131188035,0,0,0,5000,1.86352504166667
LIRCMOP7_BC,3,50000,midpoint,2853609264,0.0106047600468802,0.0101782127079521,0.292462888131531,0.0105397743542081,20,0,48,5000,1.79944170833333
LIRCMOP7_BC,3,50000,pair_only,2853609264,0.0106047600468802,0.0103495458454158,0.292390311438149,0.0105604185946109,20,0,49,5000,1.74135
LIRCMOP7_BC,3,50000,raw,2853609264,0.0106047600468802,0.00980897648936165,0.292525592677827,0.0102742533399069,20,0,17,5000,1.75816416666667
LIRCMOP7_BC,3,70000,de,2853609264,0.00967219650793886,0.00869982659578531,0.293386948938409,0.00903373043786897,0,0,0,5000,1.762410625
LIRCMOP7_BC,3,70000,midpoint,2853609264,0.00967219650793886,0.00925509779541677,0.293233373540982,0.00946087326495502,20,0,15,5000,1.85371541666667
LIRCMOP7_BC,3,70000,pair_only,2853609264,0.00967219650793886,0.00857581055492116,0.293476886022245,0.00906689136849229,20,0,50,5000,1.77533966666667
LIRCMOP7_BC,3,70000,raw,2853609264,0.00967219650793886,0.00880251459657712,0.293401643631856,0.0092658995443925,20,0,3,5000,1.9805555
LIRCMOP8_BC,1,50000,de,1891096984,0.0127664118070928,0.0108993323009419,0.292476942057157,0.0112871222174381,0,0,0,5000,2.048970375
LIRCMOP8_BC,1,50000,midpoint,1891096984,0.0127664118070928,0.0109634412688369,0.292299272436181,0.0113539574653027,20,0,44,5000,2.123265375
LIRCMOP8_BC,1,50000,pair_only,1891096984,0.0127664118070928,0.0108821379569786,0.292339993331368,0.011238700550192,20,0,67,5000,1.69278566666667
LIRCMOP8_BC,1,50000,raw,1891096984,0.0127664118070928,0.0104388895411797,0.292608613313534,0.0109642482885499,20,1,8,5000,1.83275095833333
LIRCMOP8_BC,1,70000,de,1891096984,0.00884753969857348,0.00852583612069888,0.293618687531742,0.00870770221116752,0,0,0,5000,1.75597233333333
LIRCMOP8_BC,1,70000,midpoint,1891096984,0.00884753969857348,0.0089047335682951,0.293442049156516,0.00890897657278238,20,0,28,5000,1.57033441666667
LIRCMOP8_BC,1,70000,pair_only,1891096984,0.00884753969857348,0.00871718544002445,0.293600108059791,0.00884279219876027,20,0,52,5000,1.7165245
LIRCMOP8_BC,1,70000,raw,1891096984,0.00884753969857348,0.00860345795340601,0.293541605425368,0.00870812790018147,20,0,10,5000,1.71827041666667
LIRCMOP8_BC,2,50000,de,288711303,0.00868058552590083,0.00824594766755852,0.293766171585398,0.00847576208283558,0,0,0,5000,1.753915
LIRCMOP8_BC,2,50000,midpoint,288711303,0.00868058552590083,0.00830238164898348,0.293645116184993,0.00841444597304813,20,1,24,5000,2.10487866666667
