variant,problem,GroupCount,median_feasible_rate,median_boundary_dist90,median_query_obj_dist90,median_side_rate,median_pair_margin50,median_segment_width90,median_ref_cover
V0_Pure_CGAN,LIRCMOP10_BC,3,0.35,0.000628439062777984,0.00188893097535081,0.6,0.00289209489449441,0.000928475510877675,0.136363636363636
V0_Pure_CGAN,LIRCMOP5_BC,3,0.7,0.00341163542851841,0.00379588794398728,1,0.17057531998992,0.00341163542851841,0.0526315789473684
V0_Pure_CGAN,LIRCMOP6_BC,3,0.2,0.0157413653005469,0.0160276440811159,1,0.118014586688749,0.0159770817534753,0.117647058823529
V0_Pure_CGAN,LIRCMOP7_BC,3,0.3,0.00494213072563722,0.0216398413021422,0.55,0.0120500534601519,0.0170215034363611,0.0821917808219178
V0_Pure_CGAN,LIRCMOP8_BC,3,0.15,0.0227245198850064,0.0290069335033889,0.35,-0.00547717761194108,0.0248360293999699,0.0533333333333333
V0_Pure_CGAN,LIRCMOP9_BC,3,0.55,0.000684158731195296,0.00270771664104685,0.55,0.00212857344066255,0.000787772934974378,0.148148148148148
V4_Full_current,LIRCMOP10_BC,3,0.3,8.55029613108595e-05,0.000726319422301347,0.7,0.00511377718184067,0.000219543777755835,0.0909090909090909
V4_Full_current,LIRCMOP5_BC,3,0.2,0.00593110097615243,0.00849203454963464,1,0.0952058172833527,0.00652802331453842,0.0526315789473684
V4_Full_current,LIRCMOP6_BC,3,0.05,0.00295289492936224,0.005195962765323,0.9,0.102936611583725,0.00299652209817318,0.0869565217391304
V4_Full_current,LIRCMOP7_BC,3,0.05,0.0129138548141934,0.0175582598807495,0.6,0.0210031334961172,0.0174313900608307,0.0246913580246914
V4_Full_current,LIRCMOP8_BC,3,0,0.0107229881241957,0.014068708599662,0.65,0.0276353852701191,0.0140304439227837,0
V4_Full_current,LIRCMOP9_BC,3,0.1,0.000513249583975766,0.00160648336227565,0.8,0.00153938074467957,0.000673493819440161,0.0689655172413793
V5_Huber_Pair_no_adv,LIRCMOP10_BC,3,0.35,0.000241377401368784,0.00128257474645988,1,0.0241570921423745,0.000861614772891445,0.0888888888888889
V5_Huber_Pair_no_adv,LIRCMOP5_BC,3,0.25,0.0026648416729808,0.00460301953213267,1,0.166251421565351,0.00266670164687955,0.0714285714285714
V5_Huber_Pair_no_adv,LIRCMOP6_BC,3,0.85,0.00298068058949152,0.00331737201842028,1,0.0450709338071915,0.00331737201842028,0.16
V5_Huber_Pair_no_adv,LIRCMOP7_BC,3,1,0.36227307264036,0.400614128018036,0.9,0.0314673651944034,0.400504928221534,0.307692307692308
V5_Huber_Pair_no_adv,LIRCMOP8_BC,3,0.75,0.29102984049351,0.293350379982368,0.9,0.028633389472726,0.293142077731847,0.219512195121951
V5_Huber_Pair_no_adv,LIRCMOP9_BC,3,0.6,0.000533929971383697,0.00258994287557288,1,0.0201347197347795,0.000533929971383697,0.206896551724138
