variant,archiveParetoFilterMode,archivePairDirectionMode,archiveSourceCapMode,archivePairRefMode,trainFilterMode,conditionMode,targetRealLabelMode,generatorMode,ganCriticMode,generatorLossMode,problem,family,run,seed,N,D,maxFE,target_FE,actual_FE,gen,has_GAN,AF_size,AI_size,BoundaryHit_all,ObjInterfaceScore,RefCov,DuplicateRate,GAN_to_Segment_Dist50,GAN_to_Segment_Dist90,GAN_to_Decision_Segment_Dist50,GAN_to_Decision_Segment_Dist90,GAN_to_AF_Dist90,AF_Cover_epsilon,AF_CoverEpsilon,PairCover_epsilon,PairCoverEpsilon,LargestClusterRate_epsilon,EffectiveClusterCount_epsilon,ClusterEpsilon,RawGANOutsideStandardRangeCount,RawGANFeasibleRate,InjectedCount,GAN_to_AF_ObjNN_mean,GAN_to_AF_ObjNN_median,GAN_to_AF_ObjNN_p90,GAN_to_AF_DecNN_mean,GAN_to_AF_DecNN_median,GAN_to_AF_DecNN_p90,RawGANVarClipRate
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,10000,10100,41,1,40,40,0.12,0.0465624074749878,0.35,0,1.70393580686996,4.48406357220028,0.117228340629805,0.152765742667676,4.48406357220028,0.275,0.05,0.575,0.05,0.025,152.671755725191,0.05,27,0.24,NaN,2.33086111760372,1.76568422119059,4.48406357220028,0.124759422640695,0.125433911924579,0.160589800345809,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,30000,30100,121,1,135,135,0.2,0.0150304687822065,0.75,0,0.108758102339554,0.233349395592019,0.0483817732652607,0.0996640934960778,0.236568678179026,0.607407407407407,0.05,0.637037037037037,0.05,0.39,5.68666477111174,0.05,19,0.265,NaN,0.161377881799485,0.115670690186396,0.236568678179026,0.065132433137627,0.0550960151639914,0.10709768735017,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,50000,50100,201,1,173,173,0.155,0.00655426861485267,0.62,0,0.0778291530165989,0.1854664535107,0.0410134939127656,0.0625328715649846,0.187061246043196,0.699421965317919,0.05,0.705202312138728,0.05,0.72,1.86358553857622,0.05,17,0.315,NaN,0.0959760446419443,0.0809628169778341,0.187061246043196,0.0492430358887546,0.0472435955747446,0.0681345182587298,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,70000,70100,281,1,207,207,0.075,0.00019885306040661,0.6,0,0.114700191279709,0.233051588907183,0.0406292150125185,0.0587565574708124,0.233065126862647,0.623188405797101,0.05,0.642512077294686,0.05,0.39,3.80807311500381,0.05,15,0.22,NaN,0.1313317640791,0.116817082203013,0.233065126862647,0.0488083355029473,0.0467901094923602,0.0654848781636057,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,100000,100100,401,1,230,230,0.13,0.000866566883840842,0.65,0,0.0684998581804894,0.202319394239589,0.0436827689468774,0.0736299618664728,0.203626689574734,0.747826086956522,0.05,0.765217391304348,0.05,0.675,2.16006048169349,0.05,23,0.44,NaN,0.097320840283001,0.0695316940247753,0.203626689574734,0.0521483995682594,0.0486774193132579,0.074759223631476,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,1,1,100,30,100000,10000,10050,41,1,46,46,0.055,0.180260926174007,0.34,0,4.96593821216738,18.7443073739405,0.107274232133245,0.155697218150491,18.7443073739405,0.0434782608695652,0.05,0.347826086956522,0.05,0.01,192.307692307692,0.05,60,0.245,NaN,7.92406174498759,4.99208334085801,18.7443073739405,0.121442233222196,0.117683993352326,0.160100467011721,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,1,1,100,30,100000,30000,30050,121,1,84,84,0.07,0.00332719976421902,0.57,0,0.23797642125759,0.630800659347899,0.0814119416190624,0.117114127959255,0.722004051745345,0.833333333333333,0.05,0.857142857142857,0.05,0.15,24.1837968561064,0.05,8,0.32,NaN,0.327481930378787,0.256083982440843,0.722004051745345,0.0943287403119879,0.0896009577661275,0.125346545573783,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,1,1,100,30,100000,50000,50050,201,1,151,151,0.07,3.81621546363798e-05,0.71,0,0.223330839465643,0.494430084375439,0.0563372919140089,0.0769843431749302,0.498964765471936,0.622516556291391,0.05,0.675496688741722,0.05,0.2,14.0548137737175,0.05,69,0.23,NaN,0.265236345230639,0.231826576941074,0.498964765471936,0.0623279214676727,0.061612653888695,0.0826809228305197,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,1,1,100,30,100000,70000,70050,281,1,181,181,0.045,2.9903058418036e-05,0.65,0,0.24228326939874,0.552234351139674,0.0592535693115398,0.0844200220494063,0.556532399419162,0.613259668508287,0.05,0.629834254143646,0.05,0.06,41.9287211740042,0.05,55,0.27,NaN,0.312936736924612,0.247538270414362,0.556532399419162,0.0680000412576122,0.0657729994338274,0.0893552923446893,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,1,1,100,30,100000,100000,100050,401,1,219,219,0.075,1.12005127504382e-05,0.69,0,0.186399891823722,0.504704192475072,0.0546193285870553,0.0755128464742559,0.507877282013245,0.442922374429224,0.05,0.461187214611872,0.05,0.105,26.9905533063428,0.05,37,0.285,NaN,0.247198710983864,0.194137941881646,0.507877282013245,0.0615740351299111,0.0610355923933234,0.0797539301204793,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,2,2,100,30,100000,10000,10000,41,1,76,76,0.155,0.0181616649727492,0.74,0,0.245438359207285,0.902054209535879,0.0814832611711598,0.123429753960775,0.902054209535879,0.578947368421053,0.05,0.592105263157895,0.05,0.06,45.662100456621,0.05,39,0.375,NaN,0.390084135210225,0.253827939961587,0.902054209535879,0.0984561219711318,0.0935486292107266,0.132428400941714,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,2,2,100,30,100000,30000,30000,121,1,117,117,0.06,0.00149958275122227,0.74,0,0.29045540373431,0.561165084570866,0.0588607205572369,0.084635249221981,0.565303994087222,0.700854700854701,0.05,0.709401709401709,0.05,0.07,36.2976406533575,0.05,62,0.29,NaN,0.31496002200404,0.297980265817289,0.565303994087222,0.0697950288815702,0.0675671989757902,0.0962235395721652,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,2,2,100,30,100000,50000,50000,201,1,155,155,0.085,0.00030772837551088,0.75,0,0.169377639857278,0.41628926043816,0.0538293386706777,0.078594346666065,0.424744897139852,0.387096774193548,0.05,0.393548387096774,0.05,0.3,8.76424189307625,0.05,59,0.315,NaN,0.20748686078886,0.175291771453702,0.424744897139852,0.06227347523398,0.0610482344424271,0.084165342236134,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,2,2,100,30,100000,70000,70000,281,1,174,174,0.07,0.00024429464777586,0.73,0,0.140778418402021,0.435510996964972,0.0530493657862562,0.0741804225985429,0.441653369100344,0.706896551724138,0.05,0.71264367816092,0.05,0.25,12.2624156958921,0.05,50,0.335,NaN,0.194726223610341,0.147378816904073,0.441653369100344,0.0595949674868772,0.0569445404773811,0.0832871754425071,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,2,2,100,30,100000,100000,100000,401,1,216,216,0.075,0.000197582434975343,0.68,0,0.126315235437545,0.302338712503949,0.0514999076238037,0.0729513009646658,0.309180358417498,0.865740740740741,0.05,0.87037037037037,0.05,0.145,25.7731958762887,0.05,28,0.355,NaN,0.150727906156999,0.13073473760149,0.309180358417498,0.0593923277152064,0.0575946625162596,0.0852021349618036,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,3,3,100,30,100000,10000,10100,41,1,84,84,0.11,0.0668356717872131,0.55,0,0.331385237844457,1.33624300162169,0.0794263215782244,0.121821224885242,1.33624300162169,0.392857142857143,0.05,0.404761904761905,0.05,0.07,57.8034682080925,0.05,17,0.295,NaN,0.527261595852505,0.352369661168135,1.33624300162169,0.0903805222205972,0.0852000177884162,0.125242437482404,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,3,3,100,30,100000,30000,30100,121,1,111,111,0.08,0.0012708774994683,0.73,0,0.21355561841958,0.431169855163745,0.0566025455490506,0.0852880645697925,0.442150401700797,0.513513513513513,0.05,0.54954954954955,0.05,0.125,27.2108843537415,0.05,62,0.325,NaN,0.24345651904021,0.221337253713588,0.442150401700797,0.0684969796959956,0.066997708735785,0.0919398356550347,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,3,3,100,30,100000,50000,50100,201,1,150,150,0.075,0.00105908615065919,0.78,0,0.156648917258265,0.481972633445967,0.0543184700600756,0.0866014527749787,0.485654595853937,0.82,0.05,0.846666666666667,0.05,0.185,19.6078431372549,0.05,49,0.33,NaN,0.235005247082349,0.163994348123508,0.485654595853937,0.0650805695789821,0.0621524127817665,0.0894543925083737,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,3,3,100,30,100000,70000,70100,281,1,178,178,0.12,0.000333873912823145,0.69,0,0.143257388297049,0.395316699218832,0.0605615851071807,0.0877670228998725,0.395316699218832,0.758426966292135,0.05,0.780898876404494,0.05,0.27,11.6211504938989,0.05,28,0.35,NaN,0.195894503225613,0.147343066622717,0.395316699218832,0.069535291932681,0.0682362169781373,0.0952664278739467,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,3,3,100,30,100000,100000,100100,401,1,213,213,0.115,0.000108470398872359,0.71,0,0.152721814331632,0.375101731066736,0.061035144537346,0.090103418981848,0.380567802417597,0.769953051643192,0.05,0.769953051643192,0.05,0.18,17.9856115107914,0.05,37,0.335,NaN,0.198660059084305,0.156770608529842,0.380567802417597,0.0691621297895892,0.068294164948684,0.0931535037150239,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,1,1,100,30,100000,10000,10000,49,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,0.05,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,1,1,100,30,100000,30000,30000,149,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,0.05,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,1,1,100,30,100000,50000,50150,230,1,54,54,0,0,0.28,0,5.0267126989995,10.0462919310847,0.00765827999512702,0.0125895220344857,10.0462919310847,0,0.05,0,0.05,0.015,160,0.05,192,0,NaN,5.60758908401501,5.04712379270204,10.0462919310847,0.00976645721497034,0.00924396252076833,0.0146545991283324,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,1,1,100,30,100000,70000,70150,310,1,93,93,0,0,0.59,0,1.79914188948437,3.2876377435791,0.00522581832081378,0.00832117264052916,3.30325220396135,0,0.05,0,0.05,0.05,81.3008130081301,0.05,167,0,NaN,2.0165577607336,1.8075189357641,3.30325220396135,0.00734925397235322,0.00705924710274024,0.0101520212328989,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,1,1,100,30,100000,100000,100150,430,1,111,111,0.03,1.19805055801199e-07,0.66,0,1.01566218672531,2.4492093627075,0.00376852692556471,0.00715881433382682,2.45745737703722,0.027027027027027,0.05,0.036036036036036,0.05,0.03,86.9565217391305,0.05,118,0.07,NaN,1.19767108436014,1.03879660663994,2.45745737703722,0.00568674297546749,0.00544858888585406,0.00884192242977615,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,2,2,100,30,100000,10000,10000,49,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,0.05,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,2,2,100,30,100000,30000,30150,137,1,34,34,0,0,0.06,0,20.1609604495322,33.1444568550538,0.0197035305228608,0.0297068807231754,33.1444568550538,0,0.05,0,0.05,0.02,165.289256198347,0.05,200,0,NaN,21.8728274984086,20.2101751553966,33.1444568550538,0.0219289699259605,0.0205103291812728,0.0311074917804911,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,2,2,100,30,100000,50000,50150,217,1,63,63,0.01,0,0.37,0,3.78198072250547,9.29520160895125,0.00871798376661418,0.0132104706884693,9.29520160895125,0,0.05,0,0.05,0.025,153.846153846154,0.05,196,0,NaN,4.91679635682025,3.79749626569067,9.29520160895125,0.00984638310886332,0.00910266836736144,0.0140588313501451,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,2,2,100,30,100000,70000,70150,297,1,68,68,0,0,0.31,0,5.58572423461384,10.0491111283516,0.0105192162547723,0.0165638086590051,10.0491111283516,0,0.05,0,0.05,0.02,136.054421768707,0.05,200,0,NaN,6.12783914525672,5.58976466704433,10.0491111283516,0.0122478181234819,0.0117541679795267,0.0170547321258841,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,2,2,100,30,100000,100000,100150,417,1,78,78,0,1.37092227392081e-07,0.22,0,5.69096061300796,11.6831542401862,0.0101171676002659,0.0160885259882168,11.6848188027932,0,0.05,0,0.05,0.02,134.228187919463,0.05,196,0.005,NaN,6.36691232214655,5.70725379529901,11.6848188027932,0.0127140606851772,0.0115765802072502,0.018375154412761,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,3,3,100,30,100000,10000,10000,49,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,NaN,0.05,NaN,NaN,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,3,3,100,30,100000,30000,30200,137,1,34,34,0,0,0.07,0,22.0373115438926,39.3031373497063,0.0143183781824267,0.020707771972073,39.3434328877595,0,0.05,0,0.05,0.01,172.413793103448,0.05,200,0,NaN,24.0876286437441,22.0852060953349,39.3434328877595,0.0159760046694441,0.015125218164472,0.0213251959322099,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,3,3,100,30,100000,50000,50200,217,1,45,45,0,0,0.17,0,6.66213517785707,13.8165447988541,0.011809759568238,0.0201685303874387,13.8165447988541,0,0.05,0,0.05,0.025,135.135135135135,0.05,200,0,NaN,7.79458117011514,6.66718504457187,13.8165447988541,0.0143625930599605,0.012778347224366,0.0210478989252286,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,3,3,100,30,100000,70000,70200,297,1,59,59,0,0,0.18,0,6.01290551916113,9.67480332911108,0.0114497936993958,0.0167635662571784,9.68195507404044,0,0.05,0,0.05,0.025,116.279069767442,0.05,200,0,NaN,6.58551599653584,6.02126988383845,9.68195507404044,0.0147224422916716,0.013936324278734,0.0192779506674642,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,3,3,100,30,100000,100000,100200,417,1,131,131,0.08,2.64853894435261e-06,0.67,0,0.828729332172218,3.1213951975648,0.00471772168793062,0.00850112896356899,3.1213951975648,0.381679389312977,0.05,0.442748091603053,0.05,0.07,52.3560209424084,0.05,95,0.205,NaN,1.29620612897658,0.833130686374935,3.1213951975648,0.00562012457900824,0.00483521961041455,0.00883407017618615,0
