variant,archiveParetoFilterMode,archivePairDirectionMode,archiveSourceCapMode,archivePairRefMode,trainFilterMode,conditionMode,targetRealLabelMode,generatorMode,ganCriticMode,generatorLossMode,problem,target_FE,GroupCount,mean_has_GAN,mean_AF_size,mean_AI_size,mean_BoundaryHit_all,mean_ObjInterfaceScore,mean_RefCov,mean_DuplicateRate,mean_GAN_to_Segment_Dist50,mean_GAN_to_Segment_Dist90,mean_GAN_to_Decision_Segment_Dist50,mean_GAN_to_Decision_Segment_Dist90,mean_GAN_to_AF_Dist90,mean_AF_Cover_epsilon,mean_AF_CoverEpsilon,mean_PairCover_epsilon,mean_PairCoverEpsilon,mean_LargestClusterRate_epsilon,mean_EffectiveClusterCount_epsilon,mean_ClusterEpsilon,mean_RawGANOutsideStandardRangeCount,mean_RawGANFeasibleRate,mean_InjectedCount,mean_GAN_to_AF_ObjNN_mean,mean_GAN_to_AF_ObjNN_median,mean_GAN_to_AF_ObjNN_p90,mean_GAN_to_AF_DecNN_mean,mean_GAN_to_AF_DecNN_median,mean_GAN_to_AF_DecNN_p90,mean_RawGANVarClipRate
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,10000,3,1,59.6666666666667,59.6666666666667,0.13,0.0594852805013467,0.373333333333333,0,1.94468391081415,6.28824532454689,0.0934625599222737,0.139463931948761,6.28824532454689,0.229713804713805,0.05,0.401515151515152,0.05,0.225,115.197943666736,0.05,49.3333333333333,0.215,NaN,2.89669679388379,1.97517097748199,6.28824532454689,0.106099961054895,0.101984143916958,0.147319368059914,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,30000,3,1,113.333333333333,113.333333333333,0.138333333333333,0.00724238768814916,0.6,0,0.179886059741271,0.983402967789045,0.0593634544148177,0.100263108463456,0.984476061984714,0.618908115766039,0.05,0.672310767051204,0.05,0.558333333333333,3.83183393496876,0.05,26.3333333333333,0.211666666666667,NaN,0.365049974630635,0.184763877707735,0.984476061984714,0.0721961590058754,0.0656681702014318,0.106423951607585,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,50000,3,1,166.333333333333,166.333333333333,0.141666666666667,0.00452336961130695,0.666666666666667,0,0.0879842536960599,0.206886685746365,0.043199767211891,0.064407506837628,0.209820914471509,0.736468868111605,0.05,0.744360832156842,0.05,0.573333333333333,4.73352588831523,0.05,26.3333333333333,0.268333333333333,NaN,0.10506865346673,0.0904267333561543,0.209820914471509,0.0510453758361857,0.0495095185733967,0.0694008602952871,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,70000,3,1,194,194,0.0933333333333333,0.00153397369834499,0.613333333333333,0,0.0853082455263863,0.186608277821473,0.0396082199216431,0.0564134981865203,0.18901547226389,0.702593361768012,0.05,0.714484565626791,0.05,0.685,2.24902845284092,0.05,12.3333333333333,0.256666666666667,NaN,0.0990694354717333,0.0880232190777247,0.18901547226389,0.0470808440833916,0.0462029394693146,0.0631262601736877,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,100000,3,1,215.666666666667,215.666666666667,0.09,0.000367083445368206,0.603333333333333,0,0.0740824603821255,0.183973510121712,0.0404325746305259,0.0608522983138255,0.186291573714102,0.744971762944819,0.05,0.758662632229867,0.05,0.725,2.03952764820519,0.05,23.3333333333333,0.33,NaN,0.0916563261810777,0.0759774249280429,0.186291573714102,0.0470068220946847,0.0454312137698215,0.0634787530347013,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,10000,3,1,68.6666666666667,68.6666666666667,0.106666666666667,0.0884194209779897,0.543333333333333,0,1.84758726973971,6.99420152836603,0.0893946049608762,0.133649398998836,6.99420152836603,0.33842759071592,0.05,0.448231084958774,0.05,0.0466666666666667,98.5910869908019,0.05,38.6666666666667,0.305,NaN,2.94713582535011,1.86609364732924,6.99420152836603,0.103426292471308,0.0988108801171564,0.139257101811946,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,30000,3,1,104,104,0.07,0.0020325533383032,0.68,0,0.247329147803827,0.54104519969417,0.0656250692417833,0.0956791472503429,0.576486149177788,0.682567182567183,0.05,0.705364705364705,0.05,0.115,29.2307739544018,0.05,44,0.311666666666667,NaN,0.295299490474346,0.258467167323907,0.576486149177788,0.0775402496298512,0.0747219551592343,0.104503306933661,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,50000,3,1,152,152,0.0766666666666667,0.000468325560268816,0.746666666666667,0,0.183119132193729,0.464230659419855,0.0548283668815874,0.0807267142053246,0.469788086155242,0.609871110161646,0.05,0.638570580835054,0.05,0.228333333333333,14.1422996013496,0.05,59,0.291666666666667,NaN,0.235909484367283,0.190370898839428,0.469788086155242,0.063227322093545,0.0616044337042962,0.0854335525250091,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,70000,3,1,177.666666666667,177.666666666667,0.0783333333333333,0.000202690539672347,0.69,0,0.175439692032603,0.461020682441159,0.0576215067349922,0.0821224891826072,0.464500822579446,0.692861062174853,0.05,0.707792269569687,0.05,0.193333333333333,21.9374291212651,0.05,44.3333333333333,0.318333333333333,NaN,0.234519154586855,0.180753384647051,0.464500822579446,0.0657101002257235,0.0636512522964486,0.089302965220381,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,100000,3,1,216,216,0.0883333333333333,0.000105751115532714,0.693333333333333,0,0.155145647197633,0.394048212015252,0.0557181269160683,0.0795225221402566,0.399208480949447,0.692872055604386,0.05,0.700503545541812,0.05,0.143333333333333,23.5831202311409,0.05,34,0.325,NaN,0.198862225408389,0.160547762670993,0.399208480949447,0.0633761642115689,0.0623081399527557,0.0860365229324356,0
