variant,maxCandidatePairsPerRef,problem,stage_count,train_count_med,train_count_p90,train_count_max,ref_cov_med,param_ratio_med,sample_reuse_med,raw_generated_med,feasible_rate_med,boundary_dist90_med,pair_margin50_med,missing_ref_query_total,large_gap_query_total,figure_count
pair3,3,DASCMOP1_BC,5,81,85.8,87,0.27,0.00424017170077998,39.5061728395062,20,0.1,0.110259517756152,-0.00201892554204219,80,20,6
pair3,3,DASCMOP2_BC,5,135,145.2,146,0.45,0.0070669528346333,23.7037037037037,20,0.25,0.100900692449838,0.0279598566650163,11,89,6
pair3,3,DASCMOP4_BC,5,63,72.8,78,0.21,0.00329791132282887,50.7936507936508,20,0,1.59676061153146,0.000740400651596224,100,0,6
pair3,3,DASCMOP5_BC,5,0,0,0,NaN,0,NaN,0,NaN,NaN,NaN,0,0,6
pair3,3,LIRCMOP5_BC,5,102,121.8,123,0.34,0.00533947547505627,31.3725490196078,20,0.2,0.0167818387077442,0.0330085676903939,80,1,6
pair3,3,LIRCMOP6_BC,5,102,161.4,183,0.34,0.00533947547505627,31.3725490196078,20,0.4,0.0367579363522404,0.00648788582403295,100,0,6
pair3,3,LIRCMOP7_BC,5,132,226.2,249,0.44,0.00690990943830812,24.2424242424242,20,0.25,0.0134316995296996,0.0181069678009593,97,3,6
pair3,3,LIRCMOP8_BC,5,150,218.8,246,0.5,0.00785216981625923,21.3333333333333,20,0.1,0.0149703035464616,0.0109388023690733,97,3,6
pair3,3,LIRCMOP9_BC,5,19,48.4,60,0.07,0.000994608176726169,100,20,0.4,0.0355209538200723,0.0147781839574323,100,0,6
pair3,3,LIRCMOP10_BC,5,99,114.6,123,0.33,0.00518243207873109,32.3232323232323,20,0.3,0.000201917752594643,0.0116733384807766,95,5,6
pair5,5,DASCMOP1_BC,5,140,143.6,146,0.28,0.00732869182850861,22.8571428571429,20,0,0.0851696964058495,0.146456943701265,80,20,6
pair5,5,DASCMOP2_BC,5,225,233,235,0.45,0.0117782547243888,14.2222222222222,20,0.5,0.104196404648246,0.0342899259643195,19,81,6
pair5,5,DASCMOP4_BC,5,130,140.6,141,0.26,0.006805213840758,24.6153846153846,20,0,1.81600497124996,-7.11653240605126e-05,100,0,6
pair5,5,DASCMOP5_BC,5,0,0,0,NaN,0,NaN,0,NaN,NaN,NaN,0,0,6
pair5,5,LIRCMOP5_BC,5,115,195,225,0.23,0.00601999685913207,27.8260869565217,20,0.5,0.0570088108887844,0.0470154374012581,80,1,6
pair5,5,LIRCMOP6_BC,5,175,266.6,281,0.35,0.00916086478563576,18.2857142857143,20,0.35,0.0321129524140915,0.0263921488026864,100,0,6
pair5,5,LIRCMOP7_BC,5,230,352,360,0.46,0.0120399937182641,13.9130434782609,20,0.15,0.0344123956039321,0.0116360750758119,93,7,6
pair5,5,LIRCMOP8_BC,5,156,355.6,392,0.32,0.00816625660890959,20.5128205128205,20,0.35,0.029379774502755,0.0120354025670351,97,3,6
pair5,5,LIRCMOP9_BC,5,90,125.8,133,0.18,0.00471130188975554,35.5555555555556,20,0.1,0.0037239404208379,0.00604840896703261,100,0,6
pair5,5,LIRCMOP10_BC,5,130,196,218,0.26,0.006805213840758,24.6153846153846,20,0.25,0.00136577021286642,0.00442604235483604,100,0,6
