problem,FE,trainingFE,modelAgeFE,pairs,knownConditionRate,endpointDecisionRMSE,endpointObjectiveRMSE,midpointObjectiveRMSE,exactInterpolationNonlinearity,generatedFLabelAccuracy,generatedILabelAccuracy,trueMidFeasibleRate,generatedMidFeasibleRate,neighborAverageDecisionRMSE,neighborAverageObjectiveRMSE
LIRCMOP6_BC,5600,5400,0,8,1,0.242360414376669,10.7695461821281,11.1298379898739,0.558455893642479,1,0,0,1,0.0747662231939295,0.992617577281607
LIRCMOP6_BC,10000,9800,0,22,1,0.0835646104878015,1.18743627044252,1.07901647072888,0.202497078915937,0.348,0.606,0.046,0.34,0.0508345815399728,0.563269604933233
LIRCMOP6_BC,30000,29800,0,81,1,0.0789581735130106,0.596537952628226,0.535633047285681,0.0844231005895929,0.012,0.998,0.04,0.006,0.0565699731700311,0.467891391781492
LIRCMOP6_BC,50000,49800,0,24,1,0.068726219554991,0.632654618475904,0.585280673829572,0.0416898395889827,0.18,0.888,0.182,0.154,0.0556465666015744,0.484143785518728
LIRCMOP6_BC,70000,64000,5800,8,0.43,0.0447057015856963,0.505305672627283,0.495004619670963,0.0370066409067884,0,1,1,0,0.150600564446249,0.27789321894816
