problem,FE,arm,pairs,updates,seconds,parameters,RMSE,biasRMSE,noiseRMSE,biasMSEShare,relativeError,targetJump,outputJump,endpointObjectiveRMSE,midpointObjectiveRMSE,feasibleLabelAccuracy,infeasibleLabelAccuracy,midpointFeasibleRate,adversarialGradientNorm,geometryGradientNorm,advGeometryCosine
LIRCMOP7_BC,99800,production20,95,20,10.9852800416667,2366,0.125006647825794,0.125631150015147,0.00825469845143568,0.995701303036024,10.0431650049346,0.0699091696262714,0.00468927664329015,0.242063061923721,0.222318890263766,0.107894736842105,0.905263157894737,0.105098684210526,2.03113026766317,9396.57229635021,0.304238032369178
LIRCMOP7_BC,99800,warm1000,95,1000,64.7134900833333,2366,0.133824220744248,0.134092017532139,0.00775519034018536,0.996666282164261,10.0329312030158,0.0699091696262714,0.00388862760696085,0.259948118382792,0.238551816892133,0.0554276315789474,0.951973684210526,0.0486842105263158,2.23552904076903,1531.20980666477,-0.6511816808522
LIRCMOP7_BC,99800,noAdv1000,95,1000,66.7154460416667,2366,0.133828617784928,0.134096186351499,0.00775441724290515,0.996667151121377,10.0331750974771,0.0699091696262714,0.00388835346287067,0.259938556843508,0.238542791288173,0.0554276315789474,0.951973684210526,0.0486842105263158,2.22607929639885,1531.28399055249,-0.6497828860303
LIRCMOP7_BC,99800,uniformGap1000,95,1000,69.5088542083333,2366,0.11428233389658,0.114813319057218,0.00895332940409935,0.993955622543888,10.2090106864918,0.0699091696262714,0.00564183658819179,0.291222606865168,0.271696055412483,0.112171052631579,0.896217105263158,0.106085526315789,2.35413718611963,9553.70245076712,-0.022307087513206
LIRCMOP7_BC,99800,lr1e3_1000,95,1000,52.051023,2366,0.127961069034555,0.126408080963776,0.0126040963247889,0.990155870520856,9.20068343958765,0.0699091696262714,0.00409030363661746,0.33497945992847,0.326230229362639,0.0804276315789474,0.926973684210526,0.0756578947368421,1.66503937918242,3505.47251490297,-0.17459215903763
LIRCMOP7_BC,99800,noNoise1000,95,1000,58.9591571666667,2366,0.133649688271614,0.133649688621202,0,1,9.97449556990927,0.0699091696262714,0.00377153436623699,0.256231638558075,0.234902606009071,0.0421052631578947,0.947368421052632,0.0473684210526316,1.08385300852579,1036.89937165465,-0.132967113681804
LIRCMOP7_BC,99800,fresh32_1000,95,1000,55.2623080416667,2366,0.225739355960729,0.224142567994886,0.0263609216364681,0.986357100844383,18.5190389124845,0.0699091696262714,0.0044213132541243,2.35535920073288,1.91242464131092,0.0467105263157895,0.294572368421053,0.166611842105263,1.43443876515733,11771.8682216892,0.955643134716225
LIRCMOP7_BC,99800,fresh128_1000,95,1000,56.1593882083333,21662,0.151505170654543,0.149658157836853,0.0141868823612878,0.991093892260735,10.8973926636433,0.0699091696262714,0.00364514695868245,0.273759192219534,0.256536188717098,0.0853618421052632,0.907894736842105,0.09375,1.86037523433396,2057.77297043138,-0.371706141376684
LIRCMOP7_BC,99800,onehot32_1000,95,1000,55.1009989583333,5502,0.233250052574864,0.231770717301901,0.0206088928234131,0.992155380492071,18.6662279700791,0.0699091696262714,0.0421384687702305,2.92056652534995,2.50947628134491,0.211677631578947,0.235361842105263,0.303618421052632,1.56472687401519,13083.2486709118,0.901555662148605
LIRCMOP8_BC,99800,production20,92,20,1.77450266666667,2366,0.0906603914468868,0.0904122806256105,0.0128215778246322,0.980285726557712,6.83628688705158,0.0672407634931515,0.00650345933235788,0.276064974437427,0.279400121198839,0.270210597826087,0.741508152173913,0.261209239130435,1.98592065717702,3785.39479563062,-0.803481572322768
