problem,FE,trainingFE,modelAgeFE,pairs,knownConditionRate,endpointDecisionRMSE,endpointObjectiveRMSE,midpointObjectiveRMSE,exactInterpolationNonlinearity,generatedFLabelAccuracy,generatedILabelAccuracy,trueMidFeasibleRate,generatedMidFeasibleRate,neighborAverageDecisionRMSE,neighborAverageObjectiveRMSE
LIRCMOP7_BC,4400,4200,0,12,1,0.214512312155979,8.80588890675101,9.18582287369459,0.628192504075387,1,0,0.084,1,0.0891023717229152,1.34166340479762
LIRCMOP7_BC,10000,9800,0,14,1,0.0990582549681857,1.64913415930647,1.31040646131289,0.371285944700552,0.052,0.834,0.062,0.08,0.0632797789294731,0.909311538512586
LIRCMOP7_BC,30000,29800,0,51,1,0.0516811218684343,0.538054446509242,0.476002683790686,0.0678632793315985,0.026,0.962,0.058,0.028,0.0387871699625867,0.405826013382933
LIRCMOP7_BC,50000,49800,0,87,1,0.0619743572967622,0.721684534645365,0.591720992202559,0.0742650485423228,0.048,0.974,0.046,0.032,0.0397080626599947,0.547923837057941
LIRCMOP7_BC,70000,69800,0,87,1,0.117346916784764,0.266001904675246,0.243292592409514,0.0456904865983915,0.098,0.932,0.022,0.078,0.0569728269670933,0.263202575442703
LIRCMOP7_BC,100000,99800,0,95,1,0.126148525588568,0.242753392235363,0.222650085549187,0.0410479985238168,0.11,0.902,0.04,0.102,0.0779485779094385,0.251305325434367
